SRR13612850	SRR13612851	SRR13612852	SRR13612853
ASV.1	25414	25739	23934	24237
ASV.2	2364	7605	6689	7785
ASV.3	775	3254	2648	1692
ASV.4	939	1617	944	686
ASV.9	0	954	520	98
ASV.10	393	450	318	290
ASV.11	45	295	440	502
ASV.13	42	290	331	404
ASV.14	45	221	199	239
ASV.15	0	327	198	136
ASV.17	93	174	159	185
ASV.19	161	145	83	87
ASV.20	76	142	100	117
ASV.22	128	116	54	62
ASV.23	0	94	94	80
ASV.24	0	69	77	98
ASV.25	0	68	63	93
ASV.26	25	0	64	114
ASV.27	0	68	56	72
ASV.29	0	0	84	99
ASV.30	0	110	48	15
ASV.31	35	50	29	54
ASV.33	20	46	33	61
ASV.34	146	0	0	0
ASV.35	97	18	8	9
ASV.36	0	70	45	0
ASV.37	113	0	0	0
ASV.38	81	20	7	5
ASV.40	59	24	6	11
ASV.41	46	40	7	6
ASV.42	97	0	0	0
ASV.43	0	97	0	0
ASV.45	12	29	26	27
ASV.46	0	68	26	0
ASV.47	22	25	23	8
ASV.48	0	17	21	31
ASV.49	12	47	0	9
ASV.50	0	23	25	20
ASV.51	0	25	26	17
ASV.52	0	0	64	0
ASV.53	56	5	0	0
ASV.54	0	15	17	28
ASV.55	0	0	23	35
ASV.56	57	0	0	0
ASV.57	10	19	14	14
ASV.58	56	0	0	0
ASV.59	0	21	10	24
ASV.60	16	9	16	12
ASV.61	0	13	22	18
ASV.62	0	0	0	50
ASV.63	0	0	0	49
ASV.64	0	48	0	0
ASV.65	0	16	17	14
ASV.66	0	17	9	19
ASV.67	0	0	45	0
ASV.68	22	18	3	0
ASV.69	31	4	0	7
ASV.71	0	6	16	20
ASV.72	0	7	18	17
ASV.74	0	0	41	0
ASV.75	37	0	0	0
ASV.77	0	0	36	0
ASV.78	21	12	0	2
ASV.79	34	0	0	0
ASV.80	19	15	0	0
ASV.81	0	11	8	15
ASV.82	8	12	8	5
ASV.83	8	10	8	4
ASV.84	0	5	11	14
ASV.85	0	19	0	11
ASV.86	29	0	0	0
ASV.87	28	0	0	0
ASV.88	7	14	7	0
ASV.89	0	7	15	6
ASV.90	27	0	0	0
ASV.91	26	0	0	0
ASV.92	0	24	0	0
ASV.93	23	0	0	0
ASV.94	0	23	0	0
ASV.95	0	13	0	9
ASV.96	0	15	7	0
ASV.97	0	0	22	0
ASV.98	0	0	0	22
ASV.99	0	8	7	6
ASV.100	20	0	0	0
ASV.101	20	0	0	0
ASV.102	20	0	0	0
