#Source	Type	SizeFrac	SampName
RawFastqs/SRR12432956_R1.fastq.gz	DNA	Frac_0.2	SRR12432956
RawFastqs/SRR12432956_R2.fastq.gz	DNA	Frac_0.2	SRR12432956
RawFastqs/SRR12432957_R1.fastq.gz	DNA	Frac_0.2	SRR12432957
RawFastqs/SRR12432957_R2.fastq.gz	DNA	Frac_0.2	SRR12432957
RawFastqs/SRR12432958_R1.fastq.gz	DNA	Frac_0.2	SRR12432958
RawFastqs/SRR12432958_R2.fastq.gz	DNA	Frac_0.2	SRR12432958
RawFastqs/SRR12432959_R1.fastq.gz	DNA	Frac_0.2	SRR12432959
RawFastqs/SRR12432959_R2.fastq.gz	DNA	Frac_0.2	SRR12432959
RawFastqs/SRR12432960_R1.fastq.gz	DNA	Frac_0.2	SRR12432960
RawFastqs/SRR12432960_R2.fastq.gz	DNA	Frac_0.2	SRR12432960
RawFastqs/SRR12432961_R1.fastq.gz	DNA	Frac_0.2	SRR12432961
RawFastqs/SRR12432961_R2.fastq.gz	DNA	Frac_0.2	SRR12432961
RawFastqs/SRR12432962_R1.fastq.gz	DNA	Frac_0.2	SRR12432962
RawFastqs/SRR12432962_R2.fastq.gz	DNA	Frac_0.2	SRR12432962
RawFastqs/SRR12432963_R1.fastq.gz	DNA	Frac_0.2	SRR12432963
RawFastqs/SRR12432963_R2.fastq.gz	DNA	Frac_0.2	SRR12432963
RawFastqs/SRR12432964_R1.fastq.gz	DNA	Frac_0.2	SRR12432964
RawFastqs/SRR12432964_R2.fastq.gz	DNA	Frac_0.2	SRR12432964
RawFastqs/SRR12432965_R1.fastq.gz	DNA	Frac_0.2	SRR12432965
RawFastqs/SRR12432965_R2.fastq.gz	DNA	Frac_0.2	SRR12432965
RawFastqs/SRR12432966_R1.fastq.gz	DNA	Frac_0.2	SRR12432966
RawFastqs/SRR12432966_R2.fastq.gz	DNA	Frac_0.2	SRR12432966
RawFastqs/SRR12432967_R1.fastq.gz	DNA	Frac_0.2	SRR12432967
RawFastqs/SRR12432967_R2.fastq.gz	DNA	Frac_0.2	SRR12432967
RawFastqs/SRR12432968_R1.fastq.gz	DNA	Frac_0.2	SRR12432968
RawFastqs/SRR12432968_R2.fastq.gz	DNA	Frac_0.2	SRR12432968
RawFastqs/SRR12432969_R1.fastq.gz	DNA	Frac_0.2	SRR12432969
RawFastqs/SRR12432969_R2.fastq.gz	DNA	Frac_0.2	SRR12432969
RawFastqs/SRR12432970_R1.fastq.gz	DNA	Frac_0.2	SRR12432970
RawFastqs/SRR12432970_R2.fastq.gz	DNA	Frac_0.2	SRR12432970
RawFastqs/SRR12432971_R1.fastq.gz	DNA	Frac_0.2	SRR12432971
RawFastqs/SRR12432971_R2.fastq.gz	DNA	Frac_0.2	SRR12432971
RawFastqs/SRR12432972_R1.fastq.gz	DNA	Frac_0.2	SRR12432972
RawFastqs/SRR12432972_R2.fastq.gz	DNA	Frac_0.2	SRR12432972
RawFastqs/SRR12432973_R1.fastq.gz	DNA	Frac_0.2	SRR12432973
RawFastqs/SRR12432973_R2.fastq.gz	DNA	Frac_0.2	SRR12432973
RawFastqs/SRR12432974_R1.fastq.gz	DNA	Frac_0.2	SRR12432974
RawFastqs/SRR12432974_R2.fastq.gz	DNA	Frac_0.2	SRR12432974
RawFastqs/SRR12432975_R1.fastq.gz	DNA	Frac_0.2	SRR12432975
RawFastqs/SRR12432975_R2.fastq.gz	DNA	Frac_0.2	SRR12432975
RawFastqs/SRR12432976_R1.fastq.gz	DNA	Frac_0.2	SRR12432976
RawFastqs/SRR12432976_R2.fastq.gz	DNA	Frac_0.2	SRR12432976
RawFastqs/SRR12432977_R1.fastq.gz	DNA	Frac_0.2	SRR12432977
RawFastqs/SRR12432977_R2.fastq.gz	DNA	Frac_0.2	SRR12432977
RawFastqs/SRR12432978_R1.fastq.gz	DNA	Frac_0.2	SRR12432978
RawFastqs/SRR12432978_R2.fastq.gz	DNA	Frac_0.2	SRR12432978
RawFastqs/SRR12432979_R1.fastq.gz	DNA	Frac_0.2	SRR12432979
RawFastqs/SRR12432979_R2.fastq.gz	DNA	Frac_0.2	SRR12432979
RawFastqs/SRR12432980_R1.fastq.gz	DNA	Frac_0.2	SRR12432980
RawFastqs/SRR12432980_R2.fastq.gz	DNA	Frac_0.2	SRR12432980
RawFastqs/SRR12432981_R1.fastq.gz	DNA	Frac_0.2	SRR12432981
RawFastqs/SRR12432981_R2.fastq.gz	DNA	Frac_0.2	SRR12432981
RawFastqs/SRR12432982_R1.fastq.gz	DNA	Frac_0.2	SRR12432982
RawFastqs/SRR12432982_R2.fastq.gz	DNA	Frac_0.2	SRR12432982
RawFastqs/SRR12432983_R1.fastq.gz	DNA	Frac_0.2	SRR12432983
RawFastqs/SRR12432983_R2.fastq.gz	DNA	Frac_0.2	SRR12432983
RawFastqs/SRR12432984_R1.fastq.gz	DNA	Frac_0.2	SRR12432984
RawFastqs/SRR12432984_R2.fastq.gz	DNA	Frac_0.2	SRR12432984
RawFastqs/SRR12432985_R1.fastq.gz	DNA	Frac_0.2	SRR12432985
RawFastqs/SRR12432985_R2.fastq.gz	DNA	Frac_0.2	SRR12432985
RawFastqs/SRR12432986_R1.fastq.gz	DNA	Frac_0.2	SRR12432986
RawFastqs/SRR12432986_R2.fastq.gz	DNA	Frac_0.2	SRR12432986
RawFastqs/SRR12432987_R1.fastq.gz	DNA	Frac_0.2	SRR12432987
RawFastqs/SRR12432987_R2.fastq.gz	DNA	Frac_0.2	SRR12432987
RawFastqs/SRR12432988_R1.fastq.gz	DNA	Frac_0.2	SRR12432988
RawFastqs/SRR12432988_R2.fastq.gz	DNA	Frac_0.2	SRR12432988
RawFastqs/SRR12432989_R1.fastq.gz	DNA	Frac_0.2	SRR12432989
RawFastqs/SRR12432989_R2.fastq.gz	DNA	Frac_0.2	SRR12432989
RawFastqs/SRR12432990_R1.fastq.gz	DNA	Frac_0.2	SRR12432990
RawFastqs/SRR12432990_R2.fastq.gz	DNA	Frac_0.2	SRR12432990
RawFastqs/SRR12432991_R1.fastq.gz	DNA	Frac_0.2	SRR12432991
RawFastqs/SRR12432991_R2.fastq.gz	DNA	Frac_0.2	SRR12432991
RawFastqs/SRR12432992_R1.fastq.gz	DNA	Frac_0.2	SRR12432992
RawFastqs/SRR12432992_R2.fastq.gz	DNA	Frac_0.2	SRR12432992
RawFastqs/SRR12432993_R1.fastq.gz	DNA	Frac_0.2	SRR12432993
RawFastqs/SRR12432993_R2.fastq.gz	DNA	Frac_0.2	SRR12432993
RawFastqs/SRR12432994_R1.fastq.gz	DNA	Frac_0.2	SRR12432994
RawFastqs/SRR12432994_R2.fastq.gz	DNA	Frac_0.2	SRR12432994
RawFastqs/SRR12432995_R1.fastq.gz	DNA	Frac_0.2	SRR12432995
RawFastqs/SRR12432995_R2.fastq.gz	DNA	Frac_0.2	SRR12432995
RawFastqs/SRR12432996_R1.fastq.gz	DNA	Frac_0.2	SRR12432996
RawFastqs/SRR12432996_R2.fastq.gz	DNA	Frac_0.2	SRR12432996
RawFastqs/SRR12432997_R1.fastq.gz	DNA	Frac_0.2	SRR12432997
RawFastqs/SRR12432997_R2.fastq.gz	DNA	Frac_0.2	SRR12432997
RawFastqs/SRR12432998_R1.fastq.gz	DNA	Frac_0.2	SRR12432998
RawFastqs/SRR12432998_R2.fastq.gz	DNA	Frac_0.2	SRR12432998
RawFastqs/SRR12432999_R1.fastq.gz	DNA	Frac_0.2	SRR12432999
RawFastqs/SRR12432999_R2.fastq.gz	DNA	Frac_0.2	SRR12432999
RawFastqs/SRR12433000_R1.fastq.gz	DNA	Frac_0.2	SRR12433000
