71502	71503	71504	71505	71506	71507	71508	71509	71510	71511	71512	71513	71514	71515	71516	71517	71518	71519	71520	71521	71522	71523	71524	71525	71526	71527	71528	71529	71530	71531	71532	71533	71534	71535	71536	71537	71538	71539	71540	71541	71542	71543	71544
ASV.1	19622	14014	16573	0	10620	0	0	1343	2210	812	1227	173	16198	0	12900	10243	941	9126	2215	0	16490	459	2314	305	0	1588	0	14597	130	991	19320	0	1841	6158	0	13041	0	15876	16716	14336	7579	1510	453
ASV.2	697	545	3639	4007	3618	6556	3334	12692	5265	12174	8242	818	1784	607	802	1157	792	2415	3557	1923	2524	2709	6817	3185	3537	3081	1884	2155	5507	5600	1167	5166	3655	6093	3963	1557	1579	2901	779	2184	3728	5023	0
ASV.3	351	355	1087	28	852	395	399	7713	2021	5090	4781	109	499	0	1460	972	94	1246	184	29	1373	246	4169	1459	58	48	36	2379	97	0	1650	164	307	6823	574	540	148	2371	1594	2204	5564	3648	385
ASV.4	1468	1128	2358	30	0	570	1577	2916	0	1596	1034	462	256	0	1838	1242	3180	1219	0	0	0	0	0	72	864	346	0	1580	5119	2528	636	6077	5037	2401	1792	1462	4231	505	451	0	2766	1657	1412
ASV.5	0	0	0	6697	0	2422	8255	0	8260	1376	0	1096	0	0	0	0	1273	0	1894	0	0	1829	923	0	0	0	1243	0	2701	3365	0	1710	1580	0	5427	0	2149	0	0	0	0	0	2470
ASV.6	130	0	0	1193	0	2519	2061	38	4603	16	0	583	983	1059	0	0	1245	0	825	304	0	1598	72	0	790	2556	1621	0	1954	1640	0	2052	2196	0	3200	0	2555	0	0	0	0	0	1232
ASV.7	1214	1778	152	0	0	0	0	0	0	2874	0	0	543	0	3922	2205	0	2488	0	0	694	0	0	170	0	0	0	4346	0	0	5313	0	0	1914	0	2039	0	506	2654	1590	1219	241	0
ASV.8	0	0	0	0	903	3053	4275	554	0	0	0	0	0	0	0	0	0	15	0	0	0	6488	2465	0	0	0	0	0	0	0	14	672	6216	0	959	0	0	0	0	31	1590	4644	0
ASV.9	0	0	3369	0	2647	240	281	0	0	0	0	0	911	0	4776	727	0	104	0	0	1314	0	0	155	0	0	0	2201	0	0	1447	0	0	0	0	2039	0	0	114	3019	5356	389	0
ASV.10	0	0	0	0	0	0	0	0	0	0	6244	9984	0	0	0	0	0	0	0	92	0	0	0	9121	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1569
