asvLen	totReads	numSamps
ASV.306	328	93	2
ASV.309	328	92	2
ASV.311	59	91	4
ASV.312	328	91	1
ASV.314	325	88	1
ASV.315	328	87	1
ASV.316	196	86	3
ASV.317	364	86	1
ASV.318	238	85	2
ASV.319	328	85	1
ASV.320	188	84	4
ASV.322	34	83	3
ASV.323	322	83	1
ASV.324	93	82	5
ASV.325	295	82	3
ASV.327	325	81	1
ASV.328	325	81	1
ASV.329	324	80	1
ASV.331	328	80	1
ASV.332	328	79	2
ASV.333	328	79	1
ASV.334	328	79	1
ASV.336	234	77	5
ASV.337	156	77	10
ASV.338	325	77	1
ASV.339	39	76	6
ASV.340	113	76	4
ASV.341	322	76	3
ASV.342	328	76	1
ASV.343	325	74	2
ASV.344	364	74	1
ASV.345	302	73	2
ASV.346	73	72	7
ASV.347	328	72	3
ASV.350	328	69	1
ASV.351	149	67	4
ASV.352	328	66	3
ASV.353	328	66	2
ASV.355	328	64	1
ASV.356	262	64	1
ASV.357	325	63	1
ASV.359	328	62	1
ASV.360	328	62	1
ASV.361	117	61	2
ASV.363	328	59	2
ASV.366	74	58	9
ASV.367	328	57	1
ASV.368	168	57	4
ASV.369	328	57	1
ASV.370	325	57	1
ASV.371	184	56	6
ASV.372	106	56	10
ASV.373	287	56	4
ASV.374	328	56	1
ASV.375	79	55	1
ASV.376	141	54	8
ASV.377	325	54	1
ASV.378	80	53	2
ASV.379	93	52	8
ASV.380	325	52	1
ASV.381	328	52	1
ASV.382	42	51	5
ASV.383	59	51	5
ASV.384	325	51	1
ASV.385	137	51	3
ASV.386	322	50	1
ASV.388	114	49	7
ASV.389	142	49	4
ASV.390	90	49	6
ASV.391	284	49	2
ASV.392	328	49	1
ASV.394	77	48	6
ASV.395	328	48	2
ASV.397	40	47	6
ASV.399	328	47	1
ASV.400	142	46	4
ASV.401	328	46	1
ASV.403	58	45	6
ASV.404	61	45	4
ASV.405	112	45	3
ASV.406	91	45	6
ASV.407	244	45	1
ASV.408	211	45	4
ASV.409	319	45	1
ASV.410	295	44	7
ASV.411	325	43	1
ASV.412	127	43	3
ASV.413	328	43	1
ASV.414	328	43	1
ASV.416	328	42	1
ASV.417	335	41	1
ASV.419	133	41	1
ASV.421	130	40	6
ASV.422	38	40	2
ASV.423	88	40	4
ASV.424	277	38	4
ASV.426	33	38	1
ASV.427	139	37	4
ASV.428	328	37	1
ASV.429	112	36	3
ASV.431	91	36	6
ASV.432	248	36	2
ASV.433	328	36	1
ASV.438	49	33	6
ASV.439	46	33	2
ASV.440	126	33	4
ASV.441	145	32	2
ASV.442	325	31	1
ASV.443	82	31	3
ASV.444	173	31	4
ASV.445	247	31	1
ASV.446	399	30	1
ASV.447	54	30	2
ASV.448	175	30	5
ASV.450	328	30	1
ASV.451	335	30	1
ASV.454	113	29	4
ASV.456	328	29	1
ASV.459	328	28	1
ASV.461	328	28	1
ASV.462	328	27	1
ASV.463	328	26	1
ASV.464	178	25	3
ASV.465	325	25	1
ASV.466	67	25	3
ASV.467	328	25	1
ASV.469	328	25	1
ASV.470	327	25	1
ASV.471	190	25	3
ASV.472	328	24	1
ASV.475	43	24	1
ASV.476	171	24	2
ASV.477	84	23	5
ASV.478	262	23	1
ASV.479	119	23	2
ASV.480	203	22	3
ASV.481	37	22	3
ASV.482	327	22	1
ASV.483	145	22	3
ASV.484	328	22	1
ASV.485	122	22	2
ASV.486	326	22	1
ASV.487	50	22	1
ASV.488	74	21	6
ASV.489	142	21	2
ASV.491	328	21	1
ASV.492	328	21	1
ASV.493	88	20	1
ASV.494	49	20	2
ASV.496	325	20	1
ASV.497	328	20	1
ASV.498	141	19	3
ASV.499	113	19	2
ASV.500	114	19	5
ASV.501	50	19	5
ASV.502	119	19	4
ASV.503	140	19	2
ASV.504	93	18	3
ASV.505	94	18	3
ASV.506	76	18	2
ASV.508	44	18	1
ASV.509	172	18	4
ASV.510	80	18	1
ASV.511	58	17	3
ASV.512	262	17	1
ASV.513	214	17	1
ASV.514	328	17	1
ASV.515	71	16	4
ASV.516	114	16	2
ASV.518	328	16	1
ASV.522	43	15	5
ASV.523	43	15	3
ASV.524	328	15	1
ASV.525	102	15	3
ASV.526	94	15	2
ASV.527	235	15	1
ASV.528	103	15	1
ASV.529	112	15	1
ASV.531	149	15	1
ASV.532	35	14	2
ASV.533	147	14	2
ASV.534	103	14	1
