asvLen	totReads	numSamps
ASV.282	328	344	2
ASV.283	328	340	1
ASV.284	36	338	8
ASV.285	328	336	1
ASV.286	328	336	1
ASV.287	328	336	1
ASV.288	115	333	3
ASV.289	328	332	2
ASV.290	328	331	1
ASV.291	328	329	2
ASV.292	328	324	1
ASV.293	88	319	7
ASV.294	328	319	1
ASV.295	248	316	5
ASV.296	328	316	1
ASV.297	200	316	5
ASV.298	328	316	1
ASV.299	328	313	1
ASV.300	375	309	1
ASV.301	260	308	1
ASV.302	325	307	1
ASV.303	328	305	1
ASV.305	328	300	1
ASV.307	328	300	1
ASV.308	328	298	1
ASV.309	328	295	1
ASV.310	328	292	1
ASV.311	328	291	2
ASV.312	41	289	4
ASV.313	328	288	1
ASV.314	32	287	1
ASV.315	328	285	1
ASV.316	123	285	7
ASV.317	328	285	1
ASV.318	175	284	1
ASV.320	172	280	5
ASV.321	280	280	7
ASV.322	328	280	1
ASV.324	70	276	2
ASV.325	47	276	10
ASV.326	44	275	5
ASV.327	328	275	1
ASV.328	89	271	6
ASV.330	328	269	1
ASV.331	328	267	1
ASV.333	328	260	1
ASV.334	328	259	1
ASV.335	328	258	1
ASV.336	184	256	7
ASV.337	121	252	4
ASV.338	328	251	1
ASV.339	328	251	1
ASV.340	328	251	1
ASV.341	173	250	3
ASV.342	265	249	4
ASV.343	149	245	3
ASV.345	328	244	2
ASV.346	328	243	1
ASV.348	328	241	1
ASV.349	41	240	3
ASV.350	38	239	9
ASV.351	328	239	1
ASV.352	328	238	1
ASV.353	127	237	1
ASV.354	328	237	1
ASV.355	227	236	9
ASV.356	328	234	1
ASV.357	328	233	1
ASV.358	328	233	1
ASV.359	328	233	1
ASV.360	358	232	1
ASV.361	72	231	2
ASV.362	328	229	1
ASV.363	307	228	6
ASV.364	60	226	5
ASV.366	31	225	10
ASV.368	67	224	5
ASV.369	185	222	4
ASV.370	328	222	1
ASV.372	137	219	4
ASV.373	328	218	1
ASV.374	67	216	5
ASV.375	328	216	1
ASV.376	296	216	1
ASV.377	256	216	2
ASV.378	72	215	3
ASV.379	328	215	1
ASV.380	93	214	1
ASV.381	328	214	1
ASV.382	107	213	1
ASV.383	328	211	1
ASV.384	328	209	1
ASV.385	145	208	4
ASV.386	328	208	1
ASV.387	281	208	1
ASV.388	328	205	1
ASV.389	32	204	2
ASV.390	328	204	1
ASV.391	328	204	1
ASV.392	328	203	1
ASV.393	322	202	1
ASV.394	325	202	1
ASV.395	49	202	6
ASV.396	43	201	16
ASV.397	280	201	5
ASV.399	271	198	1
ASV.401	328	195	1
