SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
ASV.91	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.95	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0
ASV.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0
ASV.98	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0
ASV.101	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.105	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.107	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0
ASV.113	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
ASV.140	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ASV.141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0
ASV.158	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
ASV.161	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
ASV.164	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
ASV.165	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
ASV.172	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
ASV.180	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV.181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
ASV.187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
ASV.200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
ASV.204	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.207	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV.214	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ASV.218	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
ASV.221	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0
ASV.236	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
