asvLen	totReads	numSamps
ASV.1	325	58580	3
ASV.2	325	28373	3
ASV.3	328	4078	2
ASV.6	328	2475	2
ASV.9	328	2169	2
ASV.10	148	1775	3
ASV.11	153	872	2
ASV.12	325	661	1
ASV.13	199	564	3
ASV.14	328	560	2
ASV.15	203	497	1
ASV.17	328	386	1
ASV.18	109	343	3
ASV.19	325	302	2
ASV.21	262	255	2
ASV.22	32	255	2
ASV.23	322	249	2
ASV.25	164	220	2
ASV.27	66	169	2
ASV.28	348	165	1
ASV.31	109	140	2
ASV.32	153	137	1
ASV.33	118	133	3
ASV.34	258	132	1
ASV.35	129	121	1
ASV.36	60	107	1
ASV.37	164	104	2
ASV.38	328	98	1
ASV.39	282	93	2
ASV.40	64	80	2
ASV.42	322	72	2
ASV.43	21	72	2
ASV.44	93	68	2
ASV.45	80	64	3
ASV.46	65	53	2
ASV.47	348	51	1
ASV.48	328	44	1
ASV.49	93	40	3
ASV.50	149	39	3
ASV.51	54	38	2
ASV.53	37	37	2
ASV.54	134	35	2
ASV.55	87	35	2
ASV.56	328	35	1
ASV.57	80	34	2
ASV.58	76	32	3
ASV.59	91	32	2
ASV.60	151	31	3
ASV.61	91	31	1
ASV.62	328	29	1
ASV.63	165	28	1
ASV.64	164	26	1
ASV.65	21	26	1
ASV.66	32	25	1
ASV.68	223	24	1
ASV.69	121	22	2
ASV.70	150	21	1
ASV.71	54	21	3
ASV.72	88	20	1
ASV.73	146	20	2
ASV.74	153	19	1
ASV.75	190	18	1
ASV.76	123	16	2
ASV.77	203	14	1
ASV.78	197	14	1
ASV.79	119	14	1
ASV.80	184	13	1
ASV.81	235	12	1
ASV.82	95	12	1
ASV.84	145	12	2
ASV.85	119	12	2
ASV.86	60	12	1
ASV.87	75	12	1
ASV.88	42	11	1
ASV.89	60	11	1
ASV.90	66	10	1
ASV.91	196	10	1
ASV.92	223	9	1
ASV.93	60	9	2
ASV.94	181	9	1
ASV.96	89	9	2
ASV.97	164	9	1
ASV.98	80	8	1
ASV.99	97	8	1
ASV.100	110	8	1
ASV.101	46	8	1
ASV.102	340	8	1
ASV.104	130	7	1
ASV.105	105	7	1
ASV.106	173	7	1
ASV.107	225	7	1
ASV.108	130	7	1
ASV.109	173	7	1
ASV.110	139	7	2
ASV.111	88	7	1
ASV.112	61	7	1
ASV.113	112	7	2
ASV.114	114	7	1
ASV.115	34	7	1
ASV.116	222	7	1
ASV.117	88	7	1
ASV.119	71	6	1
ASV.121	52	6	1
ASV.122	94	6	1
ASV.124	56	6	1
ASV.125	51	6	1
ASV.126	139	6	1
ASV.127	137	6	1
ASV.128	75	6	2
ASV.129	70	6	1
ASV.131	100	6	1
ASV.132	103	6	2
ASV.133	100	6	2
ASV.134	395	6	1
ASV.136	118	6	1
ASV.137	256	6	1
ASV.138	97	6	1
ASV.139	229	5	1
ASV.140	137	5	1
ASV.141	105	5	1
ASV.142	139	5	1
ASV.143	148	5	1
ASV.144	111	5	1
ASV.145	125	5	1
ASV.147	255	5	1
ASV.148	117	5	1
ASV.149	43	5	1
