asvLen	totReads	numSamps
ASV.1	325	180696	7
ASV.2	325	12508	2
ASV.3	325	8578	4
ASV.4	328	7278	3
ASV.5	148	5833	7
ASV.6	328	4916	3
ASV.7	328	2143	1
ASV.8	109	2033	4
ASV.9	322	1913	6
ASV.11	153	1739	4
ASV.13	87	1628	4
ASV.15	322	1386	3
ASV.16	325	1224	3
ASV.17	21	1052	4
ASV.18	325	1000	1
ASV.19	109	920	7
ASV.20	50	858	2
ASV.21	199	770	5
ASV.23	149	646	4
ASV.24	87	632	3
ASV.25	93	590	6
ASV.26	65	589	4
ASV.27	76	563	4
ASV.28	42	550	4
ASV.30	109	516	4
ASV.31	328	509	2
ASV.35	322	425	4
ASV.36	87	394	2
ASV.37	262	380	3
ASV.38	109	374	4
ASV.39	87	369	3
ASV.40	322	366	1
ASV.41	322	361	1
ASV.42	66	332	2
ASV.44	167	310	3
ASV.46	121	295	4
ASV.47	54	282	4
ASV.50	282	267	2
ASV.51	322	265	2
ASV.52	59	262	4
ASV.53	80	259	3
ASV.54	55	250	1
ASV.55	32	250	2
ASV.57	112	242	2
ASV.59	230	235	1
ASV.60	316	233	2
ASV.61	41	228	4
ASV.62	317	223	1
ASV.64	204	198	1
ASV.66	123	188	4
ASV.67	284	187	1
ASV.68	121	183	1
ASV.69	328	181	1
ASV.70	322	174	2
ASV.71	184	172	3
ASV.72	20	167	4
ASV.73	137	161	4
ASV.74	325	157	1
ASV.75	233	157	1
ASV.77	87	146	2
ASV.78	149	144	3
ASV.79	164	143	2
ASV.80	113	143	4
ASV.81	77	143	2
ASV.82	233	142	1
ASV.83	262	139	1
ASV.84	76	137	2
ASV.85	83	136	3
ASV.86	317	135	1
ASV.87	55	134	1
ASV.88	322	134	1
ASV.89	322	129	2
ASV.90	262	124	2
ASV.91	74	117	3
ASV.92	255	117	3
ASV.94	322	111	1
ASV.95	322	104	1
ASV.96	328	104	1
ASV.97	275	104	3
ASV.98	196	104	1
ASV.99	25	102	3
ASV.100	165	102	4
ASV.101	325	101	1
ASV.102	199	96	2
ASV.103	325	93	1
ASV.104	328	90	1
ASV.106	421	88	1
ASV.107	164	85	1
ASV.109	34	82	4
ASV.110	45	81	2
ASV.111	316	81	1
ASV.112	137	80	2
ASV.113	187	79	1
ASV.114	118	76	4
ASV.115	35	75	3
ASV.116	31	73	4
ASV.117	100	72	1
ASV.118	322	71	1
ASV.119	59	71	2
ASV.121	112	66	2
ASV.122	164	66	2
ASV.123	280	65	1
ASV.124	340	64	1
ASV.125	149	63	3
ASV.126	153	63	2
ASV.127	282	62	1
ASV.128	319	62	1
ASV.129	173	61	2
ASV.130	340	61	1
ASV.131	77	60	2
ASV.132	73	58	1
ASV.133	111	58	2
ASV.134	322	57	1
ASV.135	162	56	1
ASV.136	149	55	2
ASV.137	259	54	2
ASV.138	131	54	2
ASV.139	37	52	5
ASV.140	54	51	3
ASV.141	262	50	1
ASV.142	328	50	1
ASV.144	139	49	3
ASV.145	49	48	3
ASV.146	149	48	2
ASV.147	445	48	1
ASV.148	201	48	1
ASV.149	108	48	1
ASV.150	88	47	3
