SRR13612837	SRR13612838	SRR13612840	SRR13612903	SRR13612904	SRR13612905	SRR13612906
ASV.283	0	0	0	0	18	0	0
ASV.284	0	0	0	0	0	8	10
ASV.285	0	0	0	4	13	0	0
ASV.286	0	0	0	17	0	0	0
ASV.287	0	0	0	17	0	0	0
ASV.288	0	0	0	17	0	0	0
ASV.289	0	0	0	0	17	0	0
ASV.290	0	0	0	0	17	0	0
ASV.291	0	0	0	0	0	8	9
ASV.293	0	0	0	0	0	0	17
ASV.294	0	0	0	0	0	0	17
ASV.295	9	3	4	0	0	0	0
ASV.296	0	0	0	11	5	0	0
ASV.297	0	0	0	16	0	0	0
ASV.298	0	0	0	13	0	3	0
ASV.300	0	0	0	0	16	0	0
ASV.301	0	0	0	0	16	0	0
ASV.302	15	0	0	0	0	0	0
ASV.303	5	7	3	0	0	0	0
ASV.304	7	8	0	0	0	0	0
ASV.305	3	0	0	0	0	12	0
ASV.306	15	0	0	0	0	0	0
ASV.307	0	15	0	0	0	0	0
ASV.308	0	0	0	15	0	0	0
ASV.309	0	0	0	8	0	7	0
ASV.310	0	0	0	15	0	0	0
ASV.311	0	0	0	15	0	0	0
ASV.312	0	0	0	7	8	0	0
ASV.313	0	0	0	15	0	0	0
ASV.314	0	0	0	15	0	0	0
ASV.315	0	0	0	0	15	0	0
ASV.316	0	0	0	0	15	0	0
ASV.318	0	0	0	0	15	0	0
ASV.319	0	0	0	0	15	0	0
ASV.320	0	0	0	0	15	0	0
ASV.321	0	0	0	0	15	0	0
ASV.322	0	0	0	0	12	3	0
ASV.323	0	0	0	0	15	0	0
ASV.324	0	0	0	0	0	6	9
ASV.326	0	0	0	0	0	7	8
ASV.327	0	0	0	0	0	9	6
ASV.328	0	0	0	0	0	10	5
ASV.329	0	0	0	0	0	0	15
ASV.330	0	14	0	0	0	0	0
ASV.331	0	14	0	0	0	0	0
ASV.332	0	14	0	0	0	0	0
ASV.333	0	0	0	14	0	0	0
ASV.334	0	0	0	14	0	0	0
ASV.336	0	0	0	0	0	0	14
ASV.337	0	2	0	0	0	0	11
ASV.338	0	5	8	0	0	0	0
ASV.339	0	0	13	0	0	0	0
ASV.340	0	0	0	13	0	0	0
ASV.341	0	0	0	13	0	0	0
ASV.342	0	0	0	13	0	0	0
ASV.344	0	0	0	0	3	0	10
ASV.345	0	0	0	0	13	0	0
ASV.346	0	0	0	0	13	0	0
ASV.348	0	0	0	0	13	0	0
ASV.349	0	0	0	0	0	13	0
ASV.351	0	0	0	0	0	10	3
ASV.352	0	0	0	0	0	0	13
ASV.353	9	0	3	0	0	0	0
ASV.354	12	0	0	0	0	0	0
ASV.355	12	0	0	0	0	0	0
ASV.356	12	0	0	0	0	0	0
ASV.357	5	7	0	0	0	0	0
ASV.358	0	12	0	0	0	0	0
ASV.359	0	0	0	12	0	0	0
ASV.360	0	0	0	12	0	0	0
ASV.361	0	0	0	12	0	0	0
ASV.362	0	0	0	3	9	0	0
ASV.363	0	0	0	12	0	0	0
ASV.364	0	0	0	12	0	0	0
ASV.365	0	0	0	12	0	0	0
ASV.366	0	0	0	0	12	0	0
ASV.367	0	0	0	0	12	0	0
ASV.368	0	0	0	0	12	0	0
ASV.369	0	0	0	0	12	0	0
ASV.370	0	0	0	0	0	8	4
ASV.372	0	0	0	0	0	0	12
ASV.373	0	0	0	0	0	0	12
ASV.374	0	0	0	0	0	0	12
ASV.375	0	0	0	0	0	0	12
ASV.376	0	0	0	0	0	0	12
ASV.377	0	3	8	0	0	0	0
ASV.380	0	0	0	11	0	0	0
ASV.381	0	0	0	11	0	0	0
ASV.382	0	0	0	11	0	0	0
ASV.383	0	0	0	11	0	0	0
ASV.384	0	0	0	11	0	0	0
ASV.385	0	0	0	11	0	0	0
ASV.386	0	0	0	11	0	0	0
ASV.387	0	0	0	0	11	0	0
ASV.388	0	0	0	0	11	0	0
ASV.389	0	0	0	0	11	0	0
ASV.391	0	0	0	0	11	0	0
ASV.392	0	0	0	0	11	0	0
ASV.393	0	0	0	0	11	0	0
ASV.394	0	0	0	0	9	0	2
ASV.396	0	0	0	0	11	0	0
ASV.397	0	0	0	0	11	0	0
ASV.400	0	0	0	0	0	11	0
ASV.401	0	0	0	0	0	11	0
ASV.402	0	0	0	0	0	0	11
ASV.404	0	0	0	0	0	0	11
ASV.405	10	0	0	0	0	0	0
ASV.406	10	0	0	0	0	0	0
ASV.407	10	0	0	0	0	0	0
ASV.408	0	10	0	0	0	0	0
ASV.409	0	10	0	0	0	0	0
ASV.411	0	10	0	0	0	0	0
ASV.412	0	0	0	10	0	0	0
ASV.413	0	0	0	10	0	0	0
ASV.414	0	0	0	10	0	0	0
ASV.415	0	0	0	10	0	0	0
ASV.416	0	0	0	10	0	0	0
ASV.417	0	0	0	3	7	0	0
ASV.419	0	0	0	10	0	0	0
ASV.420	0	0	0	10	0	0	0
ASV.421	0	0	0	10	0	0	0
ASV.423	0	0	0	0	10	0	0
ASV.424	0	0	0	0	10	0	0
ASV.425	0	0	0	0	10	0	0
ASV.426	0	0	0	0	10	0	0
ASV.427	0	0	0	0	0	6	4
ASV.428	0	0	0	0	0	10	0
ASV.429	0	0	0	0	0	7	3
ASV.431	0	0	0	0	0	0	10
ASV.432	0	0	0	0	0	0	10
ASV.433	9	0	0	0	0	0	0
ASV.434	9	0	0	0	0	0	0
ASV.435	9	0	0	0	0	0	0
ASV.436	0	9	0	0	0	0	0
ASV.438	0	0	9	0	0	0	0
ASV.439	0	0	9	0	0	0	0
ASV.440	0	0	9	0	0	0	0
ASV.441	0	0	9	0	0	0	0
ASV.442	0	0	0	9	0	0	0
ASV.445	0	0	0	9	0	0	0
ASV.446	0	0	0	9	0	0	0
ASV.447	0	0	0	9	0	0	0
ASV.448	0	0	0	3	6	0	0
ASV.449	0	0	0	4	5	0	0
ASV.450	0	0	0	9	0	0	0
ASV.451	0	0	0	3	0	0	6
ASV.452	0	0	0	9	0	0	0
ASV.453	0	0	0	9	0	0	0
ASV.454	0	0	0	5	0	0	4
ASV.455	0	0	0	0	9	0	0
ASV.456	0	0	0	0	9	0	0
ASV.457	0	0	0	0	9	0	0
ASV.458	0	0	0	0	9	0	0
ASV.461	0	0	0	0	9	0	0
ASV.462	0	0	0	0	9	0	0
ASV.463	0	0	0	0	9	0	0
ASV.464	0	0	0	0	9	0	0
ASV.465	0	0	0	0	9	0	0
ASV.467	0	0	0	0	9	0	0
ASV.468	0	0	0	0	9	0	0
ASV.469	0	0	0	0	0	4	5
ASV.470	0	0	0	0	0	9	0
ASV.471	0	0	0	0	0	0	9
ASV.473	8	0	0	0	0	0	0
ASV.474	8	0	0	0	0	0	0
ASV.475	8	0	0	0	0	0	0
ASV.476	8	0	0	0	0	0	0
ASV.477	8	0	0	0	0	0	0
ASV.478	8	0	0	0	0	0	0
ASV.479	0	8	0	0	0	0	0
ASV.480	0	8	0	0	0	0	0
ASV.481	0	6	0	0	0	2	0
ASV.482	0	4	4	0	0	0	0
ASV.483	0	8	0	0	0	0	0
ASV.484	0	0	8	0	0	0	0
ASV.486	0	0	0	8	0	0	0
ASV.488	0	0	0	8	0	0	0
ASV.489	0	0	0	8	0	0	0
ASV.490	0	0	0	8	0	0	0
ASV.491	0	0	0	8	0	0	0
ASV.492	0	0	0	8	0	0	0
ASV.493	0	0	0	8	0	0	0
ASV.494	0	0	0	8	0	0	0
ASV.495	0	0	0	8	0	0	0
ASV.496	0	0	0	0	8	0	0
ASV.497	0	0	0	0	8	0	0
ASV.498	0	0	0	0	8	0	0
ASV.499	0	0	0	0	8	0	0
ASV.500	0	0	0	0	8	0	0
ASV.501	0	0	0	0	8	0	0
ASV.502	0	0	0	0	8	0	0
ASV.503	0	0	0	0	8	0	0
ASV.504	0	0	0	0	8	0	0
ASV.505	0	0	0	0	0	4	4
ASV.506	0	0	0	0	0	8	0
ASV.507	0	0	0	0	0	3	5
ASV.508	0	0	0	0	0	5	3
ASV.509	0	0	0	0	0	3	5
ASV.510	0	0	0	0	0	4	4
ASV.511	0	0	0	0	0	8	0
ASV.512	0	0	0	0	0	5	3
ASV.513	0	0	0	0	0	2	6
ASV.514	0	0	0	0	0	4	4
ASV.515	0	0	0	0	0	0	8
ASV.516	0	0	0	0	0	0	8
ASV.517	0	0	0	0	0	0	8
ASV.518	0	0	0	0	0	0	8
ASV.519	0	0	0	0	0	0	8
ASV.520	7	0	0	0	0	0	0
ASV.521	7	0	0	0	0	0	0
ASV.522	5	0	0	0	0	0	2
ASV.523	7	0	0	0	0	0	0
ASV.524	7	0	0	0	0	0	0
ASV.525	7	0	0	0	0	0	0
ASV.526	7	0	0	0	0	0	0
ASV.527	4	0	3	0	0	0	0
ASV.528	7	0	0	0	0	0	0
ASV.530	0	7	0	0	0	0	0
ASV.531	0	7	0	0	0	0	0
ASV.532	0	4	3	0	0	0	0
ASV.533	0	7	0	0	0	0	0
ASV.534	0	0	7	0	0	0	0
ASV.535	0	0	7	0	0	0	0
ASV.536	0	0	7	0	0	0	0
ASV.537	0	0	7	0	0	0	0
ASV.538	0	0	0	7	0	0	0
ASV.539	0	0	0	7	0	0	0
ASV.540	0	0	0	7	0	0	0
ASV.541	0	0	0	7	0	0	0
ASV.542	0	0	0	7	0	0	0
ASV.543	0	0	0	7	0	0	0
ASV.544	0	0	0	7	0	0	0
ASV.545	0	0	0	7	0	0	0
ASV.546	0	0	0	7	0	0	0
ASV.547	0	0	0	7	0	0	0
ASV.548	0	0	0	7	0	0	0
ASV.549	0	0	0	7	0	0	0
ASV.551	0	0	0	7	0	0	0
ASV.552	0	0	0	7	0	0	0
ASV.553	0	0	0	7	0	0	0
ASV.554	0	0	0	4	0	3	0
ASV.555	0	0	0	7	0	0	0
ASV.556	0	0	0	7	0	0	0
ASV.557	0	0	0	7	0	0	0
ASV.558	0	0	0	0	7	0	0
ASV.559	0	0	0	0	7	0	0
ASV.560	0	0	0	0	7	0	0
ASV.561	0	0	0	0	7	0	0
ASV.563	0	0	0	0	7	0	0
ASV.565	0	0	0	0	0	7	0
ASV.567	0	0	0	0	0	7	0
ASV.568	0	0	0	0	0	7	0
ASV.569	0	0	0	0	0	3	4
ASV.570	0	0	0	0	0	7	0
ASV.571	0	0	0	0	0	7	0
ASV.572	0	0	0	0	0	0	7
ASV.573	0	0	0	0	0	0	7
ASV.574	0	0	0	0	0	0	7
ASV.575	0	0	0	0	0	0	7
ASV.576	0	0	0	0	0	0	7
ASV.577	6	0	0	0	0	0	0
ASV.578	6	0	0	0	0	0	0
ASV.579	6	0	0	0	0	0	0
ASV.580	6	0	0	0	0	0	0
ASV.581	6	0	0	0	0	0	0
ASV.582	6	0	0	0	0	0	0
ASV.583	6	0	0	0	0	0	0
ASV.584	6	0	0	0	0	0	0
ASV.585	6	0	0	0	0	0	0
ASV.586	6	0	0	0	0	0	0
ASV.587	6	0	0	0	0	0	0
ASV.588	6	0	0	0	0	0	0
ASV.589	6	0	0	0	0	0	0
ASV.590	0	6	0	0	0	0	0
ASV.591	0	6	0	0	0	0	0
ASV.592	0	6	0	0	0	0	0
ASV.594	0	6	0	0	0	0	0
ASV.595	0	0	0	6	0	0	0
ASV.596	0	0	0	6	0	0	0
ASV.597	0	0	0	6	0	0	0
ASV.598	0	0	0	6	0	0	0
ASV.599	0	0	0	6	0	0	0
ASV.602	0	0	0	6	0	0	0
ASV.603	0	0	0	6	0	0	0
ASV.604	0	0	0	6	0	0	0
ASV.605	0	0	0	6	0	0	0
ASV.606	0	0	0	6	0	0	0
ASV.607	0	0	0	6	0	0	0
ASV.608	0	0	0	6	0	0	0
ASV.609	0	0	0	6	0	0	0
ASV.610	0	0	0	6	0	0	0
ASV.611	0	0	0	6	0	0	0
ASV.612	0	0	0	6	0	0	0
ASV.613	0	0	0	6	0	0	0
ASV.614	0	0	0	6	0	0	0
ASV.615	0	0	0	6	0	0	0
ASV.617	0	0	0	6	0	0	0
ASV.618	0	0	0	6	0	0	0
ASV.619	0	0	0	4	2	0	0
ASV.620	0	0	0	6	0	0	0
ASV.621	0	0	0	6	0	0	0
ASV.622	0	0	0	0	6	0	0
ASV.623	0	0	0	0	6	0	0
ASV.624	0	0	0	0	6	0	0
ASV.626	0	0	0	0	6	0	0
ASV.627	0	0	0	0	6	0	0
ASV.628	0	0	0	0	6	0	0
ASV.630	0	0	0	0	6	0	0
ASV.631	0	0	0	0	6	0	0
ASV.632	0	0	0	0	6	0	0
ASV.635	0	0	0	0	6	0	0
ASV.636	0	0	0	0	6	0	0
ASV.637	0	0	0	0	6	0	0
ASV.638	0	0	0	0	6	0	0
ASV.639	0	0	0	0	6	0	0
ASV.640	0	0	0	0	6	0	0
ASV.641	0	0	0	0	6	0	0
ASV.642	0	0	0	0	6	0	0
ASV.643	0	0	0	0	6	0	0
ASV.644	0	0	0	0	6	0	0
ASV.645	0	0	0	0	6	0	0
ASV.646	0	0	0	0	6	0	0
ASV.647	0	0	0	0	0	3	3
ASV.648	0	0	0	0	0	6	0
ASV.649	0	0	0	0	0	6	0
ASV.651	0	0	0	0	0	6	0
ASV.653	0	0	0	0	0	6	0
ASV.655	0	0	0	0	0	0	6
ASV.656	0	0	0	0	0	0	6
ASV.658	0	0	0	0	0	0	6
ASV.659	0	0	0	0	0	0	6
ASV.660	0	0	0	0	0	0	6
ASV.661	0	0	0	0	0	0	6
ASV.662	0	0	0	0	0	0	6
ASV.663	0	0	0	0	0	0	6
ASV.664	0	0	0	0	0	0	6
ASV.665	0	0	0	0	0	0	6
ASV.666	0	0	0	0	0	0	6
ASV.667	0	0	0	0	0	0	6
ASV.668	5	0	0	0	0	0	0
ASV.669	5	0	0	0	0	0	0
ASV.670	5	0	0	0	0	0	0
ASV.671	5	0	0	0	0	0	0
ASV.672	5	0	0	0	0	0	0
ASV.673	5	0	0	0	0	0	0
ASV.674	5	0	0	0	0	0	0
ASV.675	5	0	0	0	0	0	0
ASV.676	5	0	0	0	0	0	0
ASV.677	5	0	0	0	0	0	0
ASV.678	5	0	0	0	0	0	0
ASV.679	0	5	0	0	0	0	0
ASV.680	0	5	0	0	0	0	0
ASV.681	0	5	0	0	0	0	0
ASV.682	0	5	0	0	0	0	0
ASV.683	0	5	0	0	0	0	0
ASV.684	0	5	0	0	0	0	0
ASV.685	0	0	5	0	0	0	0
ASV.686	0	0	5	0	0	0	0
ASV.687	0	0	5	0	0	0	0
ASV.688	0	0	5	0	0	0	0
ASV.689	0	0	0	5	0	0	0
ASV.690	0	0	0	5	0	0	0
ASV.692	0	0	0	5	0	0	0
ASV.693	0	0	0	5	0	0	0
ASV.694	0	0	0	5	0	0	0
ASV.695	0	0	0	5	0	0	0
ASV.696	0	0	0	5	0	0	0
ASV.697	0	0	0	5	0	0	0
ASV.698	0	0	0	5	0	0	0
ASV.699	0	0	0	5	0	0	0
ASV.700	0	0	0	5	0	0	0
ASV.701	0	0	0	5	0	0	0
ASV.702	0	0	0	5	0	0	0
ASV.704	0	0	0	5	0	0	0
ASV.705	0	0	0	5	0	0	0
ASV.706	0	0	0	5	0	0	0
ASV.707	0	0	0	5	0	0	0
ASV.708	0	0	0	5	0	0	0
ASV.709	0	0	0	5	0	0	0
ASV.710	0	0	0	5	0	0	0
ASV.711	0	0	0	5	0	0	0
ASV.713	0	0	0	5	0	0	0
ASV.714	0	0	0	5	0	0	0
ASV.715	0	0	0	5	0	0	0
ASV.716	0	0	0	5	0	0	0
ASV.717	0	0	0	5	0	0	0
ASV.718	0	0	0	5	0	0	0
ASV.719	0	0	0	5	0	0	0
ASV.721	0	0	0	5	0	0	0
ASV.722	0	0	0	5	0	0	0
ASV.723	0	0	0	5	0	0	0
ASV.724	0	0	0	5	0	0	0
ASV.725	0	0	0	5	0	0	0
ASV.726	0	0	0	5	0	0	0
ASV.727	0	0	0	5	0	0	0
ASV.728	0	0	0	0	5	0	0
ASV.729	0	0	0	0	5	0	0
ASV.730	0	0	0	0	5	0	0
ASV.731	0	0	0	0	5	0	0
ASV.732	0	0	0	0	5	0	0
ASV.734	0	0	0	0	5	0	0
ASV.735	0	0	0	0	3	0	2
ASV.736	0	0	0	0	5	0	0
ASV.737	0	0	0	0	5	0	0
ASV.738	0	0	0	0	5	0	0
ASV.740	0	0	0	0	5	0	0
ASV.741	0	0	0	0	5	0	0
ASV.743	0	0	0	0	5	0	0
ASV.744	0	0	0	0	5	0	0
ASV.745	0	0	0	0	5	0	0
ASV.746	0	0	0	0	5	0	0
ASV.747	0	0	0	0	0	5	0
ASV.748	0	0	0	0	0	5	0
ASV.749	0	0	0	0	0	2	3
ASV.750	0	0	0	0	0	5	0
ASV.752	0	0	0	0	0	5	0
ASV.753	0	0	0	0	0	5	0
ASV.755	0	0	0	0	0	5	0
ASV.756	0	0	0	0	0	5	0
ASV.757	0	0	0	0	0	5	0
ASV.758	0	0	0	0	0	5	0
ASV.759	0	0	0	0	0	5	0
ASV.760	0	0	0	0	0	5	0
ASV.761	0	0	0	0	0	2	3
ASV.762	0	0	0	0	0	0	5
ASV.763	0	0	0	0	0	0	5
ASV.764	0	0	0	0	0	0	5
ASV.765	0	0	0	0	0	0	5
ASV.766	0	0	0	0	0	0	5
ASV.768	0	0	0	0	0	0	5
ASV.769	0	0	0	0	0	0	5
ASV.770	0	0	0	0	0	0	5
ASV.771	0	0	0	0	0	0	5
ASV.772	0	0	0	0	0	0	5
ASV.773	0	0	0	0	0	0	5
ASV.774	0	0	0	0	0	0	5
ASV.775	0	0	0	0	0	0	5
ASV.776	0	0	0	0	0	0	5
ASV.777	0	0	0	0	0	0	5
ASV.778	0	0	0	0	0	0	5
ASV.779	0	0	0	0	0	0	5
ASV.780	0	0	0	0	0	0	5
ASV.781	0	0	0	0	0	0	5
ASV.782	0	0	0	0	0	0	5
ASV.784	0	0	0	0	0	0	5
ASV.785	4	0	0	0	0	0	0
ASV.786	4	0	0	0	0	0	0
ASV.787	4	0	0	0	0	0	0
ASV.788	4	0	0	0	0	0	0
