#Source	Type	SizeFrac	SampName
RawFastqs/SRR15563483_R1.fastq.gz	DNA	Frac_0.2	SRR15563483
RawFastqs/SRR15563483_R2.fastq.gz	DNA	Frac_0.2	SRR15563483
RawFastqs/SRR15563484_R1.fastq.gz	DNA	Frac_0.2	SRR15563484
RawFastqs/SRR15563484_R2.fastq.gz	DNA	Frac_0.2	SRR15563484
RawFastqs/SRR15563485_R1.fastq.gz	DNA	Frac_0.2	SRR15563485
RawFastqs/SRR15563485_R2.fastq.gz	DNA	Frac_0.2	SRR15563485
RawFastqs/SRR15563486_R1.fastq.gz	DNA	Frac_0.2	SRR15563486
RawFastqs/SRR15563486_R2.fastq.gz	DNA	Frac_0.2	SRR15563486
RawFastqs/SRR15563487_R1.fastq.gz	DNA	Frac_0.2	SRR15563487
RawFastqs/SRR15563487_R2.fastq.gz	DNA	Frac_0.2	SRR15563487
RawFastqs/SRR15563488_R1.fastq.gz	DNA	Frac_0.2	SRR15563488
RawFastqs/SRR15563488_R2.fastq.gz	DNA	Frac_0.2	SRR15563488
RawFastqs/SRR15563489_R1.fastq.gz	DNA	Frac_0.2	SRR15563489
RawFastqs/SRR15563489_R2.fastq.gz	DNA	Frac_0.2	SRR15563489
RawFastqs/SRR15563490_R1.fastq.gz	DNA	Frac_0.2	SRR15563490
RawFastqs/SRR15563490_R2.fastq.gz	DNA	Frac_0.2	SRR15563490
RawFastqs/SRR15563491_R1.fastq.gz	DNA	Frac_0.2	SRR15563491
RawFastqs/SRR15563491_R2.fastq.gz	DNA	Frac_0.2	SRR15563491
RawFastqs/SRR15563492_R1.fastq.gz	DNA	Frac_0.2	SRR15563492
RawFastqs/SRR15563492_R2.fastq.gz	DNA	Frac_0.2	SRR15563492
RawFastqs/SRR15563493_R1.fastq.gz	DNA	Frac_0.2	SRR15563493
RawFastqs/SRR15563493_R2.fastq.gz	DNA	Frac_0.2	SRR15563493
RawFastqs/SRR15563494_R1.fastq.gz	DNA	Frac_0.2	SRR15563494
RawFastqs/SRR15563494_R2.fastq.gz	DNA	Frac_0.2	SRR15563494
RawFastqs/SRR15563495_R1.fastq.gz	DNA	Frac_0.2	SRR15563495
RawFastqs/SRR15563495_R2.fastq.gz	DNA	Frac_0.2	SRR15563495
RawFastqs/SRR15563496_R1.fastq.gz	DNA	Frac_0.2	SRR15563496
RawFastqs/SRR15563496_R2.fastq.gz	DNA	Frac_0.2	SRR15563496
RawFastqs/SRR15563497_R1.fastq.gz	DNA	Frac_0.2	SRR15563497
RawFastqs/SRR15563497_R2.fastq.gz	DNA	Frac_0.2	SRR15563497
RawFastqs/SRR15563498_R1.fastq.gz	DNA	Frac_0.2	SRR15563498
