KH.13.7.W05.100per.RNA	KH.13.7.W06.100per.RNA	KH.13.7.W07.100per.RNA
ASV.01	0	36	4282
ASV.02	2122	0	0
ASV.03	0	0	1114
ASV.04	1040	0	0
ASV.05	157	762	0
ASV.06	0	0	837
ASV.07	467	346	0
ASV.08	752	0	0
ASV.09	0	0	656
ASV.010	0	655	0
ASV.011	460	0	0
ASV.012	455	0	0
ASV.013	0	408	0
ASV.014	0	387	0
ASV.015	340	0	0
ASV.016	0	0	302
ASV.017	0	0	140
ASV.018	98	0	0
ASV.019	65	0	0
ASV.020	0	63	0
ASV.021	0	0	56
ASV.022	53	0	0
ASV.023	42	0	0
ASV.024	0	19	0
ASV.025	0	2	0
