KH.11.10.E15.100per.DNA	KH.11.10.E15.1per.DNA	KH.11.10.E16.100per.DNA	KH.11.10.E16.25per.DNA	KH.11.10.E17.100per.DNA	KH.11.10.E17.25per.DNA	KH.11.10.E18.100per.DNA	KH.13.7.W05.100per.DNA	KH.13.7.W05.1per.DNA	KH.13.7.W05.25per.DNA	KH.13.7.W06.100per.DNA	KH.13.7.W06.25per.DNA	KH.13.7.W07.100per.DNA	KH.13.7.W07.25per.DNA	KH.13.7.W08.100per.DNA	KH.13.7.W08.1per.DNA	KH.13.7.W08.25per.DNA
ASV.072	0	4	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0
ASV.073	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.074	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0
ASV.075	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0
ASV.076	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.077	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.078	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0
ASV.079	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.080	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.081	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0
ASV.082	0	35	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV.083	0	0	0	0	19	0	0	0	0	21	0	0	0	0	0	0	0
ASV.084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
ASV.085	0	35	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV.086	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.087	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.088	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.089	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.090	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.091	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.092	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.093	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.094	0	4	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
ASV.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
ASV.096	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0
ASV.097	0	0	14	0	0	0	0	0	0	0	0	0	0	12	0	0	0
ASV.098	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.099	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
ASV.0100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
ASV.0101	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0
ASV.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
ASV.0104	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
ASV.0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
ASV.0106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
ASV.0107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
ASV.0108	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
ASV.0109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
ASV.0110	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0111	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0112	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
ASV.0113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV.0114	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0115	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0116	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0117	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
ASV.0118	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
ASV.0119	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
ASV.0120	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0121	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0122	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0123	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
ASV.0125	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0126	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0127	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0128	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0129	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0130	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ASV.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
ASV.0132	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0133	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV.0134	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0135	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
ASV.0137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
ASV.0138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
ASV.0139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
ASV.0140	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0141	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0142	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0143	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
ASV.0144	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ASV.0145	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ASV.0146	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0147	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ASV.0149	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0150	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0151	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0152	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0153	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0154	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
ASV.0155	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
ASV.0156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ASV.0157	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0158	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0159	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ASV.0161	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0162	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0163	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0164	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0165	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0166	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
