SRR13612830	SRR13612831	SRR13612832
ASV.1	15754	13249	14151
ASV.2	14602	12241	14735
ASV.3	1314	1165	2673
ASV.4	1239	1290	1156
ASV.5	1685	1682	0
ASV.10	521	301	262
ASV.11	231	291	380
ASV.12	268	269	340
ASV.13	276	257	236
ASV.14	125	352	227
ASV.15	230	261	193
ASV.16	227	260	138
ASV.17	160	191	242
ASV.18	200	198	181
ASV.20	180	172	151
ASV.21	130	138	184
ASV.22	214	124	84
ASV.23	80	175	132
ASV.25	113	138	107
ASV.27	114	99	103
ASV.28	88	66	80
ASV.30	84	107	0
ASV.31	67	57	45
ASV.32	59	47	51
ASV.33	53	47	40
ASV.34	40	56	43
ASV.35	84	0	53
ASV.36	132	0	0
ASV.37	49	39	39
ASV.38	56	36	21
ASV.39	46	29	33
ASV.40	50	21	28
ASV.41	0	0	95
ASV.44	87	0	0
ASV.46	27	27	22
ASV.47	0	0	73
ASV.48	0	0	72
ASV.49	21	24	21
ASV.50	26	17	18
ASV.51	46	0	0
ASV.52	45	0	0
ASV.53	45	0	0
ASV.54	14	15	14
ASV.55	0	43	0
ASV.56	13	16	13
ASV.57	9	17	15
ASV.58	38	0	0
ASV.59	15	10	13
ASV.60	0	38	0
ASV.61	19	18	0
ASV.63	0	0	36
ASV.64	21	13	0
ASV.66	13	8	12
ASV.67	7	16	7
ASV.68	15	15	0
ASV.69	0	0	30
ASV.70	10	12	6
ASV.72	6	9	12
ASV.73	27	0	0
ASV.74	0	13	13
ASV.75	4	16	5
ASV.76	8	17	0
ASV.77	15	0	10
ASV.78	24	0	0
ASV.79	24	0	0
ASV.80	0	9	13
ASV.81	7	8	6
ASV.83	0	11	8
ASV.84	11	0	6
ASV.85	5	0	12
ASV.86	0	0	17
ASV.87	0	0	17
ASV.88	9	7	0
ASV.89	16	0	0
ASV.90	8	4	4
ASV.91	7	8	0
ASV.92	14	0	0
ASV.93	14	0	0
ASV.94	14	0	0
ASV.95	5	0	8
ASV.96	13	0	0
ASV.97	7	6	0
ASV.98	13	0	0
ASV.99	5	8	0
ASV.100	0	13	0
ASV.101	0	4	9
ASV.102	0	9	4
ASV.103	10	2	0
ASV.104	12	0	0
ASV.105	12	0	0
ASV.107	12	0	0
ASV.108	12	0	0
ASV.109	6	6	0
ASV.110	0	3	9
ASV.111	0	5	7
ASV.112	0	12	0
ASV.113	0	0	12
ASV.114	0	0	12
ASV.115	11	0	0
ASV.116	0	11	0
ASV.117	0	11	0
ASV.118	10	0	0
ASV.119	3	0	7
ASV.120	5	5	0
ASV.121	3	7	0
ASV.122	10	0	0
ASV.124	5	0	5
ASV.125	10	0	0
ASV.126	0	5	5
ASV.127	0	0	10
ASV.128	9	0	0
ASV.129	5	0	4
ASV.130	7	0	2
ASV.131	4	5	0
ASV.132	9	0	0
ASV.133	0	9	0
ASV.134	0	9	0
ASV.135	8	0	0
ASV.136	8	0	0
ASV.137	8	0	0
ASV.138	5	3	0
ASV.139	4	0	4
ASV.140	5	3	0
ASV.141	3	0	5
ASV.142	8	0	0
ASV.143	8	0	0
ASV.144	8	0	0
ASV.145	0	8	0
ASV.146	0	8	0
ASV.147	0	8	0
ASV.148	0	8	0
ASV.149	0	6	2
ASV.150	0	5	3
ASV.151	0	3	5
ASV.152	0	0	8
ASV.153	0	0	8
ASV.154	7	0	0
ASV.155	7	0	0
ASV.156	3	4	0
ASV.157	4	3	0
ASV.158	7	0	0
ASV.159	7	0	0
ASV.160	7	0	0
ASV.161	7	0	0
ASV.162	7	0	0
ASV.163	0	3	4
ASV.164	0	7	0
ASV.165	0	7	0
ASV.166	0	7	0
ASV.168	0	0	7
ASV.169	0	0	7
ASV.170	0	0	7
ASV.171	6	0	0
ASV.172	6	0	0
ASV.173	6	0	0
ASV.174	6	0	0
ASV.175	3	0	3
ASV.176	6	0	0
ASV.177	4	0	2
ASV.178	6	0	0
ASV.179	6	0	0
ASV.180	6	0	0
ASV.181	0	6	0
ASV.182	0	6	0
ASV.183	0	6	0
ASV.184	0	6	0
ASV.186	0	4	2
ASV.187	0	6	0
ASV.188	0	2	4
ASV.189	0	0	6
