KH.14.3.St03day.cDNA	KH.14.3.St04day.cDNA	KH.14.3.St04night.cDNA	KH.14.3.St05day.cDNA	KH.14.3.St05night.cDNA	KH.14.3.St06day.cDNA	KH.14.3.St06night.cDNA	KH.14.3.St07day.cDNA	KH.14.3.St07night.cDNA	KH.14.3.St08day.cDNA	KH.14.3.St08night.cDNA	KH.14.3.St09day.cDNA	KH.14.3.St11day.cDNA	KH.14.3.St13day.cDNA
ASV.087	0	0	0	0	0	0	0	0	0	0	0	0	0	34
ASV.088	0	0	0	0	0	0	0	0	0	0	0	32	0	0
ASV.089	0	0	0	0	30	0	0	0	0	0	0	0	0	0
ASV.090	0	0	0	0	30	0	0	0	0	0	0	0	0	0
ASV.091	0	0	0	0	0	0	0	0	0	0	0	30	0	0
ASV.092	0	0	0	0	0	0	0	0	0	29	0	0	0	0
ASV.093	0	0	0	0	0	0	0	0	0	0	0	0	25	0
ASV.094	0	0	0	0	0	0	0	0	0	0	25	0	0	0
ASV.095	0	0	0	0	0	0	0	0	0	0	0	0	23	0
ASV.096	0	0	0	0	0	0	0	0	0	21	0	0	0	0
ASV.097	0	0	0	0	0	0	0	0	0	20	0	0	0	0
ASV.098	0	0	0	0	0	0	0	0	0	0	0	0	19	0
ASV.099	0	0	0	0	0	0	0	0	0	0	0	17	0	0
ASV.0100	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV.0101	0	0	0	0	0	0	0	0	0	0	16	0	0	0
ASV.0102	0	0	0	0	0	0	0	0	0	0	0	0	16	0
ASV.0103	0	0	0	0	0	0	0	0	0	0	0	15	0	0
ASV.0104	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ASV.0105	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ASV.0106	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV.0107	0	14	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0108	0	0	0	0	0	0	0	0	0	0	0	0	12	0
ASV.0109	0	0	0	11	0	0	0	0	0	0	0	0	0	0
ASV.0110	0	0	0	0	0	0	0	0	0	0	0	0	10	0
ASV.0111	0	0	0	0	0	0	0	0	0	0	0	0	10	0
ASV.0112	0	0	0	0	0	0	0	0	0	9	0	0	0	0
ASV.0113	0	0	0	0	0	0	0	0	0	0	0	0	9	0
ASV.0114	0	0	0	0	0	0	0	0	0	0	0	0	9	0
ASV.0115	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ASV.0116	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ASV.0117	0	0	0	0	0	0	0	0	0	0	7	0	0	0
ASV.0118	0	0	0	0	0	0	0	0	0	0	7	0	0	0
ASV.0119	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ASV.0120	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0121	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ASV.0122	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ASV.0123	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ASV.0124	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV.0125	0	0	0	0	0	0	0	0	0	0	0	6	0	0
ASV.0126	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ASV.0127	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ASV.0128	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0129	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0130	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0131	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV.0132	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV.0133	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV.0134	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.0135	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV.0136	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV.0137	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV.0138	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV.0139	0	0	0	0	0	0	0	0	0	0	0	0	2	0
