SRR13612895	SRR13612896	SRR13612898
ASV.1	32683	28833	36705
ASV.2	379	6004	5826
ASV.3	2268	2208	1668
ASV.4	3828	0	0
ASV.5	1244	1208	1138
ASV.8	0	1658	0
ASV.11	319	580	171
ASV.12	448	264	353
ASV.13	88	285	329
ASV.14	305	167	214
ASV.15	0	0	597
ASV.16	257	107	129
ASV.17	226	125	108
ASV.20	0	408	0
ASV.22	147	0	191
ASV.24	18	154	138
ASV.25	36	103	70
ASV.26	69	80	59
ASV.27	45	62	70
ASV.28	176	0	0
ASV.29	37	75	62
ASV.30	0	0	167
ASV.31	28	74	59
ASV.32	0	160	0
ASV.33	62	35	59
ASV.34	90	24	17
ASV.35	121	0	0
ASV.36	62	21	24
ASV.37	29	27	26
ASV.38	18	31	31
ASV.39	30	30	14
ASV.40	23	19	31
ASV.41	0	0	71
ASV.42	0	43	27
ASV.43	0	19	48
ASV.44	0	65	0
ASV.45	18	28	18
ASV.46	0	27	36
ASV.47	5	27	30
ASV.49	15	27	10
ASV.50	29	20	0
ASV.51	46	0	0
ASV.52	12	11	23
ASV.53	14	3	28
ASV.54	14	30	0
ASV.55	21	0	22
ASV.57	0	24	19
ASV.58	11	16	14
ASV.59	20	21	0
ASV.60	0	41	0
ASV.61	9	11	19
ASV.62	23	15	0
ASV.63	0	0	37
ASV.64	0	0	36
ASV.65	0	28	7
ASV.66	0	35	0
ASV.67	14	0	20
ASV.68	34	0	0
ASV.69	9	9	16
ASV.70	0	23	11
ASV.73	11	7	12
ASV.74	7	22	0
ASV.75	9	8	11
ASV.76	0	12	16
ASV.77	7	15	5
ASV.78	7	12	8
ASV.79	10	9	6
ASV.80	7	9	9
ASV.81	19	0	6
ASV.82	8	9	8
ASV.83	0	0	25
ASV.84	23	0	0
ASV.85	7	16	0
ASV.87	0	23	0
ASV.88	0	0	23
ASV.89	9	5	8
ASV.90	0	12	10
ASV.91	0	22	0
ASV.92	0	9	13
ASV.93	0	0	22
ASV.94	9	0	12
ASV.95	0	12	9
ASV.96	0	8	13
ASV.97	11	6	3
ASV.99	20	0	0
ASV.100	0	20	0
ASV.101	9	6	4
ASV.102	0	10	9
ASV.103	12	6	0
ASV.105	0	18	0
ASV.106	17	0	0
ASV.107	0	0	17
ASV.108	16	0	0
ASV.109	7	9	0
ASV.110	16	0	0
ASV.111	16	0	0
ASV.112	0	0	16
ASV.113	12	0	3
ASV.115	0	15	0
ASV.116	11	3	0
ASV.117	14	0	0
ASV.118	13	0	0
ASV.119	10	3	0
ASV.120	0	13	0
ASV.121	0	8	5
ASV.122	0	8	5
ASV.123	0	0	13
ASV.124	6	6	0
ASV.125	12	0	0
ASV.126	0	12	0
ASV.127	0	5	7
ASV.128	0	0	12
ASV.129	0	0	12
ASV.130	0	0	12
ASV.131	11	0	0
ASV.133	4	2	5
ASV.134	0	6	5
ASV.135	0	11	0
ASV.136	0	0	11
ASV.138	0	10	0
ASV.139	0	5	5
ASV.140	0	10	0
ASV.141	0	10	0
ASV.142	0	10	0
ASV.143	0	5	5
ASV.144	0	3	7
ASV.145	9	0	0
ASV.146	9	0	0
ASV.147	9	0	0
ASV.148	9	0	0
ASV.149	0	9	0
ASV.151	0	5	4
ASV.152	0	9	0
ASV.153	0	9	0
ASV.154	0	4	5
ASV.155	0	0	9
ASV.156	0	0	9
ASV.157	8	0	0
ASV.158	8	0	0
ASV.160	8	0	0
ASV.161	8	0	0
ASV.162	8	0	0
ASV.163	8	0	0
ASV.164	8	0	0
ASV.165	8	0	0
ASV.166	0	8	0
ASV.167	0	8	0
ASV.168	0	0	8
ASV.169	0	0	8
ASV.170	0	0	8
ASV.171	7	0	0
ASV.172	5	0	2
ASV.173	7	0	0
ASV.174	7	0	0
ASV.175	7	0	0
ASV.176	0	4	3
ASV.177	0	7	0
ASV.179	0	7	0
ASV.180	0	7	0
ASV.181	0	5	2
ASV.182	0	7	0
ASV.183	0	0	7
ASV.184	0	0	7
ASV.185	0	0	7
ASV.186	0	0	7
ASV.187	6	0	0
ASV.188	6	0	0
ASV.189	6	0	0
ASV.190	6	0	0
ASV.191	4	2	0
ASV.192	6	0	0
ASV.193	6	0	0
ASV.194	2	4	0
ASV.195	6	0	0
ASV.196	6	0	0
ASV.197	0	2	4
ASV.198	0	6	0
ASV.199	0	6	0
ASV.200	0	6	0
ASV.201	0	6	0
ASV.202	0	0	6
ASV.203	0	0	6
ASV.204	0	0	6
ASV.205	0	0	6
ASV.206	0	0	6
ASV.207	0	0	6
