asvLen	totReads	numSamps
ASV.345	87	1076	4
ASV.346	290	1076	1
ASV.347	215	1070	1
ASV.348	107	1066	1
ASV.349	122	1064	2
ASV.350	48	1064	2
ASV.351	55	1063	1
ASV.354	94	1060	1
ASV.356	48	1058	1
ASV.357	328	1054	1
ASV.358	97	1054	1
ASV.359	48	1052	2
ASV.360	79	1047	1
ASV.362	36	1043	4
ASV.363	290	1043	1
ASV.364	133	1042	1
ASV.366	57	1040	2
ASV.367	159	1039	1
ASV.368	73	1038	1
ASV.369	67	1033	2
ASV.370	81	1031	1
ASV.371	95	1031	2
ASV.372	69	1031	1
ASV.374	89	1028	2
ASV.375	99	1028	3
ASV.376	131	1021	1
ASV.377	53	1018	2
ASV.379	80	1017	2
ASV.381	53	1011	2
ASV.383	120	1007	1
ASV.386	67	996	2
ASV.387	37	991	6
ASV.388	40	989	1
ASV.389	117	986	1
ASV.390	40	985	2
ASV.391	34	983	2
ASV.392	54	982	1
ASV.394	109	982	1
ASV.395	52	980	1
ASV.396	55	979	1
ASV.397	53	977	1
ASV.398	73	974	1
ASV.401	101	968	1
ASV.403	37	965	3
ASV.404	73	964	1
ASV.405	108	963	2
ASV.406	82	960	1
ASV.407	95	958	2
ASV.409	152	957	4
ASV.410	62	956	2
ASV.411	95	954	1
ASV.412	84	949	1
ASV.413	35	942	1
ASV.414	187	942	1
ASV.415	111	938	1
ASV.416	63	932	1
ASV.417	47	926	1
ASV.419	52	924	1
ASV.420	64	917	1
ASV.421	49	916	3
ASV.422	127	912	1
ASV.423	128	909	1
ASV.424	43	905	1
ASV.427	328	888	1
ASV.428	46	884	2
ASV.429	36	884	1
ASV.431	82	882	2
ASV.432	46	878	2
ASV.433	49	878	2
ASV.434	122	871	2
ASV.435	57	870	1
ASV.436	60	869	1
ASV.437	32	868	1
ASV.438	51	868	1
ASV.439	67	867	1
ASV.441	172	867	2
ASV.442	89	865	2
ASV.443	85	864	1
ASV.445	135	862	2
ASV.446	48	862	1
ASV.447	88	860	2
ASV.448	62	856	1
ASV.449	101	856	1
ASV.450	231	855	1
ASV.451	115	852	1
ASV.452	60	851	1
ASV.453	327	850	1
ASV.456	62	843	2
ASV.457	50	842	1
ASV.458	46	841	1
ASV.460	92	839	1
ASV.461	129	839	2
ASV.462	166	836	1
ASV.463	49	836	1
ASV.464	54	834	2
ASV.466	90	832	1
ASV.469	46	830	3
ASV.471	67	828	2
ASV.472	78	828	1
ASV.473	259	828	1
ASV.475	53	827	2
ASV.478	199	815	1
ASV.479	48	814	2
ASV.480	73	813	1
ASV.481	49	812	4
ASV.482	67	811	1
ASV.483	50	811	4
ASV.484	74	810	1
ASV.485	95	809	1
ASV.486	71	807	1
ASV.488	40	806	1
ASV.489	62	805	2
ASV.490	328	805	1
ASV.492	48	802	2
ASV.494	54	801	2
ASV.495	41	798	1
ASV.496	156	796	1
ASV.497	116	795	4
ASV.498	109	795	1
ASV.500	67	791	1
ASV.501	325	790	1
ASV.504	138	789	1
ASV.505	58	785	1
ASV.507	65	785	3
ASV.508	55	784	3
ASV.511	53	782	2
ASV.512	84	782	3
ASV.513	133	782	2
ASV.515	80	779	2
ASV.516	54	778	3
ASV.518	50	773	3
ASV.519	131	769	1
ASV.520	67	767	1
ASV.521	43	767	1
ASV.523	36	766	2
ASV.524	54	764	1
ASV.525	80	764	3
ASV.528	45	761	3
ASV.529	138	761	3
ASV.530	78	760	1
ASV.532	98	756	1
ASV.533	128	755	2
ASV.535	112	753	1
ASV.538	51	750	1
ASV.539	64	748	1
ASV.540	92	745	2
ASV.542	79	744	1
ASV.543	107	744	1
ASV.546	166	729	1
ASV.547	109	728	3
ASV.549	83	727	1
ASV.550	64	725	1
ASV.552	36	722	2
ASV.553	215	721	1
ASV.554	79	720	3
ASV.555	128	720	1
ASV.558	35	717	2
ASV.560	105	715	2
ASV.561	98	714	2
ASV.562	72	713	1
ASV.563	59	712	4
ASV.564	62	712	1
ASV.565	247	712	1
ASV.567	38	709	1
ASV.568	137	707	1
ASV.570	73	706	2
ASV.571	76	706	1
ASV.572	80	705	2
ASV.578	39	701	2
ASV.583	76	693	2
ASV.584	98	692	1
ASV.586	111	691	1
ASV.587	52	691	2
ASV.588	205	690	1
ASV.592	39	687	1
ASV.594	93	683	1
ASV.595	48	683	1
ASV.596	104	680	1
ASV.599	54	679	1
ASV.600	60	677	1
ASV.601	45	673	2
ASV.602	41	672	4
ASV.603	83	672	1
ASV.605	80	669	3
ASV.606	269	669	1
ASV.608	113	665	1
ASV.609	134	664	1
ASV.611	73	661	1
ASV.613	56	658	1
ASV.615	79	658	1
ASV.616	42	658	1
ASV.617	146	657	2
ASV.619	199	653	1
ASV.621	73	651	1
ASV.622	98	648	2
ASV.623	41	648	4
ASV.625	69	647	1
ASV.626	101	646	1
ASV.627	110	646	1
ASV.630	74	641	3
ASV.631	154	640	1
ASV.632	50	640	2
ASV.636	63	636	1
ASV.637	96	635	1
ASV.638	49	633	2
ASV.639	115	632	1
ASV.640	56	632	1
ASV.641	91	632	3
ASV.642	84	631	2
ASV.644	37	630	1
ASV.645	145	628	1
ASV.646	50	627	1
ASV.647	37	624	1
ASV.648	57	624	1
ASV.649	82	623	1
ASV.651	62	621	1
ASV.652	105	620	1
ASV.653	133	619	1
ASV.655	125	619	1
ASV.656	132	617	1
ASV.657	85	617	1
ASV.658	143	616	1
ASV.659	129	615	1
ASV.661	56	614	5
ASV.662	68	614	1
ASV.663	49	612	1
ASV.665	55	611	1
ASV.666	109	610	1
ASV.667	118	610	1
ASV.668	56	607	1
ASV.670	66	606	2
ASV.673	44	601	1
ASV.674	111	600	1
ASV.675	44	599	2
ASV.679	90	594	1
ASV.681	105	593	2
ASV.683	56	589	1
ASV.684	62	589	1
ASV.687	103	588	3
ASV.689	74	587	1
ASV.690	66	587	5
ASV.691	48	585	1
ASV.693	82	584	1
ASV.694	76	584	1
ASV.695	46	582	1
ASV.696	38	582	1
ASV.697	59	578	1
ASV.698	61	577	1
ASV.699	78	576	1
ASV.700	52	576	3
ASV.703	52	574	1
ASV.704	69	574	4
ASV.706	76	572	1
ASV.707	38	571	1
ASV.708	133	570	1
ASV.709	123	570	2
ASV.710	96	570	3
ASV.711	109	569	4
ASV.713	64	568	3
ASV.714	56	568	1
ASV.715	58	567	1
ASV.716	48	567	2
ASV.717	53	566	1
ASV.720	40	566	1
ASV.722	53	563	1
ASV.723	104	562	1
ASV.724	84	562	1
ASV.725	87	561	1
ASV.726	53	561	1
ASV.727	69	561	1
ASV.728	41	561	1
ASV.732	113	554	1
ASV.733	37	554	1
ASV.734	54	553	1
ASV.735	51	552	1
ASV.736	57	550	1
ASV.737	150	550	1
ASV.739	113	550	1
ASV.740	63	549	2
ASV.742	89	545	1
ASV.744	47	543	1
ASV.746	126	541	1
ASV.747	53	541	1
ASV.748	51	541	1
ASV.750	71	539	2
ASV.753	37	537	2
ASV.754	88	537	4
ASV.755	41	535	1
ASV.756	79	535	3
ASV.757	60	535	1
ASV.759	37	533	2
ASV.761	67	530	1
ASV.762	67	530	1
ASV.763	67	530	3
ASV.764	114	530	1
ASV.765	77	529	1
ASV.766	85	528	1
ASV.767	37	528	1
ASV.768	107	527	1
ASV.770	49	527	1
ASV.771	76	526	1
ASV.772	129	525	1
ASV.773	46	523	1
ASV.774	72	522	1
ASV.775	51	522	2
ASV.777	48	521	1
ASV.778	67	520	3
ASV.780	103	518	1
ASV.784	84	516	1
ASV.785	57	515	1
ASV.786	36	515	2
ASV.787	47	514	1
ASV.788	133	514	1
ASV.789	40	514	1
ASV.790	102	513	1
ASV.791	47	513	2
ASV.792	118	513	1
ASV.793	89	511	1
ASV.794	121	510	1
ASV.796	178	509	1
ASV.797	52	508	1
ASV.799	115	506	3
ASV.800	60	505	1
ASV.801	75	505	1
ASV.803	78	503	1
ASV.804	106	503	1
ASV.805	65	501	2
ASV.807	89	500	1
ASV.808	53	499	1
ASV.810	55	498	1
ASV.811	42	498	1
ASV.814	46	497	2
ASV.815	90	497	1
ASV.817	87	496	1
ASV.818	46	495	4
ASV.820	45	494	1
ASV.821	124	493	1
ASV.823	283	493	1
ASV.824	45	492	1
ASV.825	98	491	1
ASV.826	67	491	1
ASV.827	45	490	2
ASV.828	123	489	1
ASV.829	151	488	5
ASV.830	84	488	2
ASV.833	290	487	1
ASV.835	85	486	1
ASV.837	46	484	1
ASV.838	57	484	2
ASV.841	40	484	1
ASV.842	58	482	1
ASV.843	133	482	1
ASV.847	66	481	1
ASV.848	172	479	1
ASV.849	62	479	2
ASV.850	97	478	1
ASV.852	97	477	1
ASV.853	117	475	1
ASV.854	80	474	3
ASV.856	84	474	1
ASV.857	95	472	4
ASV.858	91	472	1
ASV.860	113	471	1
ASV.862	68	470	1
ASV.863	107	469	1
ASV.864	80	469	1
ASV.865	68	466	1
ASV.867	63	465	1
ASV.868	98	463	1
ASV.870	49	463	3
ASV.871	107	463	2
ASV.872	87	462	2
ASV.873	118	462	2
ASV.875	51	461	2
ASV.876	52	461	1
ASV.877	62	460	1
ASV.878	94	460	1
ASV.880	97	459	1
ASV.881	151	457	1
ASV.882	88	456	1
ASV.883	62	456	4
ASV.885	64	455	1
ASV.886	75	455	1
ASV.887	138	454	1
ASV.888	63	454	1
ASV.890	66	453	1
ASV.891	40	453	1
ASV.893	83	452	4
ASV.896	46	451	3
ASV.897	71	450	2
ASV.898	169	450	1
ASV.900	199	448	1
ASV.901	45	447	1
ASV.902	136	447	1
ASV.903	65	447	1
ASV.904	97	446	1
ASV.905	255	446	1
ASV.909	52	444	1
ASV.910	104	444	1
