asvLen	totReads	numSamps
ASV.1	325	89840	3
ASV.2	328	9816	3
ASV.3	328	9529	3
ASV.4	328	6784	3
ASV.5	328	2790	3
ASV.6	66	1471	3
ASV.7	148	1000	3
ASV.8	109	817	3
ASV.9	322	624	2
ASV.10	153	588	3
ASV.11	325	587	3
ASV.13	262	525	3
ASV.14	328	364	3
ASV.16	158	280	1
ASV.17	146	265	3
ASV.18	322	250	2
ASV.19	199	226	2
ASV.20	164	211	3
ASV.21	325	188	3
ASV.22	32	185	1
ASV.23	199	183	1
ASV.24	61	178	1
ASV.25	74	172	2
ASV.27	328	145	1
ASV.28	160	134	1
ASV.29	149	133	3
ASV.30	325	124	1
ASV.31	66	120	2
ASV.32	262	106	3
ASV.33	328	106	1
ASV.34	282	103	2
ASV.35	80	88	3
ASV.36	153	85	3
ASV.37	93	69	3
ASV.38	65	63	3
ASV.39	164	62	2
ASV.40	196	62	3
ASV.41	158	59	1
ASV.42	66	56	1
ASV.43	109	54	1
ASV.44	173	53	1
ASV.45	70	51	1
ASV.46	159	49	1
ASV.48	282	44	1
ASV.49	46	44	1
ASV.50	21	41	3
ASV.51	445	40	1
ASV.52	37	40	2
ASV.53	327	39	1
ASV.54	293	37	1
ASV.55	134	36	3
ASV.56	77	35	2
ASV.57	54	34	3
ASV.58	54	30	3
ASV.59	42	30	1
ASV.60	325	29	1
ASV.61	121	29	3
ASV.62	233	29	1
ASV.64	91	28	2
ASV.65	76	27	2
ASV.66	208	27	2
ASV.67	46	26	1
ASV.68	75	25	2
ASV.69	132	25	2
ASV.70	106	24	2
ASV.71	137	22	2
ASV.72	90	22	2
ASV.73	118	22	3
ASV.74	283	21	2
ASV.75	348	21	1
ASV.76	214	20	1
ASV.77	151	20	3
ASV.78	286	20	1
ASV.79	195	19	2
ASV.80	70	18	3
ASV.82	104	18	2
ASV.83	88	17	2
ASV.84	205	17	1
ASV.85	80	17	1
ASV.86	49	17	2
ASV.87	27	16	3
ASV.88	197	16	1
ASV.89	88	15	2
ASV.90	70	15	2
ASV.91	64	14	1
ASV.92	123	13	2
ASV.93	328	13	1
ASV.94	64	13	1
ASV.95	42	12	1
ASV.96	187	12	1
ASV.97	100	12	1
ASV.98	51	12	1
ASV.100	87	11	1
ASV.101	101	11	1
ASV.103	103	11	1
ASV.104	107	11	2
ASV.105	94	11	1
ASV.106	249	11	1
ASV.107	48	11	1
ASV.108	76	11	1
ASV.109	223	11	1
ASV.110	124	10	2
ASV.111	51	10	1
ASV.112	173	10	1
ASV.113	64	10	1
ASV.114	56	10	2
ASV.115	58	10	1
ASV.116	127	10	1
ASV.117	134	10	1
ASV.118	131	9	1
ASV.119	40	9	1
ASV.120	256	9	1
ASV.121	229	9	1
ASV.122	60	9	1
ASV.123	119	8	2
ASV.124	166	8	1
ASV.125	98	8	1
ASV.126	60	8	2
ASV.127	51	8	1
ASV.128	51	8	1
ASV.129	146	8	1
ASV.130	100	8	1
ASV.131	126	8	1
ASV.132	88	8	1
ASV.133	52	7	1
ASV.134	32	7	1
ASV.135	150	7	2
ASV.136	58	7	2
ASV.137	48	7	1
ASV.138	191	7	1
ASV.139	180	7	1
ASV.141	56	7	1
ASV.142	91	7	1
ASV.143	104	7	1
ASV.144	234	7	1
ASV.145	89	7	1
ASV.146	176	7	1
ASV.147	152	7	1
ASV.148	103	7	1
ASV.149	87	7	1
ASV.150	130	7	1
ASV.151	70	7	1
ASV.152	258	7	1
ASV.153	89	6	1
ASV.154	74	6	1
ASV.155	203	6	1
ASV.156	54	6	1
ASV.157	75	6	1
ASV.158	184	6	1
ASV.159	49	6	1
ASV.160	167	6	1
ASV.161	89	6	1
ASV.162	116	6	1
ASV.163	88	6	1
ASV.164	44	6	1
ASV.165	55	6	1
ASV.166	111	6	1
ASV.167	65	6	1
ASV.168	34	6	1
ASV.169	173	5	1
ASV.170	91	5	1
ASV.171	37	5	1
ASV.172	81	5	1
ASV.173	139	5	1
ASV.174	89	5	1
ASV.176	210	5	1
ASV.177	78	5	1
ASV.178	60	5	1
ASV.179	101	5	1
