SRR13612858	SRR13612859	SRR13612861
ASV.1	34758	28928	26154
ASV.2	3158	3840	2818
ASV.3	2785	3197	3547
ASV.4	2297	2206	2281
ASV.5	881	1004	905
ASV.6	338	550	583
ASV.7	299	417	284
ASV.8	260	275	282
ASV.9	268	356	0
ASV.10	207	208	173
ASV.11	182	263	142
ASV.13	154	230	141
ASV.14	74	224	66
ASV.16	0	0	280
ASV.17	7	51	207
ASV.18	135	115	0
ASV.19	70	0	156
ASV.20	54	97	60
ASV.21	29	105	54
ASV.22	0	185	0
ASV.23	0	183	0
ASV.24	0	178	0
ASV.25	0	20	152
ASV.27	0	0	145
ASV.28	134	0	0
ASV.29	43	53	37
ASV.30	124	0	0
ASV.31	79	41	0
ASV.32	19	50	37
ASV.33	0	106	0
ASV.34	0	61	42
ASV.35	23	40	25
ASV.36	33	23	29
ASV.37	23	23	23
ASV.38	17	24	22
ASV.39	15	47	0
ASV.40	20	13	29
ASV.41	0	59	0
ASV.42	56	0	0
ASV.43	0	54	0
ASV.44	0	0	53
ASV.45	0	0	51
ASV.46	0	0	49
ASV.48	44	0	0
ASV.49	0	44	0
ASV.50	13	21	7
ASV.51	40	0	0
ASV.52	0	17	23
ASV.53	0	0	39
ASV.54	0	0	37
ASV.55	5	15	16
ASV.56	5	30	0
ASV.57	13	12	9
ASV.58	9	15	6
ASV.59	0	30	0
ASV.60	29	0	0
ASV.61	7	16	6
ASV.62	0	29	0
ASV.64	0	11	17
ASV.65	9	18	0
ASV.66	10	0	17
ASV.67	26	0	0
ASV.68	0	19	6
ASV.69	0	18	7
ASV.70	0	8	16
ASV.71	8	14	0
ASV.72	19	3	0
ASV.73	11	6	5
ASV.74	0	13	8
ASV.75	0	0	21
ASV.76	20	0	0
ASV.77	7	6	7
ASV.78	0	20	0
ASV.79	0	12	7
ASV.80	6	7	5
ASV.82	0	8	10
ASV.83	6	11	0
ASV.84	0	17	0
ASV.85	0	17	0
ASV.86	0	12	5
ASV.87	5	5	6
ASV.88	0	0	16
ASV.89	8	7	0
ASV.90	0	4	11
ASV.91	0	14	0
ASV.92	0	4	9
ASV.93	0	0	13
ASV.94	0	0	13
ASV.95	12	0	0
ASV.96	0	12	0
ASV.97	0	12	0
ASV.98	0	0	12
ASV.100	11	0	0
ASV.101	11	0	0
ASV.103	0	11	0
ASV.104	0	5	6
ASV.105	0	11	0
ASV.106	0	11	0
ASV.107	0	0	11
ASV.108	0	0	11
ASV.109	0	0	11
ASV.110	4	6	0
ASV.111	10	0	0
ASV.112	10	0	0
ASV.113	10	0	0
ASV.114	7	0	3
ASV.115	0	10	0
ASV.116	0	10	0
ASV.117	0	0	10
ASV.118	0	9	0
ASV.119	0	9	0
ASV.120	0	9	0
ASV.121	0	9	0
ASV.122	0	9	0
ASV.123	3	5	0
ASV.124	8	0	0
ASV.125	0	8	0
ASV.126	0	4	4
ASV.127	0	8	0
ASV.128	0	8	0
ASV.129	0	8	0
ASV.130	0	0	8
ASV.131	0	0	8
ASV.132	0	0	8
ASV.133	7	0	0
ASV.134	7	0	0
ASV.135	4	3	0
ASV.136	3	4	0
ASV.137	0	7	0
ASV.138	0	7	0
ASV.139	0	7	0
ASV.141	0	7	0
ASV.142	0	7	0
ASV.143	0	7	0
ASV.144	0	0	7
ASV.145	0	0	7
ASV.146	0	0	7
ASV.147	0	0	7
ASV.148	0	0	7
ASV.149	0	0	7
ASV.150	0	0	7
ASV.151	0	0	7
ASV.152	0	0	7
ASV.153	6	0	0
ASV.154	6	0	0
ASV.155	6	0	0
ASV.156	0	6	0
ASV.157	0	6	0
ASV.158	0	6	0
ASV.159	0	6	0
ASV.160	0	6	0
ASV.161	0	6	0
ASV.162	0	6	0
ASV.163	0	6	0
ASV.164	0	0	6
ASV.165	0	0	6
ASV.166	0	0	6
ASV.167	0	0	6
ASV.168	0	0	6
ASV.169	5	0	0
ASV.170	5	0	0
ASV.171	0	5	0
ASV.172	0	5	0
ASV.173	0	5	0
ASV.174	0	5	0
ASV.176	0	5	0
ASV.177	0	5	0
ASV.178	0	5	0
ASV.179	0	5	0
ASV.180	0	5	0
ASV.181	0	5	0
ASV.182	0	0	5
ASV.183	4	0	0
ASV.184	4	0	0
ASV.185	4	0	0
ASV.186	4	0	0
ASV.187	4	0	0
ASV.188	4	0	0
ASV.189	0	4	0
ASV.191	0	4	0
ASV.193	0	2	2
ASV.194	0	4	0
ASV.195	0	4	0
ASV.196	0	4	0
ASV.197	0	4	0
ASV.198	0	4	0
ASV.200	0	4	0
ASV.201	0	4	0
ASV.202	0	4	0
ASV.203	0	4	0
ASV.204	0	4	0
ASV.205	0	4	0
ASV.206	0	4	0
ASV.207	0	4	0
ASV.208	0	4	0
ASV.209	0	4	0
ASV.211	0	0	4
ASV.212	0	0	4
ASV.213	0	0	4
ASV.214	0	0	4
ASV.215	0	0	4
ASV.216	0	0	4
ASV.217	0	0	4
ASV.218	0	0	4
ASV.219	0	0	4
ASV.220	3	0	0
ASV.221	3	0	0
ASV.222	3	0	0
ASV.223	3	0	0
ASV.225	3	0	0
ASV.226	3	0	0
ASV.227	3	0	0
ASV.228	3	0	0
ASV.229	3	0	0
ASV.230	0	3	0
ASV.231	0	3	0
ASV.232	0	3	0
ASV.233	0	3	0
ASV.234	0	3	0
ASV.235	0	3	0
ASV.236	0	3	0
ASV.237	0	3	0
ASV.238	0	3	0
ASV.239	0	3	0
ASV.240	0	3	0
ASV.241	0	3	0
ASV.242	0	3	0
ASV.243	0	3	0
ASV.244	0	3	0
ASV.245	0	3	0
ASV.246	0	3	0
ASV.247	0	3	0
ASV.248	0	3	0
ASV.249	0	3	0
ASV.250	0	3	0
ASV.251	0	3	0
ASV.252	0	3	0
ASV.253	0	3	0
ASV.254	0	3	0
ASV.255	0	3	0
ASV.256	0	3	0
ASV.257	0	3	0
ASV.258	0	3	0
ASV.259	0	3	0
ASV.260	0	3	0
ASV.261	0	3	0
ASV.262	0	3	0
ASV.263	0	3	0
ASV.264	0	0	3
ASV.265	0	0	3
ASV.266	0	0	3
ASV.267	0	0	3
ASV.268	0	0	3
ASV.269	0	0	3
ASV.270	0	0	3
ASV.271	0	0	3
ASV.273	0	0	3
ASV.274	0	0	3
ASV.275	0	0	3
ASV.276	0	0	3
ASV.277	0	0	3
ASV.278	2	0	0
ASV.279	2	0	0
ASV.280	2	0	0
ASV.281	2	0	0
ASV.282	2	0	0
ASV.283	2	0	0
ASV.284	2	0	0
ASV.285	2	0	0
ASV.286	2	0	0
ASV.287	2	0	0
ASV.288	2	0	0
ASV.289	2	0	0
ASV.290	2	0	0
ASV.291	2	0	0
ASV.292	2	0	0
ASV.293	2	0	0
ASV.294	2	0	0
ASV.295	2	0	0
ASV.296	2	0	0
ASV.297	2	0	0
ASV.298	2	0	0
ASV.299	2	0	0
ASV.300	2	0	0
ASV.301	2	0	0
ASV.302	2	0	0
ASV.303	2	0	0
ASV.304	0	2	0
ASV.305	0	2	0
ASV.306	0	2	0
ASV.307	0	2	0
ASV.308	0	2	0
ASV.309	0	2	0
ASV.310	0	2	0
ASV.311	0	2	0
ASV.312	0	2	0
ASV.313	0	2	0
ASV.314	0	2	0
ASV.315	0	2	0
ASV.316	0	2	0
ASV.317	0	2	0
ASV.318	0	2	0
ASV.319	0	2	0
ASV.320	0	2	0
ASV.321	0	2	0
ASV.322	0	2	0
ASV.323	0	2	0
ASV.324	0	2	0
ASV.325	0	2	0
ASV.326	0	2	0
ASV.327	0	2	0
ASV.328	0	2	0
ASV.329	0	2	0
ASV.330	0	2	0
ASV.331	0	2	0
ASV.332	0	2	0
ASV.333	0	2	0
ASV.334	0	2	0
ASV.335	0	2	0
ASV.336	0	2	0
ASV.337	0	2	0
ASV.338	0	2	0
ASV.339	0	2	0
ASV.340	0	2	0
ASV.341	0	2	0
ASV.342	0	2	0
ASV.343	0	2	0
ASV.344	0	2	0
ASV.345	0	2	0
ASV.346	0	2	0
ASV.347	0	2	0
ASV.348	0	2	0
ASV.349	0	0	2
ASV.350	0	0	2
ASV.351	0	0	2
ASV.352	0	0	2
ASV.353	0	0	2
ASV.354	0	0	2
ASV.355	0	0	2
ASV.356	0	0	2
ASV.357	0	0	2
ASV.358	0	0	2
ASV.359	0	0	2
ASV.360	0	0	2
ASV.361	0	0	2
ASV.362	0	0	2
ASV.363	0	0	2
ASV.364	0	0	2
ASV.365	0	0	2
ASV.366	0	0	2
ASV.367	0	0	2
ASV.368	0	0	2
ASV.369	0	0	2
ASV.370	0	0	2
ASV.371	0	0	2
ASV.372	0	0	2
ASV.373	0	0	2
ASV.374	0	0	1
