#Source	Type	SizeFrac	SampName
RawFastqs/SRR10759583_R1.fastq.gz	DNA	Frac_0.2	SRR10759583
RawFastqs/SRR10759583_R2.fastq.gz	DNA	Frac_0.2	SRR10759583
RawFastqs/SRR10759584_R1.fastq.gz	DNA	Frac_0.2	SRR10759584
RawFastqs/SRR10759584_R2.fastq.gz	DNA	Frac_0.2	SRR10759584
RawFastqs/SRR10759585_R1.fastq.gz	DNA	Frac_0.2	SRR10759585
RawFastqs/SRR10759585_R2.fastq.gz	DNA	Frac_0.2	SRR10759585
RawFastqs/SRR10759586_R1.fastq.gz	DNA	Frac_0.2	SRR10759586
RawFastqs/SRR10759586_R2.fastq.gz	DNA	Frac_0.2	SRR10759586
RawFastqs/SRR10759587_R1.fastq.gz	DNA	Frac_0.2	SRR10759587
RawFastqs/SRR10759587_R2.fastq.gz	DNA	Frac_0.2	SRR10759587
RawFastqs/SRR10759588_R1.fastq.gz	DNA	Frac_0.2	SRR10759588
RawFastqs/SRR10759588_R2.fastq.gz	DNA	Frac_0.2	SRR10759588
RawFastqs/SRR10759589_R1.fastq.gz	DNA	Frac_0.2	SRR10759589
RawFastqs/SRR10759589_R2.fastq.gz	DNA	Frac_0.2	SRR10759589
RawFastqs/SRR10759590_R1.fastq.gz	DNA	Frac_0.2	SRR10759590
RawFastqs/SRR10759590_R2.fastq.gz	DNA	Frac_0.2	SRR10759590
RawFastqs/SRR10759591_R1.fastq.gz	DNA	Frac_0.2	SRR10759591
RawFastqs/SRR10759591_R2.fastq.gz	DNA	Frac_0.2	SRR10759591
RawFastqs/SRR10759592_R1.fastq.gz	DNA	Frac_0.2	SRR10759592
RawFastqs/SRR10759592_R2.fastq.gz	DNA	Frac_0.2	SRR10759592
RawFastqs/SRR10759593_R1.fastq.gz	DNA	Frac_0.2	SRR10759593
RawFastqs/SRR10759593_R2.fastq.gz	DNA	Frac_0.2	SRR10759593
RawFastqs/SRR10759594_R1.fastq.gz	DNA	Frac_0.2	SRR10759594
RawFastqs/SRR10759594_R2.fastq.gz	DNA	Frac_0.2	SRR10759594
RawFastqs/SRR10759595_R1.fastq.gz	DNA	Frac_0.2	SRR10759595
RawFastqs/SRR10759595_R2.fastq.gz	DNA	Frac_0.2	SRR10759595
RawFastqs/SRR10759596_R1.fastq.gz	DNA	Frac_0.2	SRR10759596
RawFastqs/SRR10759596_R2.fastq.gz	DNA	Frac_0.2	SRR10759596
RawFastqs/SRR10759597_R1.fastq.gz	DNA	Frac_0.2	SRR10759597
RawFastqs/SRR10759597_R2.fastq.gz	DNA	Frac_0.2	SRR10759597
RawFastqs/SRR10759598_R1.fastq.gz	DNA	Frac_0.2	SRR10759598
RawFastqs/SRR10759598_R2.fastq.gz	DNA	Frac_0.2	SRR10759598
RawFastqs/SRR10759599_R1.fastq.gz	DNA	Frac_0.2	SRR10759599
RawFastqs/SRR10759599_R2.fastq.gz	DNA	Frac_0.2	SRR10759599
RawFastqs/SRR10759600_R1.fastq.gz	DNA	Frac_0.2	SRR10759600
RawFastqs/SRR10759600_R2.fastq.gz	DNA	Frac_0.2	SRR10759600
RawFastqs/SRR10759601_R1.fastq.gz	DNA	Frac_0.2	SRR10759601
RawFastqs/SRR10759601_R2.fastq.gz	DNA	Frac_0.2	SRR10759601
RawFastqs/SRR10759602_R1.fastq.gz	DNA	Frac_0.2	SRR10759602
RawFastqs/SRR10759602_R2.fastq.gz	DNA	Frac_0.2	SRR10759602
RawFastqs/SRR10759603_R1.fastq.gz	DNA	Frac_0.2	SRR10759603
RawFastqs/SRR10759603_R2.fastq.gz	DNA	Frac_0.2	SRR10759603
RawFastqs/SRR10759604_R1.fastq.gz	DNA	Frac_0.2	SRR10759604
RawFastqs/SRR10759604_R2.fastq.gz	DNA	Frac_0.2	SRR10759604
RawFastqs/SRR10759605_R1.fastq.gz	DNA	Frac_0.2	SRR10759605
RawFastqs/SRR10759605_R2.fastq.gz	DNA	Frac_0.2	SRR10759605
RawFastqs/SRR10759606_R1.fastq.gz	DNA	Frac_0.2	SRR10759606
RawFastqs/SRR10759606_R2.fastq.gz	DNA	Frac_0.2	SRR10759606
RawFastqs/SRR10759607_R1.fastq.gz	DNA	Frac_0.2	SRR10759607
