SRR1178385	SRR1178386	SRR1178387	SRR1178388	SRR1178389	SRR1178342	SRR1178343	SRR1178344	SRR1178379	SRR1178380	SRR1178381	SRR1178382	SRR1178383	SRR1178384
ASV.1	2169	940	0	0	112	3277	4325	0	0	0	410	0	340	2737
ASV.2	0	0	0	0	0	0	0	0	0	4450	0	0	0	0
ASV.3	0	0	0	0	0	0	0	0	0	2097	0	0	0	0
ASV.4	0	0	0	364	0	0	0	0	0	0	0	0	0	0
ASV.5	0	0	0	0	80	0	0	0	0	0	0	0	0	0
