asvLen	totReads	numSamps
ASV.331	25	423	1
ASV.332	71	421	3
ASV.333	282	421	1
ASV.334	79	420	4
ASV.335	123	417	6
ASV.336	328	417	1
ASV.337	136	416	4
ASV.339	35	413	1
ASV.341	149	410	5
ASV.342	171	410	1
ASV.343	67	409	9
ASV.344	341	407	2
ASV.345	68	407	5
ASV.346	122	406	3
ASV.347	36	406	2
ASV.348	94	405	2
ASV.349	455	404	8
ASV.350	124	404	6
ASV.351	47	402	2
ASV.352	410	402	1
ASV.353	78	400	6
ASV.354	240	400	2
ASV.355	298	400	1
ASV.356	74	399	6
ASV.357	42	398	1
ASV.358	253	397	4
ASV.359	428	396	3
ASV.361	253	395	1
ASV.362	328	395	1
ASV.363	259	394	1
ASV.364	131	394	2
ASV.365	213	394	2
ASV.366	455	394	1
ASV.369	87	391	7
ASV.370	65	389	4
ASV.371	196	388	6
ASV.372	231	387	1
ASV.374	201	382	1
ASV.375	322	380	1
ASV.376	243	377	1
ASV.377	69	377	7
ASV.378	297	377	2
ASV.379	136	376	4
ASV.380	328	375	2
ASV.381	151	371	1
ASV.382	355	370	9
ASV.383	43	370	9
ASV.385	121	368	6
ASV.387	201	365	2
ASV.388	326	363	1
ASV.389	296	362	1
ASV.390	208	361	3
ASV.393	163	360	5
ASV.394	330	358	1
ASV.395	244	358	2
ASV.396	205	358	1
ASV.397	328	357	1
ASV.399	134	357	1
ASV.400	277	356	1
ASV.401	67	354	1
ASV.403	110	353	4
ASV.404	120	353	1
ASV.405	346	351	1
ASV.406	37	347	3
ASV.407	328	346	1
ASV.408	328	343	2
ASV.411	308	338	1
ASV.413	62	337	4
ASV.414	389	333	4
ASV.415	457	332	5
ASV.416	328	332	1
ASV.418	328	330	3
ASV.419	247	330	2
ASV.420	106	328	7
ASV.421	202	327	8
ASV.422	341	325	2
ASV.424	296	323	1
ASV.425	55	323	1
ASV.426	355	321	2
ASV.427	328	321	1
ASV.428	117	319	8
ASV.429	301	317	1
ASV.431	109	317	7
ASV.432	275	317	2
ASV.433	295	316	1
ASV.434	264	313	1
ASV.435	195	312	8
ASV.436	69	312	2
ASV.437	31	311	1
ASV.438	262	311	2
ASV.439	328	311	1
ASV.440	378	310	2
ASV.441	328	309	3
ASV.442	328	309	1
ASV.443	62	308	5
ASV.444	200	308	2
ASV.445	227	304	3
ASV.446	123	304	10
ASV.447	85	304	2
ASV.448	66	304	1
ASV.449	135	304	3
ASV.450	105	304	2
ASV.451	148	303	6
ASV.452	38	303	1
ASV.453	99	302	2
ASV.454	263	302	1
ASV.457	61	298	2
ASV.458	142	298	6
ASV.459	103	296	2
ASV.460	111	295	5
ASV.461	141	295	3
ASV.462	278	294	1
ASV.463	143	294	5
ASV.464	328	294	1
ASV.467	87	292	4
ASV.468	173	291	1
ASV.470	42	290	1
ASV.471	39	290	1
ASV.472	328	289	1
ASV.473	322	289	1
ASV.474	263	289	1
ASV.477	168	284	3
ASV.478	328	283	1
ASV.479	89	282	4
ASV.481	106	280	1
ASV.482	341	280	1
ASV.483	455	279	4
ASV.485	264	278	1
ASV.486	203	277	1
ASV.487	457	276	5
ASV.488	158	276	2
ASV.489	162	276	1
ASV.490	281	275	1
ASV.491	227	275	4
ASV.493	132	274	1
ASV.494	144	274	3
ASV.495	95	274	1
ASV.496	235	273	5
ASV.497	341	272	1
ASV.498	59	272	3
ASV.500	251	272	1
ASV.501	355	271	3
ASV.502	39	269	6
ASV.503	201	269	3
ASV.504	155	269	2
ASV.505	64	267	9
ASV.507	136	266	2
ASV.508	362	266	2
ASV.509	322	265	1
ASV.510	110	265	2
ASV.511	328	265	1
ASV.512	328	265	2
ASV.514	240	263	1
ASV.515	328	263	1
ASV.516	328	261	1
ASV.518	61	259	5
ASV.519	223	258	3
ASV.520	288	258	1
ASV.521	150	257	1
ASV.522	328	257	3
ASV.523	355	257	1
ASV.524	229	256	4
ASV.525	128	255	1
ASV.526	110	254	8
ASV.527	252	254	1
ASV.528	157	253	2
ASV.530	286	251	2
ASV.531	70	250	1
ASV.532	84	250	1
ASV.533	109	249	6
ASV.534	156	249	1
ASV.535	255	249	1
ASV.536	76	248	10
ASV.537	200	247	1
ASV.538	228	247	1
ASV.539	341	246	1
ASV.540	125	246	5
ASV.541	146	246	1
ASV.542	55	246	1
ASV.543	190	246	1
ASV.545	148	243	1
ASV.547	328	242	2
ASV.549	37	240	4
ASV.550	142	238	3
ASV.551	112	238	5
ASV.552	46	236	1
ASV.553	128	236	3
ASV.555	270	235	2
ASV.556	105	234	8
ASV.558	328	234	2
ASV.560	188	233	5
ASV.561	445	233	2
ASV.562	328	232	3
