asvLen	totReads	numSamps
ASV.1	325	78593	4
ASV.2	325	18971	4
ASV.3	328	14550	4
ASV.4	328	8261	4
ASV.5	328	7350	4
ASV.6	325	4410	4
ASV.7	66	3787	4
ASV.8	328	2957	1
ASV.10	153	2352	4
ASV.14	328	1096	1
ASV.15	322	962	3
ASV.17	109	613	4
ASV.18	21	609	4
ASV.19	118	604	4
ASV.20	322	570	3
ASV.21	109	543	4
ASV.22	153	493	2
ASV.24	66	412	2
ASV.25	164	383	4
ASV.26	148	339	4
ASV.27	328	332	1
ASV.28	164	326	4
ASV.29	80	311	4
ASV.30	328	303	1
ASV.31	33	283	1
ASV.32	33	260	1
ASV.33	32	259	4
ASV.34	328	254	1
ASV.36	85	233	1
ASV.37	34	221	1
ASV.38	296	220	2
ASV.39	91	218	3
ASV.40	33	209	1
ASV.43	137	176	4
ASV.44	162	176	1
ASV.45	33	174	1
ASV.46	248	173	1
ASV.47	255	169	2
ASV.48	79	164	1
ASV.49	39	162	1
ASV.50	33	162	1
ASV.51	22	150	3
ASV.52	119	149	4
ASV.53	282	144	2
ASV.54	100	139	3
ASV.55	167	135	2
ASV.56	93	135	3
ASV.58	91	131	4
ASV.60	325	129	1
ASV.61	66	123	2
ASV.62	26	122	4
ASV.64	328	118	1
ASV.65	328	114	1
ASV.66	109	113	3
ASV.67	164	112	2
ASV.68	33	111	1
ASV.69	54	107	4
ASV.70	33	102	1
ASV.71	328	101	1
ASV.72	149	87	4
ASV.73	187	82	1
ASV.76	66	76	4
ASV.77	325	76	1
ASV.79	146	71	1
ASV.80	58	70	2
ASV.81	199	70	2
ASV.82	65	67	4
ASV.83	74	67	1
ASV.84	76	65	4
ASV.85	426	65	1
ASV.86	282	64	1
ASV.89	445	59	1
ASV.90	107	58	1
ASV.91	255	57	1
ASV.92	121	56	3
ASV.93	262	51	2
ASV.95	56	50	2
ASV.96	121	49	3
ASV.97	32	48	3
ASV.98	74	47	1
ASV.99	137	46	2
ASV.100	42	44	2
ASV.101	138	43	4
ASV.102	61	43	4
ASV.103	56	43	1
ASV.104	261	43	1
ASV.107	262	39	1
ASV.108	54	39	3
ASV.109	93	38	3
ASV.110	99	38	1
ASV.111	328	36	1
ASV.112	59	35	2
