#Source	Location	Type	TargetDir
SRP038933_download.noBackup/SRR1178381_stuff_R2_001.fastq.gz	RoskildeFjord	RNA	RR5
SRP038933_download.noBackup/SRR1178382_stuff_R2_001.fastq.gz	RoskildeFjord	RNA	RR6
SRP038933_download.noBackup/SRR1178382_stuff_R1_001.fastq.gz	RoskildeFjord	RNA	RR6
SRP038933_download.noBackup/SRR1178383_stuff_R1_001.fastq.gz	RoskildeFjord	RNA	RR7
SRP038933_download.noBackup/SRR1178383_stuff_R2_001.fastq.gz	RoskildeFjord	RNA	RR7
SRP038933_download.noBackup/SRR1178384_stuff_R1_001.fastq.gz	RoskildeFjord	RNA	RR8
SRP038933_download.noBackup/SRR1178384_stuff_R2_001.fastq.gz	RoskildeFjord	RNA	RR8
SRP038933_download.noBackup/SRR1178385_stuff_R1_001.fastq.gz	RoskildeFjord	RNA	RR11
SRP038933_download.noBackup/SRR1178385_stuff_R2_001.fastq.gz	RoskildeFjord	RNA	RR11
SRP038933_download.noBackup/SRR1178386_stuff_R2_001.fastq.gz	RoskildeFjord	RNA	RR12
SRP038933_download.noBackup/SRR1178386_stuff_R1_001.fastq.gz	RoskildeFjord	RNA	RR12
SRP038933_download.noBackup/SRR1178387_stuff_R1_001.fastq.gz	RoskildeFjord	RNA	RR13
SRP038933_download.noBackup/SRR1178387_stuff_R2_001.fastq.gz	RoskildeFjord	RNA	RR13
SRP038933_download.noBackup/SRR1178388_stuff_R1_001.fastq.gz	RoskildeFjord	RNA	RR14
SRP038933_download.noBackup/SRR1178388_stuff_R2_001.fastq.gz	RoskildeFjord	RNA	RR14
SRP038933_download.noBackup/SRR1178389_stuff_R1_001.fastq.gz	RoskildeFjord	RNA	RR15
SRP038933_download.noBackup/SRR1178389_stuff_R2_001.fastq.gz	RoskildeFjord	RNA	RR15
SRP038933_download.noBackup/SRR1178393_stuff_R1_001.fastq.gz	RoskildeFjord	DNA	RD3
SRP038933_download.noBackup/SRR1178393_stuff_R2_001.fastq.gz	RoskildeFjord	DNA	RD3
SRP038933_download.noBackup/SRR1178394_stuff_R1_001.fastq.gz	RoskildeFjord	DNA	RD4
SRP038933_download.noBackup/SRR1178394_stuff_R2_001.fastq.gz	RoskildeFjord	DNA	RD4
SRP038933_download.noBackup/SRR1178395_stuff_R1_001.fastq.gz	RoskildeFjord	DNA	RD5
SRP038933_download.noBackup/SRR1178395_stuff_R2_001.fastq.gz	RoskildeFjord	DNA	RD5
SRP038933_download.noBackup/SRR1178396_stuff_R1_001.fastq.gz	RoskildeFjord	DNA	RD6
SRP038933_download.noBackup/SRR1178396_stuff_R2_001.fastq.gz	RoskildeFjord	DNA	RD6
SRP038933_download.noBackup/SRR1178397_stuff_R2_001.fastq.gz	RoskildeFjord	DNA	RD7
SRP038933_download.noBackup/SRR1178397_stuff_R1_001.fastq.gz	RoskildeFjord	DNA	RD7
SRP038933_download.noBackup/SRR1178398_stuff_R1_001.fastq.gz	RoskildeFjord	DNA	RD8
SRP038933_download.noBackup/SRR1178398_stuff_R2_001.fastq.gz	RoskildeFjord	DNA	RD8
SRP038933_download.noBackup/SRR1178399_stuff_R1_001.fastq.gz	RoskildeFjord	DNA	RD11
SRP038933_download.noBackup/SRR1178399_stuff_R2_001.fastq.gz	RoskildeFjord	DNA	RD11
SRP038933_download.noBackup/SRR1178406_stuff_R1_001.fastq.gz	RoskildeFjord	DNA	RD12
SRP038933_download.noBackup/SRR1178406_stuff_R2_001.fastq.gz	RoskildeFjord	DNA	RD12
