SRR13612789	SRR13612790	SRR13612791
ASV.116	16	0	13
ASV.117	0	8	21
ASV.118	0	0	29
ASV.119	0	0	29
ASV.120	28	0	0
ASV.121	5	23	0
ASV.122	27	0	0
ASV.123	10	7	10
ASV.124	0	13	14
ASV.125	0	13	14
ASV.126	0	21	6
ASV.128	5	11	10
ASV.129	18	8	0
ASV.130	25	0	0
ASV.131	25	0	0
ASV.132	25	0	0
ASV.133	0	13	12
ASV.134	24	0	0
ASV.135	6	9	9
ASV.136	0	6	18
ASV.137	0	11	13
ASV.138	0	0	24
ASV.140	23	0	0
ASV.141	23	0	0
ASV.142	23	0	0
ASV.143	23	0	0
ASV.144	11	12	0
ASV.145	23	0	0
ASV.146	0	23	0
ASV.147	0	6	17
ASV.150	22	0	0
ASV.151	0	22	0
ASV.152	0	10	12
ASV.153	0	0	22
ASV.154	7	4	10
ASV.155	0	21	0
ASV.156	0	16	5
ASV.157	0	8	13
ASV.158	0	21	0
ASV.159	0	0	21
ASV.160	0	0	21
ASV.161	14	6	0
ASV.162	7	13	0
ASV.163	7	7	6
ASV.164	13	0	7
ASV.165	10	0	10
ASV.166	20	0	0
ASV.167	0	12	8
ASV.168	19	0	0
ASV.169	4	7	8
ASV.170	19	0	0
ASV.171	0	12	7
ASV.172	0	19	0
ASV.173	0	0	19
ASV.174	0	0	19
ASV.175	0	0	19
ASV.176	0	18	0
ASV.177	0	0	18
ASV.178	0	0	18
ASV.179	6	0	11
ASV.180	12	5	0
ASV.181	17	0	0
ASV.182	5	3	9
ASV.183	8	9	0
ASV.184	0	5	12
ASV.185	0	17	0
ASV.186	0	9	8
ASV.187	0	6	11
ASV.188	0	9	8
ASV.189	0	17	0
ASV.190	16	0	0
ASV.191	14	2	0
ASV.192	0	5	11
ASV.193	0	16	0
ASV.194	0	6	10
ASV.195	0	0	16
ASV.196	0	0	16
ASV.197	0	0	16
ASV.198	15	0	0
ASV.199	3	5	7
ASV.201	15	0	0
ASV.202	3	6	6
ASV.204	0	6	9
ASV.205	0	0	15
ASV.206	0	0	15
ASV.207	2	0	12
ASV.208	5	0	9
ASV.209	0	14	0
ASV.210	0	14	0
ASV.211	0	14	0
ASV.212	0	10	4
ASV.213	0	7	7
ASV.214	0	7	7
ASV.215	0	9	5
ASV.216	0	0	14
ASV.217	0	0	14
ASV.218	0	0	14
ASV.221	13	0	0
ASV.222	13	0	0
ASV.223	0	13	0
ASV.224	0	13	0
ASV.225	0	0	13
ASV.226	0	0	13
ASV.227	0	0	13
ASV.228	0	0	13
ASV.229	0	0	13
ASV.230	7	5	0
ASV.231	12	0	0
ASV.233	6	0	6
ASV.235	12	0	0
ASV.236	0	12	0
ASV.237	0	4	8
ASV.238	0	6	6
ASV.239	0	12	0
ASV.240	0	12	0
ASV.242	0	12	0
ASV.243	0	0	12
ASV.244	0	0	12
ASV.245	0	0	12
ASV.247	0	0	12
ASV.248	0	0	12
ASV.250	7	4	0
ASV.251	11	0	0
ASV.252	11	0	0
ASV.253	11	0	0
ASV.254	11	0	0
ASV.255	11	0	0
ASV.256	0	5	6
ASV.257	0	7	4
ASV.258	0	11	0
ASV.259	0	11	0
ASV.260	0	5	6
ASV.262	0	7	4
ASV.263	0	11	0
ASV.267	0	0	11
ASV.268	10	0	0
ASV.269	6	0	4
ASV.270	10	0	0
ASV.271	0	10	0
ASV.272	0	10	0
ASV.273	0	5	5
ASV.274	0	10	0
ASV.275	0	10	0
ASV.276	0	6	4
ASV.277	0	4	6
ASV.278	0	3	7
ASV.279	0	10	0
ASV.280	0	0	10
ASV.282	0	0	10
ASV.283	0	0	10
ASV.284	0	0	10
ASV.285	0	0	10
ASV.286	0	0	10
ASV.287	9	0	0
ASV.289	9	0	0
ASV.290	9	0	0
ASV.291	9	0	0
ASV.292	6	3	0
ASV.294	9	0	0
ASV.295	9	0	0
ASV.297	0	9	0
ASV.298	0	9	0
ASV.299	0	4	5
ASV.300	0	9	0
ASV.301	0	6	3
ASV.302	0	6	3
ASV.303	0	9	0
ASV.304	0	9	0
ASV.305	0	5	4
ASV.306	0	9	0
ASV.307	0	5	4
ASV.308	0	0	9
ASV.309	0	0	9
ASV.310	0	0	9
ASV.311	0	0	9
ASV.312	0	0	9
ASV.313	0	0	9
ASV.314	8	0	0
ASV.315	8	0	0
ASV.316	6	2	0
ASV.317	8	0	0
ASV.318	4	4	0
ASV.319	8	0	0
ASV.320	6	0	2
ASV.321	8	0	0
ASV.322	8	0	0
ASV.323	8	0	0
ASV.324	8	0	0
ASV.325	0	8	0
ASV.326	0	8	0
ASV.327	0	8	0
ASV.328	0	8	0
ASV.329	0	8	0
ASV.330	0	8	0
ASV.331	0	8	0
ASV.332	0	5	3
ASV.333	0	8	0
ASV.334	0	8	0
ASV.336	0	0	8
ASV.337	0	0	8
ASV.338	0	0	8
ASV.339	0	0	8
ASV.340	0	0	8
ASV.341	0	0	8
ASV.342	0	0	8
ASV.343	7	0	0
ASV.344	7	0	0
ASV.345	7	0	0
ASV.346	7	0	0
ASV.347	7	0	0
ASV.348	7	0	0
ASV.349	7	0	0
ASV.350	7	0	0
ASV.351	7	0	0
ASV.352	7	0	0
ASV.353	7	0	0
ASV.354	3	0	4
ASV.355	5	2	0
ASV.356	7	0	0
ASV.357	7	0	0
ASV.358	7	0	0
ASV.359	7	0	0
ASV.360	0	7	0
ASV.361	0	7	0
ASV.362	0	7	0
ASV.363	0	7	0
ASV.364	0	7	0
ASV.365	0	7	0
ASV.366	0	7	0
ASV.367	0	7	0
ASV.368	0	2	5
ASV.369	0	7	0
ASV.370	0	7	0
ASV.371	0	7	0
ASV.372	0	7	0
ASV.373	0	7	0
ASV.374	0	3	4
ASV.375	0	7	0
ASV.376	0	7	0
ASV.377	0	3	4
ASV.378	0	0	7
ASV.379	0	0	7
ASV.380	0	0	7
ASV.381	0	0	7
ASV.382	0	0	7
ASV.383	0	0	7
ASV.384	0	0	7
ASV.385	0	0	7
ASV.386	0	0	7
ASV.387	0	0	7
ASV.388	0	0	7
ASV.389	6	0	0
ASV.390	6	0	0
ASV.391	4	2	0
ASV.392	6	0	0
ASV.393	6	0	0
ASV.394	6	0	0
ASV.395	6	0	0
ASV.396	6	0	0
ASV.397	6	0	0
ASV.398	6	0	0
ASV.400	6	0	0
ASV.401	6	0	0
ASV.402	6	0	0
ASV.403	6	0	0
ASV.404	6	0	0
ASV.405	6	0	0
ASV.406	6	0	0
ASV.407	6	0	0
ASV.408	6	0	0
ASV.409	6	0	0
ASV.410	6	0	0
ASV.411	6	0	0
ASV.412	0	6	0
ASV.414	0	6	0
ASV.415	0	6	0
ASV.416	0	6	0
ASV.417	0	6	0
ASV.418	0	6	0
ASV.419	0	6	0
ASV.420	0	6	0
ASV.421	0	6	0
ASV.422	0	6	0
ASV.424	0	6	0
ASV.425	0	6	0
ASV.426	0	6	0
ASV.427	0	6	0
ASV.428	0	6	0
ASV.429	0	6	0
ASV.430	0	6	0
ASV.431	0	6	0
ASV.432	0	6	0
ASV.434	0	6	0
ASV.435	0	6	0
ASV.436	0	6	0
ASV.437	0	6	0
ASV.438	0	6	0
ASV.439	0	6	0
ASV.440	0	6	0
ASV.441	0	6	0
ASV.442	0	6	0
ASV.443	0	0	6
ASV.445	0	0	6
ASV.446	0	0	6
ASV.447	0	0	6
ASV.448	0	0	6
ASV.449	0	0	6
ASV.450	0	0	6
ASV.451	0	0	6
ASV.452	0	0	6
ASV.453	0	0	6
ASV.454	0	0	6
ASV.455	0	0	6
ASV.456	5	0	0
ASV.457	5	0	0
ASV.458	5	0	0
ASV.459	5	0	0
ASV.460	2	0	3
ASV.461	5	0	0
ASV.462	5	0	0
ASV.463	5	0	0
ASV.464	5	0	0
ASV.465	5	0	0
ASV.466	5	0	0
ASV.468	5	0	0
ASV.469	5	0	0
ASV.470	5	0	0
ASV.471	5	0	0
ASV.472	5	0	0
ASV.473	5	0	0
ASV.474	5	0	0
ASV.475	5	0	0
ASV.476	5	0	0
ASV.477	5	0	0
ASV.478	5	0	0
ASV.479	5	0	0
ASV.480	5	0	0
ASV.481	5	0	0
ASV.482	0	5	0
ASV.483	0	5	0
ASV.484	0	5	0
ASV.486	0	3	2
ASV.488	0	5	0
ASV.489	0	5	0
ASV.491	0	5	0
ASV.492	0	5	0
ASV.494	0	5	0
ASV.495	0	5	0
ASV.496	0	5	0
ASV.497	0	5	0
ASV.498	0	5	0
ASV.499	0	5	0
ASV.500	0	5	0
ASV.502	0	5	0
ASV.503	0	5	0
ASV.504	0	5	0
ASV.505	0	5	0
ASV.506	0	5	0
ASV.507	0	5	0
ASV.508	0	5	0
ASV.509	0	5	0
ASV.510	0	5	0
ASV.511	0	0	5
ASV.513	0	0	5
ASV.514	0	0	5
ASV.515	0	0	5
ASV.516	0	0	5
ASV.517	0	0	5
ASV.518	0	0	5
ASV.519	0	0	5
ASV.520	0	0	5
ASV.521	0	0	5
ASV.522	0	0	5
ASV.523	0	0	5
ASV.524	0	0	5
ASV.525	0	0	5
ASV.526	0	0	5
ASV.527	0	0	5
ASV.528	0	0	5
ASV.529	0	0	5
ASV.530	0	0	5
ASV.531	0	0	5
ASV.532	0	0	5
ASV.533	4	0	0
ASV.534	4	0	0
ASV.535	4	0	0
ASV.536	4	0	0
ASV.537	4	0	0
ASV.538	4	0	0
ASV.539	4	0	0
ASV.540	4	0	0
ASV.541	4	0	0
ASV.542	4	0	0
ASV.543	4	0	0
ASV.544	4	0	0
ASV.545	4	0	0
ASV.546	4	0	0
ASV.547	4	0	0
ASV.548	4	0	0
ASV.549	4	0	0
ASV.550	4	0	0
ASV.551	4	0	0
ASV.552	4	0	0
ASV.553	4	0	0
ASV.554	4	0	0
ASV.555	4	0	0
ASV.556	4	0	0
ASV.557	4	0	0
ASV.558	4	0	0
ASV.559	4	0	0
ASV.560	4	0	0
ASV.562	4	0	0
ASV.563	4	0	0
ASV.564	4	0	0
ASV.565	4	0	0
ASV.566	4	0	0
ASV.567	4	0	0
ASV.568	4	0	0
ASV.569	4	0	0
ASV.571	4	0	0
ASV.572	4	0	0
ASV.573	0	4	0
ASV.574	0	4	0
ASV.575	0	4	0
ASV.576	0	4	0
ASV.577	0	4	0
ASV.579	0	4	0
ASV.580	0	4	0
ASV.581	0	4	0
ASV.582	0	4	0
ASV.583	0	4	0
ASV.584	0	4	0
ASV.585	0	4	0
ASV.586	0	4	0
ASV.587	0	4	0
ASV.588	0	4	0
ASV.589	0	4	0
ASV.590	0	4	0
ASV.591	0	4	0
ASV.592	0	4	0
ASV.593	0	4	0
ASV.594	0	4	0
ASV.595	0	4	0
ASV.596	0	4	0
ASV.597	0	4	0
ASV.598	0	4	0
ASV.599	0	2	2
ASV.600	0	4	0
ASV.601	0	4	0
ASV.602	0	4	0
ASV.603	0	4	0
ASV.605	0	4	0
ASV.606	0	4	0
ASV.607	0	4	0
ASV.608	0	4	0
ASV.609	0	4	0
ASV.610	0	4	0
ASV.611	0	4	0
ASV.612	0	4	0
ASV.613	0	4	0
ASV.614	0	0	4
ASV.615	0	0	4
ASV.616	0	0	4
ASV.618	0	0	4
ASV.619	0	0	4
ASV.620	0	0	4
ASV.621	0	0	4
ASV.622	0	0	4
ASV.623	0	0	4
ASV.624	0	0	4
ASV.625	0	0	4
ASV.626	0	0	4
ASV.627	0	0	4
ASV.628	0	0	4
ASV.629	0	0	4
ASV.630	0	0	4
ASV.631	0	0	4
ASV.632	0	0	4
ASV.633	0	0	4
ASV.634	0	0	4
ASV.635	0	0	4
ASV.636	0	0	4
ASV.637	0	0	4
ASV.638	0	0	4
ASV.639	0	0	4
ASV.640	0	0	4
ASV.641	0	0	4
ASV.642	0	0	4
ASV.643	0	0	4
ASV.644	0	0	4
ASV.646	0	0	4
ASV.647	0	0	4
ASV.648	3	0	0
ASV.649	3	0	0
ASV.650	3	0	0
ASV.651	3	0	0
ASV.652	3	0	0
ASV.653	3	0	0
ASV.654	3	0	0
ASV.656	3	0	0
ASV.657	3	0	0
ASV.658	3	0	0
ASV.659	3	0	0
ASV.660	3	0	0
ASV.661	3	0	0
ASV.662	3	0	0
ASV.663	3	0	0
ASV.664	3	0	0
ASV.665	3	0	0
ASV.666	3	0	0
ASV.667	3	0	0
ASV.668	3	0	0
ASV.669	3	0	0
ASV.670	3	0	0
ASV.671	3	0	0
ASV.672	3	0	0
ASV.673	3	0	0
ASV.674	3	0	0
ASV.675	3	0	0
ASV.676	3	0	0
ASV.677	3	0	0
ASV.678	3	0	0
ASV.679	3	0	0
ASV.680	3	0	0
ASV.682	3	0	0
ASV.683	3	0	0
ASV.684	3	0	0
ASV.685	3	0	0
ASV.686	3	0	0
ASV.687	3	0	0
ASV.688	3	0	0
ASV.689	3	0	0
ASV.690	3	0	0
ASV.691	3	0	0
ASV.692	3	0	0
ASV.693	3	0	0
ASV.695	3	0	0
ASV.696	3	0	0
ASV.697	3	0	0
ASV.698	3	0	0
ASV.699	3	0	0
ASV.700	3	0	0
ASV.701	3	0	0
ASV.702	3	0	0
ASV.703	3	0	0
ASV.704	3	0	0
ASV.705	3	0	0
ASV.706	3	0	0
ASV.708	3	0	0
ASV.709	3	0	0
ASV.710	3	0	0
ASV.711	3	0	0
ASV.712	3	0	0
ASV.713	3	0	0
ASV.714	3	0	0
ASV.715	3	0	0
ASV.716	3	0	0
ASV.717	3	0	0
ASV.718	3	0	0
ASV.719	3	0	0
ASV.720	3	0	0
ASV.721	3	0	0
ASV.722	3	0	0
ASV.723	3	0	0
ASV.724	3	0	0
ASV.725	0	3	0
ASV.726	0	3	0
ASV.727	0	3	0
ASV.728	0	3	0
ASV.729	0	3	0
ASV.730	0	3	0
ASV.731	0	3	0
ASV.732	0	3	0
ASV.733	0	3	0
ASV.734	0	3	0
ASV.735	0	3	0
ASV.736	0	3	0
ASV.739	0	3	0
ASV.740	0	3	0
ASV.741	0	3	0
ASV.742	0	3	0
ASV.743	0	3	0
ASV.744	0	3	0
ASV.745	0	3	0
ASV.746	0	3	0
ASV.747	0	3	0
ASV.748	0	3	0
ASV.749	0	3	0
ASV.750	0	3	0
ASV.751	0	3	0
ASV.752	0	3	0
ASV.753	0	3	0
ASV.754	0	3	0
ASV.755	0	3	0
ASV.756	0	3	0
ASV.757	0	3	0
ASV.759	0	3	0
ASV.760	0	3	0
ASV.761	0	3	0
ASV.762	0	3	0
ASV.763	0	3	0
ASV.764	0	3	0
ASV.766	0	3	0
ASV.767	0	3	0
ASV.768	0	3	0
ASV.769	0	3	0
ASV.770	0	3	0
ASV.771	0	3	0
ASV.773	0	3	0
ASV.774	0	3	0
ASV.775	0	3	0
ASV.776	0	3	0
ASV.777	0	3	0
ASV.778	0	3	0
ASV.779	0	3	0
ASV.780	0	3	0
ASV.781	0	3	0
ASV.782	0	3	0
ASV.783	0	3	0
ASV.784	0	3	0
ASV.785	0	3	0
ASV.786	0	3	0
ASV.787	0	3	0
ASV.788	0	3	0
ASV.789	0	3	0
ASV.790	0	3	0
ASV.791	0	3	0
ASV.792	0	3	0
ASV.794	0	3	0
ASV.795	0	3	0
ASV.796	0	0	3
ASV.797	0	0	3
ASV.798	0	0	3
ASV.799	0	0	3
ASV.800	0	0	3
ASV.801	0	0	3
ASV.802	0	0	3
ASV.805	0	0	3
ASV.806	0	0	3
ASV.807	0	0	3
ASV.808	0	0	3
ASV.809	0	0	3
ASV.810	0	0	3
ASV.811	0	0	3
ASV.812	0	0	3
ASV.813	0	0	3
ASV.814	0	0	3
ASV.815	0	0	3
ASV.816	0	0	3
ASV.817	0	0	3
ASV.818	0	0	3
ASV.819	0	0	3
ASV.820	0	0	3
ASV.821	0	0	3
ASV.822	0	0	3
ASV.823	0	0	3
ASV.824	0	0	3
ASV.825	0	0	3
ASV.826	0	0	3
ASV.827	0	0	3
ASV.828	0	0	3
ASV.829	0	0	3
ASV.830	0	0	3
ASV.831	0	0	3
ASV.832	0	0	3
ASV.833	0	0	3
ASV.834	0	0	3
ASV.835	0	0	3
ASV.836	0	0	3
ASV.837	0	0	3
ASV.839	0	0	3
ASV.840	0	0	3
ASV.841	0	0	3
ASV.842	0	0	3
ASV.843	0	0	3
ASV.844	0	0	3
ASV.845	0	0	3
ASV.846	0	0	3
ASV.848	0	0	3
ASV.849	0	0	3
ASV.850	0	0	3
ASV.851	0	0	3
ASV.852	0	0	3
ASV.853	0	0	3
ASV.855	0	0	3
ASV.856	0	0	3
ASV.857	0	0	3
ASV.858	0	0	3
ASV.859	0	0	3
ASV.860	2	0	0
ASV.861	2	0	0
ASV.862	2	0	0
ASV.863	2	0	0
ASV.864	2	0	0
ASV.865	2	0	0
ASV.866	2	0	0
ASV.867	2	0	0
ASV.868	2	0	0
ASV.869	2	0	0
ASV.870	2	0	0
ASV.871	2	0	0
ASV.872	2	0	0
ASV.873	2	0	0
ASV.874	2	0	0
ASV.875	2	0	0
ASV.876	2	0	0
ASV.877	2	0	0
ASV.879	2	0	0
ASV.880	2	0	0
ASV.881	2	0	0
ASV.882	2	0	0
ASV.883	2	0	0
ASV.884	2	0	0
ASV.885	2	0	0
ASV.886	2	0	0
ASV.887	2	0	0
ASV.888	2	0	0
ASV.889	2	0	0
ASV.890	2	0	0
ASV.891	2	0	0
ASV.892	2	0	0
ASV.893	2	0	0
ASV.894	2	0	0
ASV.895	2	0	0
ASV.896	2	0	0
ASV.897	2	0	0
ASV.898	2	0	0
ASV.899	2	0	0
ASV.900	2	0	0
ASV.901	2	0	0
ASV.902	2	0	0
ASV.903	2	0	0
ASV.904	2	0	0
ASV.905	2	0	0
ASV.906	2	0	0
ASV.907	2	0	0
ASV.908	2	0	0
ASV.909	2	0	0
ASV.910	2	0	0
ASV.911	2	0	0
ASV.912	2	0	0
ASV.913	2	0	0
ASV.914	2	0	0
ASV.915	2	0	0
ASV.916	2	0	0
ASV.917	2	0	0
ASV.918	0	2	0
ASV.919	0	2	0
ASV.920	0	2	0
ASV.921	0	2	0
ASV.922	0	2	0
ASV.923	0	2	0
ASV.924	0	2	0
ASV.925	0	2	0
ASV.926	0	2	0
ASV.927	0	2	0
ASV.928	0	2	0
ASV.929	0	2	0
ASV.930	0	2	0
ASV.931	0	2	0
ASV.932	0	2	0
ASV.933	0	2	0
ASV.934	0	2	0
ASV.935	0	2	0
ASV.936	0	2	0
ASV.937	0	2	0
ASV.938	0	2	0
ASV.939	0	2	0
ASV.940	0	2	0
ASV.941	0	2	0
ASV.942	0	2	0
ASV.943	0	2	0
ASV.944	0	2	0
ASV.945	0	2	0
ASV.946	0	2	0
ASV.947	0	2	0
ASV.948	0	2	0
ASV.949	0	2	0
ASV.950	0	2	0
ASV.951	0	2	0
ASV.952	0	2	0
ASV.953	0	2	0
ASV.954	0	2	0
ASV.955	0	2	0
ASV.956	0	2	0
ASV.957	0	2	0
ASV.958	0	2	0
ASV.959	0	2	0
ASV.960	0	2	0
ASV.961	0	2	0
ASV.962	0	2	0
ASV.963	0	2	0
ASV.964	0	2	0
ASV.965	0	2	0
ASV.966	0	2	0
ASV.967	0	2	0
ASV.968	0	2	0
ASV.969	0	2	0
ASV.970	0	2	0
ASV.971	0	2	0
ASV.972	0	2	0
ASV.973	0	2	0
ASV.974	0	2	0
ASV.975	0	2	0
ASV.976	0	2	0
ASV.977	0	2	0
ASV.978	0	2	0
ASV.979	0	2	0
ASV.980	0	2	0
ASV.981	0	2	0
ASV.982	0	2	0
ASV.983	0	2	0
ASV.984	0	2	0
ASV.985	0	2	0
ASV.986	0	2	0
ASV.987	0	2	0
ASV.988	0	2	0
ASV.989	0	2	0
ASV.990	0	2	0
ASV.991	0	2	0
ASV.992	0	0	2
ASV.993	0	0	2
ASV.994	0	0	2
ASV.995	0	0	2
ASV.996	0	0	2
ASV.997	0	0	2
ASV.998	0	0	2
ASV.999	0	0	2
ASV.1000	0	0	2
ASV.1001	0	0	2
ASV.1002	0	0	2
ASV.1003	0	0	2
ASV.1004	0	0	2
ASV.1005	0	0	2
ASV.1006	0	0	2
ASV.1007	0	0	2
ASV.1008	0	0	2
ASV.1009	0	0	2
ASV.1010	0	0	2
ASV.1011	0	0	2
ASV.1012	0	0	2
ASV.1013	0	0	2
ASV.1014	0	0	2
ASV.1015	0	0	2
ASV.1016	0	0	2
ASV.1017	0	0	2
ASV.1018	0	0	2
ASV.1019	0	0	2
ASV.1020	0	0	2
ASV.1021	0	0	2
ASV.1022	0	0	2
ASV.1023	0	0	2
ASV.1024	0	0	2
ASV.1025	0	0	2
ASV.1026	0	0	2
ASV.1027	0	0	2
ASV.1028	0	0	2
ASV.1029	0	0	2
ASV.1030	0	0	2
ASV.1031	0	0	2
ASV.1032	0	0	2
ASV.1033	0	0	2
ASV.1034	0	0	2
ASV.1035	0	0	2
ASV.1036	0	0	2
ASV.1037	0	0	2
ASV.1038	0	0	2
ASV.1039	0	0	2
ASV.1040	0	0	2
ASV.1041	0	0	2
ASV.1042	0	0	2
ASV.1043	0	0	2
ASV.1044	0	0	2
ASV.1045	0	0	2
ASV.1046	0	0	2
ASV.1047	0	0	2
ASV.1048	0	0	2
ASV.1049	0	0	2
ASV.1050	0	0	2
ASV.1051	0	0	2
ASV.1052	0	0	2
ASV.1053	0	0	2
ASV.1054	0	0	2
ASV.1055	0	0	2
ASV.1056	0	0	2
ASV.1057	0	0	2
ASV.1058	0	0	2
ASV.1059	0	0	2
ASV.1060	0	0	2
ASV.1061	0	0	2
ASV.1062	0	1	0
ASV.1063	0	1	0
