SRR13612789	SRR13612790	SRR13612791
ASV.1	16473	23548	25107
ASV.2	336	4363	1369
ASV.3	1239	1408	1018
ASV.4	644	485	403
ASV.5	758	185	109
ASV.6	787	0	190
ASV.7	0	489	274
ASV.10	210	200	214
ASV.11	123	209	284
ASV.12	73	222	224
ASV.13	497	13	0
ASV.14	87	150	229
ASV.15	34	184	239
ASV.17	0	210	208
ASV.18	245	0	161
ASV.19	58	180	146
ASV.20	322	0	58
ASV.21	28	169	179
ASV.22	116	0	257
ASV.23	0	131	220
ASV.24	30	183	119
ASV.26	0	179	110
ASV.27	128	76	68
ASV.28	0	108	146
ASV.29	34	66	145
ASV.30	26	123	95
ASV.31	236	0	0
ASV.32	34	77	77
ASV.33	95	46	39
ASV.34	119	0	60
ASV.35	46	43	80
ASV.36	9	59	83
ASV.37	0	88	63
ASV.38	0	43	99
ASV.39	0	59	76
ASV.40	64	65	0
ASV.41	11	52	64
ASV.42	0	44	78
ASV.43	83	17	21
ASV.44	3	68	46
ASV.45	28	47	36
ASV.46	107	0	0
ASV.47	8	43	52
ASV.48	0	54	49
ASV.49	77	18	7
ASV.50	101	0	0
ASV.51	0	33	60
ASV.52	0	60	27
ASV.53	82	0	4
ASV.54	0	46	40
ASV.55	16	38	31
ASV.56	20	33	30
ASV.57	39	20	16
ASV.58	25	26	24
ASV.59	0	22	52
ASV.60	72	0	0
ASV.61	13	20	34
ASV.62	0	38	29
ASV.63	36	12	18
ASV.64	65	0	0
ASV.65	0	62	0
ASV.68	0	17	44
ASV.69	12	26	21
ASV.70	13	0	45
ASV.71	12	20	26
ASV.72	6	23	29
ASV.73	0	0	58
ASV.74	0	32	25
ASV.75	19	13	24
ASV.76	35	12	8
ASV.77	10	16	29
ASV.78	8	0	45
ASV.79	0	0	50
ASV.80	49	0	0
ASV.81	0	26	23
ASV.83	21	13	11
ASV.84	0	19	26
ASV.85	0	25	19
ASV.86	14	14	14
ASV.87	18	9	14
ASV.88	26	6	9
ASV.89	0	9	32
ASV.90	0	26	14
ASV.91	0	39	0
ASV.92	0	24	15
ASV.93	0	0	39
ASV.94	0	18	20
ASV.95	0	20	18
ASV.96	37	0	0
ASV.97	0	0	37
ASV.99	29	0	7
ASV.100	14	0	22
ASV.101	0	0	36
ASV.102	0	35	0
ASV.103	17	8	9
ASV.104	34	0	0
ASV.105	0	22	12
ASV.106	0	20	14
ASV.107	11	12	10
ASV.108	10	12	11
ASV.109	20	9	4
ASV.110	4	0	29
ASV.111	0	15	18
ASV.112	9	13	10
ASV.113	13	18	0
ASV.114	31	0	0
ASV.115	30	0	0
