asvLen	totReads	numSamps
ASV.1	325	72433	3
ASV.2	325	27525	3
ASV.6	148	2782	3
ASV.8	328	1441	3
ASV.10	325	667	3
ASV.13	328	392	2
ASV.14	328	390	1
ASV.15	153	368	3
ASV.16	74	296	2
ASV.17	109	273	3
ASV.18	322	265	3
ASV.19	199	247	2
ASV.20	158	184	1
ASV.21	51	134	2
ASV.23	328	129	1
ASV.25	118	93	3
ASV.26	164	93	2
ASV.27	364	87	1
ASV.28	328	83	1
ASV.29	146	76	1
ASV.30	171	69	1
ASV.31	262	68	2
ASV.32	159	66	3
ASV.33	121	66	2
ASV.34	80	65	3
ASV.35	75	64	2
ASV.36	262	63	2
ASV.37	322	61	2
ASV.38	322	50	2
ASV.39	80	46	2
ASV.40	262	43	1
ASV.41	37	41	3
ASV.42	199	41	1
ASV.44	91	36	2
ASV.45	364	36	1
ASV.46	104	27	3
ASV.48	255	25	2
ASV.49	174	21	1
ASV.50	132	20	2
ASV.51	123	20	1
ASV.52	149	18	1
ASV.53	328	17	1
ASV.54	88	16	2
ASV.55	121	16	3
ASV.56	32	16	1
ASV.57	328	16	1
ASV.58	77	15	3
ASV.59	91	15	1
ASV.61	325	15	1
ASV.62	185	15	1
ASV.63	48	15	1
ASV.64	80	15	1
ASV.65	70	14	2
ASV.66	64	14	2
ASV.67	149	12	1
ASV.68	251	11	1
ASV.69	21	10	1
ASV.70	92	10	1
ASV.71	33	10	1
ASV.72	325	10	1
ASV.73	64	10	1
ASV.74	168	9	1
ASV.75	215	9	2
ASV.76	88	9	1
ASV.77	43	8	1
ASV.78	160	8	1
ASV.79	123	8	2
ASV.80	137	7	1
ASV.81	131	7	1
ASV.82	61	7	2
ASV.83	134	7	1
ASV.84	88	7	1
ASV.85	129	7	1
ASV.86	200	7	1
ASV.87	123	7	1
ASV.88	65	7	1
ASV.89	106	6	2
ASV.90	76	6	2
ASV.91	52	6	2
ASV.92	56	6	2
ASV.93	57	6	1
ASV.94	76	6	1
ASV.95	119	6	1
ASV.97	42	6	1
ASV.98	65	6	1
ASV.99	85	6	1
ASV.100	53	6	1
ASV.101	54	5	1
ASV.102	93	5	1
ASV.103	65	5	1
ASV.104	74	5	2
ASV.105	60	5	1
ASV.106	32	5	1
ASV.107	68	5	1
ASV.108	48	4	1
ASV.109	42	4	1
ASV.110	92	4	1
ASV.111	80	4	2
ASV.112	55	4	1
ASV.113	85	4	1
ASV.114	57	4	1
ASV.115	40	4	1
ASV.116	77	4	1
ASV.117	25	4	1
ASV.118	195	4	1
ASV.119	77	4	1
ASV.120	24	4	1
ASV.121	61	4	1
ASV.122	158	3	1
ASV.123	78	3	1
ASV.124	87	3	1
ASV.125	94	3	1
ASV.126	76	3	1
ASV.127	118	3	1
ASV.128	42	3	1
ASV.129	47	3	1
ASV.130	91	3	1
ASV.131	93	3	1
ASV.132	48	3	1
ASV.133	82	3	1
ASV.134	133	3	1
ASV.135	60	3	1
ASV.136	149	3	1
ASV.137	38	3	1
ASV.138	89	3	1
ASV.139	111	3	1
ASV.140	87	3	1
ASV.141	68	3	1
ASV.142	94	3	1
ASV.143	100	3	1
ASV.144	45	3	1
ASV.145	88	3	1
ASV.146	157	3	1
ASV.147	54	2	1
ASV.148	109	2	1
ASV.149	130	2	1
ASV.150	120	2	1
ASV.151	88	2	1
ASV.152	67	2	1
ASV.154	50	2	1
ASV.155	56	2	1
ASV.156	43	2	1
ASV.157	54	2	1
ASV.158	229	2	1
ASV.159	61	2	1
ASV.160	91	2	1
ASV.161	113	2	1
ASV.162	58	2	1
ASV.163	73	2	1
ASV.164	66	2	1
ASV.165	137	2	1
ASV.166	53	2	1
ASV.167	134	2	1
ASV.168	105	2	1
ASV.169	48	2	1
ASV.170	158	2	1
ASV.171	99	2	1
ASV.172	61	2	1
ASV.173	101	2	1
ASV.174	68	2	1
ASV.175	96	2	1
ASV.176	88	2	1
ASV.177	85	2	1
ASV.178	146	2	1
ASV.179	139	2	1
ASV.180	44	2	1
ASV.181	71	2	1
