SRR13612798	SRR13612799	SRR13612800
ASV.1	25964	24143	22326
ASV.2	8549	10159	8817
ASV.6	774	968	1040
ASV.8	428	361	652
ASV.10	219	254	194
ASV.13	0	174	218
ASV.14	0	0	390
ASV.15	84	183	101
ASV.16	0	40	256
ASV.17	106	78	89
ASV.18	91	107	67
ASV.19	0	104	143
ASV.20	0	0	184
ASV.21	4	130	0
ASV.23	129	0	0
ASV.25	24	43	26
ASV.26	0	47	46
ASV.27	0	0	87
ASV.28	0	0	83
ASV.29	0	76	0
ASV.30	69	0	0
ASV.31	0	28	40
ASV.32	7	24	35
ASV.33	0	42	24
ASV.34	19	23	23
ASV.35	0	28	36
ASV.36	0	24	39
ASV.37	31	0	30
ASV.38	0	22	28
ASV.39	0	29	17
ASV.40	43	0	0
ASV.41	5	29	7
ASV.42	0	0	41
ASV.44	0	23	13
ASV.45	0	0	36
ASV.46	8	8	11
ASV.48	0	11	14
ASV.49	0	0	21
ASV.50	0	11	9
ASV.51	0	20	0
ASV.52	0	0	18
ASV.53	0	17	0
ASV.54	5	11	0
ASV.55	4	6	6
ASV.56	0	16	0
ASV.57	0	16	0
ASV.58	6	3	6
ASV.59	15	0	0
ASV.61	0	15	0
ASV.62	0	15	0
ASV.63	0	0	15
ASV.64	0	0	15
ASV.65	9	0	5
ASV.66	6	8	0
ASV.67	0	12	0
ASV.68	0	11	0
ASV.69	0	10	0
ASV.70	0	10	0
ASV.71	0	0	10
ASV.72	0	0	10
ASV.73	0	0	10
ASV.74	0	9	0
ASV.75	0	4	5
ASV.76	0	0	9
ASV.77	0	8	0
ASV.78	0	8	0
ASV.79	0	5	3
ASV.80	0	7	0
ASV.81	0	7	0
ASV.82	0	2	5
ASV.83	0	7	0
ASV.84	0	7	0
ASV.85	0	7	0
ASV.86	0	7	0
ASV.87	0	0	7
ASV.88	0	0	7
ASV.89	4	2	0
ASV.90	4	2	0
ASV.91	3	0	3
ASV.92	3	0	3
ASV.93	0	6	0
ASV.94	0	6	0
ASV.95	0	6	0
ASV.97	0	6	0
ASV.98	0	0	6
ASV.99	0	0	6
ASV.100	0	0	6
ASV.101	0	5	0
ASV.102	0	5	0
ASV.103	0	5	0
ASV.104	0	3	2
ASV.105	0	0	5
ASV.106	0	0	5
ASV.107	0	0	5
ASV.108	4	0	0
ASV.109	4	0	0
ASV.110	0	4	0
ASV.111	0	2	2
ASV.112	0	4	0
ASV.113	0	4	0
ASV.114	0	4	0
ASV.115	0	0	4
ASV.116	0	0	4
ASV.117	0	0	4
ASV.118	0	0	4
ASV.119	0	0	4
ASV.120	0	0	4
ASV.121	0	0	4
ASV.122	3	0	0
ASV.123	3	0	0
ASV.124	3	0	0
ASV.125	3	0	0
ASV.126	3	0	0
ASV.127	3	0	0
ASV.128	3	0	0
ASV.129	3	0	0
ASV.130	3	0	0
ASV.131	3	0	0
ASV.132	0	3	0
ASV.133	0	3	0
ASV.134	0	0	3
ASV.135	0	0	3
ASV.136	0	0	3
ASV.137	0	0	3
ASV.138	0	0	3
ASV.139	0	0	3
ASV.140	0	0	3
ASV.141	0	0	3
ASV.142	0	0	3
ASV.143	0	0	3
ASV.144	0	0	3
ASV.145	0	0	3
ASV.146	0	0	3
ASV.147	2	0	0
ASV.148	2	0	0
ASV.149	2	0	0
ASV.150	0	2	0
ASV.151	0	2	0
ASV.152	0	2	0
ASV.154	0	2	0
ASV.155	0	2	0
ASV.156	0	2	0
ASV.157	0	2	0
ASV.158	0	2	0
ASV.159	0	2	0
ASV.160	0	2	0
ASV.161	0	2	0
ASV.162	0	2	0
ASV.163	0	2	0
ASV.164	0	2	0
ASV.165	0	2	0
ASV.166	0	2	0
ASV.167	0	0	2
ASV.168	0	0	2
ASV.169	0	0	2
ASV.170	0	0	2
ASV.171	0	0	2
ASV.172	0	0	2
ASV.173	0	0	2
ASV.174	0	0	2
ASV.175	0	0	2
ASV.176	0	0	2
ASV.177	0	0	2
ASV.178	0	0	2
ASV.179	0	0	2
ASV.180	0	0	2
ASV.181	0	0	2
