SRR13612821	SRR13612822	SRR13612823
ASV.1	22141	17417	17749
ASV.2	3965	5375	3709
ASV.3	4958	2852	3172
ASV.4	0	3319	6156
ASV.5	3267	2490	2478
ASV.6	0	3219	2908
ASV.7	463	540	518
ASV.8	266	594	320
ASV.11	104	291	417
ASV.13	95	293	371
ASV.14	247	499	0
ASV.15	89	275	344
ASV.16	0	424	229
ASV.18	0	210	266
ASV.19	48	152	197
ASV.20	0	149	205
ASV.21	43	131	155
ASV.22	29	116	129
ASV.23	0	88	151
ASV.24	26	88	108
ASV.25	76	93	53
ASV.26	0	82	115
ASV.27	0	0	184
ASV.28	28	64	91
ASV.29	22	58	87
ASV.30	33	68	65
ASV.31	17	62	84
ASV.32	0	48	114
ASV.33	35	40	84
ASV.34	0	0	156
ASV.35	40	41	53
ASV.36	7	41	76
ASV.38	0	45	75
ASV.39	0	113	0
ASV.40	0	52	57
ASV.41	25	31	50
ASV.42	0	99	0
ASV.44	0	22	60
ASV.46	10	33	27
ASV.48	0	42	25
ASV.49	0	24	43
ASV.51	61	0	0
ASV.52	0	25	35
ASV.53	0	30	30
ASV.54	0	15	43
ASV.56	0	21	36
ASV.57	21	15	20
ASV.58	0	0	53
ASV.59	8	19	24
ASV.61	0	20	26
ASV.62	0	0	43
ASV.63	0	28	13
ASV.64	3	19	18
ASV.66	0	12	27
ASV.67	0	0	39
ASV.69	0	25	13
ASV.70	0	8	29
ASV.71	0	34	0
ASV.72	0	8	26
ASV.73	0	17	17
ASV.75	3	7	22
ASV.76	2	9	20
ASV.78	0	9	20
ASV.79	0	0	29
ASV.80	0	0	29
ASV.81	0	0	28
ASV.83	0	26	0
ASV.84	0	0	25
ASV.85	2	12	10
ASV.86	0	12	12
ASV.87	0	0	24
ASV.88	0	0	23
ASV.89	0	7	15
ASV.91	0	0	22
ASV.93	0	20	0
ASV.94	0	0	20
ASV.95	5	0	14
ASV.96	0	8	11
ASV.97	0	18	0
ASV.98	0	18	0
ASV.99	0	10	8
ASV.100	3	8	6
ASV.101	0	0	17
ASV.102	5	0	10
ASV.104	0	15	0
ASV.105	0	15	0
ASV.106	0	5	10
ASV.107	0	0	15
ASV.108	0	0	15
ASV.109	4	0	10
ASV.110	0	6	8
ASV.111	0	11	3
ASV.112	0	0	14
ASV.113	0	0	14
ASV.115	0	0	14
ASV.116	0	0	14
ASV.117	13	0	0
ASV.118	0	13	0
ASV.121	12	0	0
ASV.122	0	12	0
ASV.123	0	0	12
ASV.124	0	0	12
ASV.125	0	0	12
ASV.126	0	0	12
ASV.127	0	11	0
ASV.128	0	4	7
ASV.129	0	4	7
ASV.130	0	11	0
ASV.131	0	11	0
ASV.132	0	4	7
ASV.133	0	0	11
ASV.134	0	0	11
ASV.135	0	0	10
ASV.136	9	0	0
ASV.137	2	4	3
ASV.139	0	9	0
ASV.140	0	9	0
ASV.141	0	0	9
ASV.142	0	0	9
ASV.143	0	0	9
ASV.144	0	0	9
ASV.146	0	0	9
ASV.147	8	0	0
ASV.149	0	8	0
ASV.151	0	8	0
ASV.152	0	8	0
ASV.153	0	8	0
ASV.154	0	8	0
ASV.155	0	4	4
ASV.156	0	8	0
ASV.157	0	2	6
ASV.159	0	0	8
ASV.160	0	0	8
ASV.161	0	0	8
ASV.162	4	0	3
ASV.163	0	7	0
ASV.164	0	7	0
ASV.165	0	3	4
ASV.166	0	5	2
ASV.167	0	7	0
ASV.169	0	7	0
ASV.170	0	7	0
ASV.173	0	0	7
ASV.174	0	0	7
ASV.175	0	0	7
ASV.176	6	0	0
ASV.177	6	0	0
ASV.178	6	0	0
ASV.179	0	6	0
ASV.180	0	6	0
ASV.181	0	6	0
ASV.182	0	6	0
ASV.184	0	6	0
ASV.186	0	3	3
ASV.187	0	6	0
ASV.188	0	6	0
ASV.190	0	3	3
ASV.191	0	0	6
ASV.192	0	0	6
ASV.193	0	0	6
ASV.194	0	0	6
ASV.196	3	2	0
ASV.198	0	5	0
ASV.199	0	5	0
ASV.200	0	5	0
ASV.201	0	5	0
ASV.202	0	3	2
ASV.203	0	5	0
ASV.204	0	5	0
ASV.205	0	5	0
ASV.207	0	5	0
ASV.208	0	0	5
ASV.209	0	0	5
ASV.210	0	0	5
ASV.211	0	0	5
ASV.212	0	0	5
ASV.213	0	0	5
ASV.214	0	0	5
ASV.215	0	0	5
ASV.216	0	0	5
ASV.218	0	0	5
ASV.220	0	0	5
ASV.221	0	0	5
ASV.222	0	0	5
ASV.224	0	0	5
ASV.225	0	0	5
ASV.226	4	0	0
ASV.227	4	0	0
ASV.228	4	0	0
ASV.229	4	0	0
ASV.230	4	0	0
ASV.231	4	0	0
ASV.232	4	0	0
ASV.233	4	0	0
ASV.234	0	4	0
ASV.236	0	4	0
ASV.237	0	4	0
ASV.238	0	4	0
ASV.239	0	2	2
ASV.240	0	4	0
ASV.241	0	4	0
ASV.242	0	4	0
ASV.244	0	4	0
ASV.245	0	4	0
ASV.246	0	4	0
ASV.247	0	4	0
ASV.248	0	0	4
ASV.249	0	0	4
ASV.250	0	0	4
ASV.251	0	0	4
ASV.252	0	0	4
ASV.253	0	0	4
ASV.254	0	0	4
ASV.255	0	0	4
ASV.256	0	0	4
ASV.257	0	0	4
ASV.258	0	0	4
ASV.259	0	0	4
ASV.260	0	0	4
ASV.261	0	0	4
ASV.262	0	0	4
ASV.263	0	0	4
ASV.264	0	0	4
ASV.265	0	0	4
ASV.266	0	0	4
ASV.267	0	0	4
ASV.268	0	0	4
ASV.269	0	0	4
ASV.270	0	0	4
ASV.271	3	0	0
ASV.272	3	0	0
ASV.273	3	0	0
ASV.274	3	0	0
ASV.276	3	0	0
ASV.278	3	0	0
ASV.279	3	0	0
ASV.280	3	0	0
ASV.281	3	0	0
ASV.282	0	3	0
ASV.283	0	3	0
ASV.284	0	3	0
ASV.286	0	3	0
ASV.287	0	3	0
ASV.288	0	3	0
ASV.290	0	3	0
ASV.291	0	3	0
ASV.292	0	3	0
ASV.293	0	3	0
ASV.294	0	3	0
ASV.295	0	3	0
ASV.296	0	3	0
ASV.297	0	3	0
ASV.300	0	3	0
ASV.301	0	3	0
ASV.302	0	3	0
ASV.303	0	3	0
ASV.304	0	0	3
ASV.305	0	0	3
ASV.306	0	0	3
ASV.307	0	0	3
ASV.308	0	0	3
ASV.309	0	0	3
ASV.310	0	0	3
ASV.311	0	0	3
ASV.313	0	0	3
ASV.314	0	0	3
ASV.315	0	0	3
ASV.316	0	0	3
ASV.317	0	0	3
ASV.318	0	0	3
ASV.319	0	0	3
ASV.320	0	0	3
ASV.321	0	0	3
ASV.322	0	0	3
ASV.323	0	0	3
ASV.324	0	0	3
ASV.325	0	0	3
ASV.326	0	0	3
ASV.327	0	0	3
ASV.328	0	0	3
ASV.329	0	0	3
ASV.330	0	0	3
ASV.331	2	0	0
ASV.332	2	0	0
ASV.333	2	0	0
ASV.334	2	0	0
ASV.335	2	0	0
ASV.336	2	0	0
ASV.337	2	0	0
ASV.338	2	0	0
ASV.339	2	0	0
ASV.340	2	0	0
ASV.341	2	0	0
ASV.342	2	0	0
ASV.344	2	0	0
ASV.345	2	0	0
ASV.346	2	0	0
ASV.347	2	0	0
ASV.348	0	2	0
ASV.349	0	2	0
ASV.350	0	2	0
ASV.351	0	2	0
ASV.352	0	2	0
ASV.353	0	2	0
ASV.354	0	2	0
ASV.355	0	2	0
ASV.356	0	2	0
ASV.357	0	2	0
ASV.358	0	2	0
ASV.359	0	2	0
ASV.360	0	2	0
ASV.361	0	2	0
ASV.362	0	2	0
ASV.363	0	2	0
ASV.364	0	2	0
ASV.365	0	2	0
ASV.366	0	2	0
ASV.367	0	2	0
ASV.368	0	2	0
ASV.369	0	2	0
ASV.370	0	2	0
ASV.371	0	2	0
ASV.372	0	2	0
ASV.373	0	2	0
ASV.374	0	2	0
ASV.375	0	2	0
ASV.376	0	2	0
ASV.377	0	2	0
ASV.378	0	2	0
ASV.379	0	2	0
ASV.380	0	2	0
ASV.381	0	2	0
ASV.382	0	2	0
ASV.383	0	0	2
ASV.384	0	0	2
ASV.385	0	0	2
ASV.386	0	0	2
ASV.387	0	0	2
ASV.388	0	0	2
ASV.389	0	0	2
ASV.390	0	0	2
ASV.391	0	0	2
ASV.392	0	0	2
ASV.393	0	0	2
ASV.394	0	0	2
ASV.395	0	0	2
ASV.396	0	0	2
ASV.397	0	0	2
ASV.398	0	0	2
ASV.399	0	0	2
ASV.400	0	0	2
ASV.401	0	0	2
ASV.402	0	0	2
ASV.403	0	0	2
ASV.404	0	0	2
ASV.405	0	0	2
ASV.406	0	0	2
ASV.407	0	0	2
ASV.409	0	0	2
ASV.410	0	0	2
ASV.411	0	0	2
ASV.412	0	0	2
ASV.413	0	0	2
ASV.414	0	0	2
ASV.415	0	0	2
ASV.416	0	0	2
ASV.417	0	0	2
ASV.418	0	0	2
ASV.419	0	0	2
ASV.420	0	0	2
ASV.421	0	0	2
ASV.422	0	0	2
ASV.423	0	0	2
ASV.424	0	0	2
ASV.425	0	0	2
ASV.426	0	1	0
