#Source	Type	SizeFrac	SampName
RawFastqs/Turk018-e15-34_S176_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk018-e15-34_S176
RawFastqs/Turk018-e15-34_S176_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk018-e15-34_S176
RawFastqs/Turk019-60667_S177_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk019-60667_S177
RawFastqs/Turk019-60667_S177_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk019-60667_S177
RawFastqs/Turk020-60875_S178_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk020-60875_S178
RawFastqs/Turk020-60875_S178_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk020-60875_S178
RawFastqs/Turk021-64291_S179_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk021-64291_S179
RawFastqs/Turk021-64291_S179_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk021-64291_S179
RawFastqs/Turk022-61155_S180_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk022-61155_S180
RawFastqs/Turk022-61155_S180_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk022-61155_S180
RawFastqs/Turk023-61301_S181_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk023-61301_S181
RawFastqs/Turk023-61301_S181_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk023-61301_S181
RawFastqs/Turk024-61604_S182_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk024-61604_S182
RawFastqs/Turk024-61604_S182_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk024-61604_S182
RawFastqs/Turk025-62059_S183_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk025-62059_S183
RawFastqs/Turk025-62059_S183_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk025-62059_S183
RawFastqs/Turk026-e15-3_S184_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk026-e15-3_S184
RawFastqs/Turk026-e15-3_S184_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk026-e15-3_S184
RawFastqs/Turk027-e15-35_S185_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk027-e15-35_S185
RawFastqs/Turk027-e15-35_S185_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk027-e15-35_S185
RawFastqs/Turk028-60690_S186_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk028-60690_S186
RawFastqs/Turk028-60690_S186_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk028-60690_S186
RawFastqs/Turk029-60883_S187_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk029-60883_S187
RawFastqs/Turk029-60883_S187_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk029-60883_S187
RawFastqs/Turk030-64295_S188_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk030-64295_S188
RawFastqs/Turk030-64295_S188_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk030-64295_S188
RawFastqs/Turk031-61159_S189_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk031-61159_S189
RawFastqs/Turk031-61159_S189_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk031-61159_S189
RawFastqs/Turk032-61380_S190_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk032-61380_S190
RawFastqs/Turk032-61380_S190_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk032-61380_S190
RawFastqs/Turk033-61837_S191_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk033-61837_S191
RawFastqs/Turk033-61837_S191_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk033-61837_S191
RawFastqs/Turk034-64519_S192_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk034-64519_S192
RawFastqs/Turk034-64519_S192_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk034-64519_S192
RawFastqs/Turk035-e15-22_S193_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk035-e15-22_S193
RawFastqs/Turk035-e15-22_S193_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk035-e15-22_S193
RawFastqs/Turk036-e15-36_S194_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk036-e15-36_S194
RawFastqs/Turk036-e15-36_S194_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk036-e15-36_S194
RawFastqs/Turk037-60692_S195_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk037-60692_S195
RawFastqs/Turk037-60692_S195_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk037-60692_S195
RawFastqs/Turk038-60909_S196_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk038-60909_S196
RawFastqs/Turk038-60909_S196_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk038-60909_S196
RawFastqs/Turk039-61091_S197_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk039-61091_S197
RawFastqs/Turk039-61091_S197_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk039-61091_S197
RawFastqs/Turk040-61167_S198_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk040-61167_S198
RawFastqs/Turk040-61167_S198_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk040-61167_S198
RawFastqs/Turk041-61388_S199_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk041-61388_S199
RawFastqs/Turk041-61388_S199_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk041-61388_S199
RawFastqs/Turk042-61845_S200_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk042-61845_S200
RawFastqs/Turk042-61845_S200_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk042-61845_S200
RawFastqs/Turk043-64524_S201_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk043-64524_S201
RawFastqs/Turk043-64524_S201_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk043-64524_S201
RawFastqs/Turk044-e15-23_S202_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk044-e15-23_S202
RawFastqs/Turk044-e15-23_S202_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk044-e15-23_S202
RawFastqs/Turk045-64121_S203_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk045-64121_S203
RawFastqs/Turk045-64121_S203_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk045-64121_S203
RawFastqs/Turk046-60917_S204_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk046-60917_S204
RawFastqs/Turk046-60917_S204_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk046-60917_S204
RawFastqs/Turk047-61099_S205_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk047-61099_S205
RawFastqs/Turk047-61099_S205_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk047-61099_S205
RawFastqs/Turk048-61197_S206_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk048-61197_S206
RawFastqs/Turk048-61197_S206_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk048-61197_S206
RawFastqs/Turk049-61424_S207_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk049-61424_S207
RawFastqs/Turk049-61424_S207_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk049-61424_S207
RawFastqs/Turk050-61868_S208_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk050-61868_S208
RawFastqs/Turk050-61868_S208_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk050-61868_S208
RawFastqs/Turk051-64631_S209_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk051-64631_S209
RawFastqs/Turk051-64631_S209_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk051-64631_S209
RawFastqs/Turk052-e15-24_S210_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk052-e15-24_S210
RawFastqs/Turk052-e15-24_S210_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk052-e15-24_S210
RawFastqs/Turk053-64125_S211_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk053-64125_S211
RawFastqs/Turk053-64125_S211_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk053-64125_S211
RawFastqs/Turk054-64160_S212_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk054-64160_S212
RawFastqs/Turk054-64160_S212_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk054-64160_S212
RawFastqs/Turk055-61107_S213_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk055-61107_S213
RawFastqs/Turk055-61107_S213_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk055-61107_S213
RawFastqs/Turk056-61198_S214_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk056-61198_S214
RawFastqs/Turk056-61198_S214_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk056-61198_S214
RawFastqs/Turk057-61432_S215_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk057-61432_S215
RawFastqs/Turk057-61432_S215_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk057-61432_S215
RawFastqs/Turk058-61876_S216_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk058-61876_S216
RawFastqs/Turk058-61876_S216_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk058-61876_S216
RawFastqs/Turk059-64634_S217_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk059-64634_S217
RawFastqs/Turk059-64634_S217_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk059-64634_S217
RawFastqs/Turk060-e15-28_S218_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk060-e15-28_S218
RawFastqs/Turk060-e15-28_S218_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk060-e15-28_S218
RawFastqs/Turk061-64126_S219_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk061-64126_S219
RawFastqs/Turk061-64126_S219_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk061-64126_S219
RawFastqs/Turk062-64275_S220_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk062-64275_S220
RawFastqs/Turk062-64275_S220_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk062-64275_S220
RawFastqs/Turk063-61115_S221_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk063-61115_S221
RawFastqs/Turk063-61115_S221_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk063-61115_S221
RawFastqs/Turk064-61199_S222_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk064-61199_S222
RawFastqs/Turk064-61199_S222_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk064-61199_S222
RawFastqs/Turk065-61484_S223_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk065-61484_S223
RawFastqs/Turk065-61484_S223_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk065-61484_S223
RawFastqs/Turk066-61972_S224_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk066-61972_S224
RawFastqs/Turk066-61972_S224_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk066-61972_S224
RawFastqs/Turk067-64223_S225_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk067-64223_S225
RawFastqs/Turk067-64223_S225_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk067-64223_S225
RawFastqs/Turk068-e15-29_S226_L001_R1_001.fastq.gz	DNA	Frac_0.2	Turk068-e15-29_S226
RawFastqs/Turk068-e15-29_S226_L001_R2_001.fastq.gz	DNA	Frac_0.2	Turk068-e15-29_S226
