SRR13612797	SRR13612808	SRR13612849	SRR13612860	SRR13612885	SRR13612887	SRR13612888	SRR13612889
ASV.203	0	0	31	0	0	0	0	0
ASV.204	0	0	0	31	0	0	0	0
ASV.205	0	0	0	0	0	11	0	20
ASV.207	30	0	0	0	0	0	0	0
ASV.208	0	0	7	0	0	11	5	7
ASV.209	0	0	0	0	30	0	0	0
ASV.210	29	0	0	0	0	0	0	0
ASV.211	29	0	0	0	0	0	0	0
ASV.212	3	16	0	10	0	0	0	0
ASV.213	0	0	0	29	0	0	0	0
ASV.214	0	0	0	0	8	0	14	7
ASV.215	0	0	0	0	13	0	0	16
ASV.216	0	0	0	0	0	29	0	0
ASV.217	0	0	0	0	0	29	0	0
ASV.218	0	0	0	0	0	0	29	0
ASV.220	0	12	0	16	0	0	0	0
ASV.221	0	10	9	0	9	0	0	0
ASV.222	0	0	2	0	0	26	0	0
ASV.223	0	0	0	0	5	5	10	8
ASV.225	27	0	0	0	0	0	0	0
ASV.226	27	0	0	0	0	0	0	0
ASV.227	27	0	0	0	0	0	0	0
ASV.228	0	27	0	0	0	0	0	0
ASV.229	0	0	11	12	0	0	0	4
ASV.230	0	0	0	0	5	0	19	3
ASV.231	0	26	0	0	0	0	0	0
ASV.234	0	0	0	25	0	0	0	0
ASV.235	0	0	0	0	3	2	14	6
ASV.236	0	0	0	0	13	0	12	0
ASV.237	0	0	0	0	4	6	9	6
ASV.238	24	0	0	0	0	0	0	0
ASV.239	24	0	0	0	0	0	0	0
ASV.240	24	0	0	0	0	0	0	0
ASV.241	0	0	0	0	0	6	18	0
ASV.242	0	0	0	0	0	0	24	0
ASV.243	23	0	0	0	0	0	0	0
ASV.244	23	0	0	0	0	0	0	0
ASV.245	0	4	7	0	0	6	0	6
ASV.247	0	0	0	0	0	0	23	0
ASV.248	22	0	0	0	0	0	0	0
ASV.249	22	0	0	0	0	0	0	0
ASV.250	22	0	0	0	0	0	0	0
ASV.251	0	6	8	8	0	0	0	0
ASV.252	0	0	0	22	0	0	0	0
ASV.254	0	0	0	0	0	0	0	22
ASV.255	21	0	0	0	0	0	0	0
ASV.256	0	0	0	21	0	0	0	0
ASV.257	0	0	0	0	4	11	6	0
ASV.258	0	0	0	0	0	3	13	5
ASV.259	0	0	0	0	0	0	15	6
ASV.260	0	0	0	0	0	0	21	0
ASV.261	20	0	0	0	0	0	0	0
ASV.262	20	0	0	0	0	0	0	0
ASV.263	0	10	10	0	0	0	0	0
ASV.264	0	8	7	5	0	0	0	0
ASV.265	0	11	0	9	0	0	0	0
ASV.266	0	0	11	9	0	0	0	0
ASV.267	0	0	20	0	0	0	0	0
ASV.268	0	0	20	0	0	0	0	0
ASV.269	0	0	0	0	6	0	10	4
ASV.270	0	0	0	0	0	4	10	6
ASV.271	0	0	0	0	0	0	6	14
ASV.272	0	0	0	0	0	0	0	20
ASV.273	0	0	0	0	0	0	0	20
ASV.274	19	0	0	0	0	0	0	0
ASV.276	19	0	0	0	0	0	0	0
ASV.277	0	8	3	8	0	0	0	0
ASV.278	0	0	19	0	0	0	0	0
ASV.279	0	0	7	6	0	0	2	4
ASV.280	0	0	0	0	3	0	4	12
ASV.281	0	0	0	0	0	19	0	0
ASV.282	0	0	0	0	0	12	7	0
ASV.283	0	0	0	0	0	0	8	11
ASV.284	0	0	0	0	0	0	17	2
ASV.285	0	0	0	0	0	0	0	19
ASV.287	18	0	0	0	0	0	0	0
ASV.289	0	5	10	3	0	0	0	0
ASV.290	0	0	0	18	0	0	0	0
ASV.291	0	0	0	0	8	0	0	10
ASV.292	0	0	0	0	7	0	11	0
ASV.293	0	0	0	0	4	0	2	12
ASV.294	0	0	0	0	7	0	11	0
ASV.295	0	0	0	0	0	7	11	0
ASV.296	0	0	0	0	0	3	15	0
ASV.297	0	0	0	0	0	18	0	0
ASV.298	0	0	0	0	0	0	9	9
ASV.299	17	0	0	0	0	0	0	0
ASV.300	17	0	0	0	0	0	0	0
ASV.301	17	0	0	0	0	0	0	0
ASV.304	0	0	4	0	5	0	8	0
ASV.305	0	0	5	0	8	0	4	0
ASV.306	0	0	0	0	17	0	0	0
ASV.307	0	0	0	0	4	0	8	5
ASV.308	0	0	0	0	6	0	5	6
ASV.309	0	0	0	0	0	5	7	5
ASV.310	0	0	0	0	0	0	11	6
ASV.311	16	0	0	0	0	0	0	0
ASV.312	16	0	0	0	0	0	0	0
ASV.313	16	0	0	0	0	0	0	0
ASV.315	16	0	0	0	0	0	0	0
ASV.316	0	8	8	0	0	0	0	0
ASV.317	0	0	10	6	0	0	0	0
ASV.318	0	0	0	0	0	0	16	0
ASV.320	0	0	0	0	0	0	4	12
ASV.321	0	0	0	0	0	0	0	16
ASV.322	15	0	0	0	0	0	0	0
ASV.323	15	0	0	0	0	0	0	0
ASV.324	15	0	0	0	0	0	0	0
ASV.325	15	0	0	0	0	0	0	0
ASV.328	15	0	0	0	0	0	0	0
ASV.329	15	0	0	0	0	0	0	0
ASV.330	0	0	0	15	0	0	0	0
ASV.331	0	0	0	0	0	5	0	10
ASV.333	14	0	0	0	0	0	0	0
ASV.334	0	2	3	3	0	0	0	6
ASV.335	0	0	0	0	14	0	0	0
ASV.336	0	0	0	0	0	7	0	7
ASV.337	0	0	0	0	0	6	8	0
ASV.339	0	0	0	0	0	0	14	0
ASV.341	0	0	0	0	0	0	8	6
ASV.342	0	0	0	0	0	0	14	0
ASV.343	0	0	0	0	0	0	14	0
ASV.345	0	0	0	0	0	0	0	14
ASV.347	13	0	0	0	0	0	0	0
ASV.348	13	0	0	0	0	0	0	0
ASV.349	13	0	0	0	0	0	0	0
ASV.350	0	13	0	0	0	0	0	0
ASV.351	0	0	13	0	0	0	0	0
ASV.352	0	0	13	0	0	0	0	0
ASV.353	0	0	0	13	0	0	0	0
ASV.354	0	0	0	0	3	0	5	5
ASV.356	0	0	0	0	0	13	0	0
ASV.357	0	0	0	0	0	0	6	7
ASV.360	0	0	0	0	0	0	0	13
ASV.361	12	0	0	0	0	0	0	0
ASV.362	12	0	0	0	0	0	0	0
ASV.363	12	0	0	0	0	0	0	0
ASV.364	12	0	0	0	0	0	0	0
ASV.365	12	0	0	0	0	0	0	0
ASV.369	0	12	0	0	0	0	0	0
ASV.370	0	7	0	5	0	0	0	0
ASV.371	0	3	9	0	0	0	0	0
ASV.372	0	3	0	9	0	0	0	0
ASV.375	0	0	0	0	0	12	0	0
ASV.376	0	0	0	0	0	12	0	0
ASV.377	0	0	0	0	0	4	3	5
ASV.378	0	0	0	0	0	12	0	0
ASV.379	0	0	0	0	0	12	0	0
ASV.380	0	0	0	0	0	0	9	3
ASV.381	0	0	0	0	0	0	8	4
ASV.382	0	0	0	0	0	0	6	6
ASV.383	0	0	0	0	0	0	0	12
ASV.384	0	0	0	0	0	0	0	12
ASV.385	0	0	0	0	0	0	0	12
ASV.386	0	0	0	0	0	0	0	12
ASV.390	11	0	0	0	0	0	0	0
ASV.391	11	0	0	0	0	0	0	0
ASV.393	11	0	0	0	0	0	0	0
ASV.394	11	0	0	0	0	0	0	0
ASV.395	0	11	0	0	0	0	0	0
ASV.396	0	11	0	0	0	0	0	0
ASV.397	0	8	3	0	0	0	0	0
ASV.398	0	5	0	6	0	0	0	0
ASV.399	0	0	2	0	5	0	4	0
ASV.400	0	0	11	0	0	0	0	0
ASV.401	0	0	11	0	0	0	0	0
ASV.402	0	0	0	11	0	0	0	0
ASV.403	0	0	0	11	0	0	0	0
ASV.404	0	0	0	11	0	0	0	0
ASV.405	0	0	0	0	11	0	0	0
ASV.406	0	0	0	0	0	11	0	0
ASV.407	0	0	0	0	0	3	3	5
ASV.408	0	0	0	0	0	5	6	0
ASV.409	0	0	0	0	0	0	11	0
ASV.410	0	0	0	0	0	0	9	2
ASV.411	0	0	0	0	0	0	3	8
ASV.412	0	0	0	0	0	0	8	3
ASV.413	0	0	0	0	0	0	11	0
ASV.414	0	0	0	0	0	0	0	11
ASV.415	10	0	0	0	0	0	0	0
ASV.416	10	0	0	0	0	0	0	0
ASV.417	10	0	0	0	0	0	0	0
ASV.420	10	0	0	0	0	0	0	0
ASV.422	10	0	0	0	0	0	0	0
ASV.424	10	0	0	0	0	0	0	0
ASV.426	0	10	0	0	0	0	0	0
ASV.427	0	3	7	0	0	0	0	0
ASV.428	0	0	10	0	0	0	0	0
ASV.429	0	0	4	6	0	0	0	0
ASV.431	0	0	0	10	0	0	0	0
ASV.432	0	0	0	10	0	0	0	0
ASV.433	0	0	0	8	0	2	0	0
ASV.434	0	0	0	0	5	0	5	0
ASV.435	0	0	0	0	10	0	0	0
ASV.436	0	0	0	0	3	7	0	0
ASV.437	0	0	0	0	0	4	6	0
ASV.438	0	0	0	0	0	10	0	0
ASV.439	0	0	0	0	0	4	6	0
ASV.440	0	0	0	0	0	6	0	4
ASV.441	0	0	0	0	0	8	2	0
ASV.442	0	0	0	0	0	10	0	0
ASV.443	0	0	0	0	0	0	10	0
ASV.445	0	0	0	0	0	0	10	0
ASV.446	0	0	0	0	0	0	0	10
ASV.447	0	0	0	0	0	0	0	10
ASV.449	0	0	0	0	0	0	0	10
ASV.450	9	0	0	0	0	0	0	0
ASV.451	9	0	0	0	0	0	0	0
ASV.452	9	0	0	0	0	0	0	0
ASV.453	9	0	0	0	0	0	0	0
ASV.455	9	0	0	0	0	0	0	0
ASV.456	9	0	0	0	0	0	0	0
ASV.457	9	0	0	0	0	0	0	0
ASV.459	9	0	0	0	0	0	0	0
ASV.460	9	0	0	0	0	0	0	0
ASV.461	9	0	0	0	0	0	0	0
ASV.462	9	0	0	0	0	0	0	0
ASV.463	9	0	0	0	0	0	0	0
ASV.465	9	0	0	0	0	0	0	0
ASV.466	0	9	0	0	0	0	0	0
ASV.467	0	5	4	0	0	0	0	0
ASV.468	0	3	0	6	0	0	0	0
ASV.469	0	9	0	0	0	0	0	0
ASV.470	0	0	9	0	0	0	0	0
ASV.471	0	0	9	0	0	0	0	0
ASV.472	0	0	4	5	0	0	0	0
ASV.474	0	0	9	0	0	0	0	0
ASV.475	0	0	0	9	0	0	0	0
ASV.476	0	0	0	9	0	0	0	0
ASV.477	0	0	0	9	0	0	0	0
ASV.479	0	0	0	0	0	9	0	0
ASV.480	0	0	0	0	0	6	0	3
ASV.481	0	0	0	0	0	9	0	0
ASV.482	0	0	0	0	0	9	0	0
ASV.483	0	0	0	0	0	5	0	4
ASV.485	0	0	0	0	0	0	9	0
ASV.486	0	0	0	0	0	0	9	0
ASV.487	0	0	0	0	0	0	0	9
ASV.488	0	0	0	0	0	0	0	9
ASV.489	0	0	0	0	0	0	0	9
ASV.491	8	0	0	0	0	0	0	0
ASV.492	8	0	0	0	0	0	0	0
ASV.493	8	0	0	0	0	0	0	0
ASV.495	8	0	0	0	0	0	0	0
ASV.496	8	0	0	0	0	0	0	0
ASV.497	8	0	0	0	0	0	0	0
ASV.498	8	0	0	0	0	0	0	0
ASV.500	8	0	0	0	0	0	0	0
ASV.501	8	0	0	0	0	0	0	0
ASV.502	8	0	0	0	0	0	0	0
ASV.503	8	0	0	0	0	0	0	0
ASV.505	8	0	0	0	0	0	0	0
ASV.506	8	0	0	0	0	0	0	0
ASV.508	8	0	0	0	0	0	0	0
ASV.509	8	0	0	0	0	0	0	0
ASV.510	8	0	0	0	0	0	0	0
ASV.511	0	8	0	0	0	0	0	0
ASV.512	0	3	0	0	0	0	5	0
ASV.513	0	0	8	0	0	0	0	0
ASV.514	0	0	5	3	0	0	0	0
ASV.515	0	0	8	0	0	0	0	0
ASV.517	0	0	0	8	0	0	0	0
ASV.519	0	0	0	8	0	0	0	0
ASV.521	0	0	0	0	2	0	2	4
ASV.523	0	0	0	0	0	8	0	0
ASV.524	0	0	0	0	0	8	0	0
ASV.525	0	0	0	0	0	2	0	6
ASV.526	0	0	0	0	0	8	0	0
ASV.527	0	0	0	0	0	8	0	0
ASV.528	0	0	0	0	0	8	0	0
ASV.529	0	0	0	0	0	8	0	0
ASV.531	0	0	0	0	0	0	8	0
ASV.532	0	0	0	0	0	0	0	8
ASV.533	7	0	0	0	0	0	0	0
ASV.534	7	0	0	0	0	0	0	0
ASV.535	7	0	0	0	0	0	0	0
ASV.536	7	0	0	0	0	0	0	0
ASV.537	7	0	0	0	0	0	0	0
ASV.538	7	0	0	0	0	0	0	0
ASV.539	7	0	0	0	0	0	0	0
ASV.541	7	0	0	0	0	0	0	0
ASV.542	7	0	0	0	0	0	0	0
ASV.543	7	0	0	0	0	0	0	0
ASV.548	7	0	0	0	0	0	0	0
ASV.550	7	0	0	0	0	0	0	0
ASV.551	7	0	0	0	0	0	0	0
ASV.552	7	0	0	0	0	0	0	0
ASV.553	0	3	4	0	0	0	0	0
ASV.554	0	3	4	0	0	0	0	0
ASV.555	0	7	0	0	0	0	0	0
ASV.556	0	0	4	0	0	0	0	3
ASV.558	0	0	7	0	0	0	0	0
ASV.559	0	0	7	0	0	0	0	0
ASV.560	0	0	7	0	0	0	0	0
ASV.561	0	0	3	0	0	4	0	0
ASV.562	0	0	0	7	0	0	0	0
ASV.563	0	0	0	7	0	0	0	0
ASV.564	0	0	0	3	0	0	4	0
ASV.565	0	0	0	4	0	0	3	0
ASV.567	0	0	0	0	7	0	0	0
ASV.568	0	0	0	0	5	0	2	0
ASV.569	0	0	0	0	7	0	0	0
ASV.570	0	0	0	0	7	0	0	0
ASV.571	0	0	0	0	7	0	0	0
ASV.572	0	0	0	0	3	4	0	0
ASV.573	0	0	0	0	3	0	4	0
ASV.574	0	0	0	0	0	7	0	0
ASV.575	0	0	0	0	0	7	0	0
ASV.576	0	0	0	0	0	7	0	0
ASV.577	0	0	0	0	0	7	0	0
ASV.579	0	0	0	0	0	7	0	0
ASV.580	0	0	0	0	0	7	0	0
ASV.582	0	0	0	0	0	7	0	0
ASV.583	0	0	0	0	0	7	0	0
ASV.584	0	0	0	0	0	7	0	0
ASV.586	0	0	0	0	0	7	0	0
ASV.588	0	0	0	0	0	0	7	0
ASV.589	0	0	0	0	0	0	7	0
ASV.590	0	0	0	0	0	0	7	0
ASV.591	0	0	0	0	0	0	7	0
ASV.592	0	0	0	0	0	0	3	4
ASV.593	0	0	0	0	0	0	7	0
ASV.595	0	0	0	0	0	0	0	7
ASV.596	0	0	0	0	0	0	0	7
ASV.597	0	0	0	0	0	0	0	7
ASV.598	0	0	0	0	0	0	0	7
ASV.599	0	0	0	0	0	0	0	7
ASV.600	0	0	0	0	0	0	0	7
ASV.601	0	0	0	0	0	0	0	7
ASV.602	0	0	0	0	0	0	0	7
ASV.603	0	0	0	0	0	0	0	7
ASV.604	0	0	0	0	0	0	0	7
ASV.605	0	0	0	0	0	0	0	7
ASV.606	0	0	0	0	0	0	0	7
ASV.608	6	0	0	0	0	0	0	0
ASV.610	6	0	0	0	0	0	0	0
ASV.612	6	0	0	0	0	0	0	0
ASV.613	6	0	0	0	0	0	0	0
ASV.614	6	0	0	0	0	0	0	0
ASV.617	6	0	0	0	0	0	0	0
ASV.618	6	0	0	0	0	0	0	0
ASV.620	6	0	0	0	0	0	0	0
ASV.621	6	0	0	0	0	0	0	0
ASV.624	6	0	0	0	0	0	0	0
ASV.625	6	0	0	0	0	0	0	0
ASV.626	6	0	0	0	0	0	0	0
ASV.628	6	0	0	0	0	0	0	0
ASV.630	6	0	0	0	0	0	0	0
ASV.631	6	0	0	0	0	0	0	0
ASV.634	6	0	0	0	0	0	0	0
ASV.636	6	0	0	0	0	0	0	0
ASV.637	6	0	0	0	0	0	0	0
ASV.638	6	0	0	0	0	0	0	0
ASV.642	0	6	0	0	0	0	0	0
ASV.643	0	0	2	0	4	0	0	0
ASV.644	0	0	6	0	0	0	0	0
ASV.646	0	0	6	0	0	0	0	0
ASV.647	0	0	6	0	0	0	0	0
ASV.648	0	0	6	0	0	0	0	0
ASV.649	0	0	6	0	0	0	0	0
ASV.650	0	0	6	0	0	0	0	0
ASV.651	0	0	2	0	0	0	0	4
ASV.652	0	0	6	0	0	0	0	0
ASV.653	0	0	0	6	0	0	0	0
ASV.654	0	0	0	6	0	0	0	0
ASV.655	0	0	0	6	0	0	0	0
ASV.656	0	0	0	6	0	0	0	0
ASV.657	0	0	0	6	0	0	0	0
ASV.658	0	0	0	6	0	0	0	0
ASV.659	0	0	0	6	0	0	0	0
ASV.660	0	0	0	6	0	0	0	0
ASV.661	0	0	0	6	0	0	0	0
ASV.662	0	0	0	6	0	0	0	0
ASV.663	0	0	0	0	6	0	0	0
ASV.664	0	0	0	0	3	0	3	0
ASV.665	0	0	0	0	6	0	0	0
ASV.666	0	0	0	0	6	0	0	0
ASV.667	0	0	0	0	6	0	0	0
ASV.668	0	0	0	0	6	0	0	0
ASV.669	0	0	0	0	6	0	0	0
ASV.670	0	0	0	0	6	0	0	0
ASV.671	0	0	0	0	6	0	0	0
ASV.672	0	0	0	0	0	6	0	0
ASV.673	0	0	0	0	0	6	0	0
ASV.674	0	0	0	0	0	6	0	0
ASV.676	0	0	0	0	0	6	0	0
ASV.677	0	0	0	0	0	6	0	0
ASV.679	0	0	0	0	0	6	0	0
ASV.680	0	0	0	0	0	6	0	0
ASV.681	0	0	0	0	0	0	6	0
ASV.682	0	0	0	0	0	0	6	0
ASV.683	0	0	0	0	0	0	6	0
ASV.684	0	0	0	0	0	0	6	0
ASV.685	0	0	0	0	0	0	6	0
ASV.686	0	0	0	0	0	0	6	0
ASV.687	0	0	0	0	0	0	6	0
ASV.688	0	0	0	0	0	0	6	0
ASV.689	0	0	0	0	0	0	0	6
ASV.690	0	0	0	0	0	0	0	6
ASV.691	0	0	0	0	0	0	0	6
ASV.692	0	0	0	0	0	0	0	6
ASV.694	0	0	0	0	0	0	0	6
ASV.695	0	0	0	0	0	0	0	6
ASV.696	0	0	0	0	0	0	0	6
ASV.698	0	0	0	0	0	0	0	6
ASV.699	5	0	0	0	0	0	0	0
ASV.700	5	0	0	0	0	0	0	0
ASV.703	5	0	0	0	0	0	0	0
ASV.704	5	0	0	0	0	0	0	0
ASV.707	5	0	0	0	0	0	0	0
ASV.709	5	0	0	0	0	0	0	0
ASV.710	5	0	0	0	0	0	0	0
ASV.712	5	0	0	0	0	0	0	0
ASV.714	5	0	0	0	0	0	0	0
ASV.715	5	0	0	0	0	0	0	0
ASV.718	5	0	0	0	0	0	0	0
ASV.719	5	0	0	0	0	0	0	0
ASV.721	5	0	0	0	0	0	0	0
ASV.722	5	0	0	0	0	0	0	0
ASV.724	5	0	0	0	0	0	0	0
ASV.726	5	0	0	0	0	0	0	0
ASV.727	5	0	0	0	0	0	0	0
ASV.728	5	0	0	0	0	0	0	0
ASV.730	5	0	0	0	0	0	0	0
ASV.731	5	0	0	0	0	0	0	0
ASV.732	5	0	0	0	0	0	0	0
ASV.733	5	0	0	0	0	0	0	0
ASV.734	5	0	0	0	0	0	0	0
ASV.735	5	0	0	0	0	0	0	0
ASV.736	5	0	0	0	0	0	0	0
ASV.737	5	0	0	0	0	0	0	0
ASV.738	5	0	0	0	0	0	0	0
ASV.739	5	0	0	0	0	0	0	0
ASV.740	5	0	0	0	0	0	0	0
ASV.741	5	0	0	0	0	0	0	0
ASV.742	5	0	0	0	0	0	0	0
ASV.744	5	0	0	0	0	0	0	0
ASV.745	5	0	0	0	0	0	0	0
ASV.746	5	0	0	0	0	0	0	0
ASV.748	0	5	0	0	0	0	0	0
ASV.749	0	5	0	0	0	0	0	0
ASV.751	0	5	0	0	0	0	0	0
ASV.754	0	0	5	0	0	0	0	0
ASV.756	0	0	5	0	0	0	0	0
ASV.757	0	0	5	0	0	0	0	0
ASV.758	0	0	5	0	0	0	0	0
ASV.759	0	0	5	0	0	0	0	0
ASV.760	0	0	5	0	0	0	0	0
ASV.761	0	0	5	0	0	0	0	0
ASV.762	0	0	5	0	0	0	0	0
ASV.763	0	0	0	5	0	0	0	0
ASV.765	0	0	0	5	0	0	0	0
ASV.766	0	0	0	5	0	0	0	0
ASV.768	0	0	0	5	0	0	0	0
ASV.770	0	0	0	5	0	0	0	0
ASV.771	0	0	0	5	0	0	0	0
