asvLen	totReads	numSamps
ASV.1	325	229250	8
ASV.2	325	25211	7
ASV.3	328	11764	5
ASV.4	328	3528	2
ASV.6	328	2914	4
ASV.10	148	1803	5
ASV.11	21	1680	7
ASV.12	328	1581	5
ASV.13	109	1549	4
ASV.14	118	1200	4
ASV.15	66	952	7
ASV.16	282	924	4
ASV.17	139	904	2
ASV.18	262	881	4
ASV.19	109	847	4
ASV.20	149	818	7
ASV.21	93	786	7
ASV.22	109	785	7
ASV.23	42	772	4
ASV.24	322	764	5
ASV.25	59	756	3
ASV.26	328	710	2
ASV.27	31	699	1
ASV.28	325	621	3
ASV.29	76	620	5
ASV.30	322	517	4
ASV.31	22	508	4
ASV.32	328	504	1
ASV.35	282	483	3
ASV.36	181	475	4
ASV.37	262	466	4
ASV.39	65	443	7
ASV.41	164	401	4
ASV.42	164	367	4
ASV.43	91	311	3
ASV.44	54	295	7
ASV.45	328	267	2
ASV.46	30	261	1
ASV.47	325	260	1
ASV.48	167	249	4
ASV.49	70	245	6
ASV.50	113	239	7
ASV.51	153	228	5
ASV.52	196	220	4
ASV.53	121	194	7
ASV.55	80	185	4
ASV.56	248	182	3
ASV.57	97	176	1
ASV.58	54	170	3
ASV.61	61	158	6
ASV.62	164	151	3
ASV.63	262	150	3
ASV.64	340	149	3
ASV.65	63	148	4
ASV.66	77	145	4
ASV.67	91	145	4
ASV.68	282	143	1
ASV.70	91	136	2
ASV.71	328	135	1
ASV.72	153	132	2
ASV.74	59	122	3
ASV.75	70	122	4
ASV.76	91	120	4
ASV.77	47	119	1
ASV.78	184	119	4
ASV.79	255	118	2
ASV.80	77	114	3
ASV.81	156	109	1
ASV.82	282	108	1
ASV.83	105	107	4
ASV.84	152	106	1
ASV.85	123	106	7
ASV.86	238	105	1
ASV.88	100	104	4
ASV.90	131	99	5
ASV.92	76	95	4
ASV.93	328	93	1
ASV.94	67	88	1
ASV.95	328	87	1
ASV.96	82	87	2
ASV.97	41	86	3
ASV.98	64	85	3
ASV.99	56	85	3
ASV.100	60	83	4
ASV.101	282	80	1
ASV.103	321	79	1
ASV.104	87	78	3
ASV.105	152	76	1
ASV.107	133	74	1
ASV.108	223	72	3
ASV.109	328	72	1
ASV.110	262	70	1
ASV.111	87	70	2
ASV.112	80	70	3
ASV.113	328	70	1
ASV.114	39	68	1
ASV.115	322	68	1
ASV.116	44	66	1
ASV.117	138	66	2
ASV.118	215	64	3
ASV.119	104	63	5
ASV.120	255	61	1
ASV.121	145	61	1
ASV.122	251	61	2
ASV.124	164	61	1
ASV.125	137	59	4
ASV.126	149	58	3
ASV.127	54	57	1
ASV.128	328	57	1
ASV.130	126	56	4
ASV.131	64	55	1
ASV.133	104	55	4
ASV.134	156	54	1
ASV.135	117	54	1
ASV.136	211	54	1
ASV.137	88	54	4
ASV.138	58	54	1
ASV.139	137	53	3
ASV.140	161	53	3
ASV.141	51	53	3
ASV.142	31	52	3
ASV.143	83	52	1
ASV.144	54	51	1
ASV.145	88	50	3
ASV.146	377	50	1
ASV.147	106	49	3
ASV.148	145	48	1
ASV.149	131	48	2
ASV.151	71	47	4
ASV.152	377	47	1
ASV.154	139	46	4
ASV.156	273	43	1
ASV.157	164	43	1
ASV.158	168	42	1
ASV.159	154	42	3
ASV.162	107	41	3
ASV.163	45	40	4
ASV.164	89	40	3
ASV.165	46	40	4
ASV.166	83	40	3
ASV.167	119	40	3
ASV.168	65	39	3
ASV.169	377	38	1
ASV.170	32	37	1
ASV.171	131	37	3
ASV.172	192	37	2
ASV.174	310	37	2
ASV.177	70	36	1
ASV.178	275	36	2
ASV.179	51	36	2
ASV.180	75	36	2
ASV.181	44	35	1
ASV.183	77	35	1
ASV.184	40	35	3
ASV.185	164	35	1
ASV.186	80	34	4
ASV.187	39	34	1
ASV.188	87	34	3
ASV.189	225	34	1
ASV.190	164	34	2
ASV.191	39	33	1
ASV.192	335	33	1
ASV.193	65	33	2
ASV.195	55	32	1
ASV.196	75	32	1
ASV.197	67	32	1
ASV.198	136	32	3
ASV.199	70	32	4
ASV.200	296	32	1
ASV.201	266	31	1
ASV.202	84	31	2
ASV.203	111	31	1
ASV.204	316	31	1
ASV.205	94	31	2
ASV.207	110	30	1
ASV.208	59	30	4
ASV.209	255	30	1
ASV.210	54	29	1
ASV.211	37	29	1
ASV.212	109	29	3
ASV.213	328	29	1
ASV.214	88	29	3
ASV.215	158	29	2
ASV.216	157	29	1
ASV.217	199	29	1
ASV.218	158	29	1
ASV.220	97	28	2
ASV.221	165	28	3
ASV.222	59	28	2
ASV.223	79	28	4
ASV.225	55	27	1
ASV.226	156	27	1
ASV.227	196	27	1
ASV.228	201	27	1
ASV.229	55	27	3
ASV.230	107	27	3
ASV.231	164	26	1
ASV.234	196	25	1
ASV.235	50	25	4
ASV.236	295	25	2
ASV.237	88	25	4
ASV.238	110	24	1
ASV.239	330	24	1
ASV.240	43	24	1
ASV.241	88	24	2
ASV.242	60	24	1
ASV.243	35	23	1
ASV.244	111	23	1
ASV.245	119	23	4
ASV.247	111	23	1
ASV.248	108	22	1
ASV.249	73	22	1
ASV.250	222	22	1
ASV.251	67	22	3
ASV.252	111	22	1
ASV.254	214	22	1
ASV.255	44	21	1
ASV.256	201	21	1
ASV.257	37	21	3
ASV.258	54	21	3
ASV.259	98	21	2
ASV.260	111	21	1
ASV.261	190	20	1
ASV.262	67	20	1
ASV.263	195	20	2
ASV.264	142	20	3
ASV.265	198	20	2
ASV.266	112	20	2
ASV.267	74	20	1
ASV.268	45	20	1
ASV.269	110	20	3
ASV.270	89	20	3
ASV.271	42	20	2
ASV.272	54	20	1
ASV.273	79	20	1
ASV.274	37	19	1
ASV.276	117	19	1
ASV.277	159	19	3
ASV.278	322	19	1
ASV.279	82	19	4
ASV.280	125	19	3
ASV.281	61	19	1
ASV.282	88	19	2
ASV.283	124	19	2
ASV.284	45	19	2
ASV.285	88	19	1
ASV.287	160	18	1
ASV.289	43	18	3
ASV.290	322	18	1
ASV.291	164	18	2
ASV.292	61	18	2
ASV.293	91	18	3
ASV.294	93	18	2
ASV.295	164	18	2
ASV.296	61	18	2
ASV.297	56	18	1
ASV.298	118	18	2
ASV.299	61	17	1
ASV.300	65	17	1
ASV.301	187	17	1
ASV.304	34	17	3
ASV.305	40	17	3
ASV.306	214	17	1
ASV.307	111	17	3
ASV.308	88	17	3
ASV.309	87	17	3
ASV.310	191	17	2
ASV.311	151	16	1
ASV.312	156	16	1
ASV.313	219	16	1
ASV.315	118	16	1
ASV.316	188	16	2
ASV.317	108	16	2
ASV.318	118	16	1
ASV.320	71	16	2
ASV.321	270	16	1
ASV.322	39	15	1
ASV.323	82	15	1
ASV.324	69	15	1
ASV.325	53	15	1
ASV.328	67	15	1
ASV.329	371	15	1
ASV.330	65	15	1
ASV.331	158	15	2
ASV.333	72	14	1
ASV.334	76	14	4
ASV.335	190	14	1
ASV.336	106	14	2
ASV.337	65	14	2
ASV.339	36	14	1
ASV.341	133	14	2
ASV.342	46	14	1
ASV.343	177	14	1
ASV.345	40	14	1
ASV.347	37	13	1
ASV.348	89	13	1
ASV.349	223	13	1
ASV.350	218	13	1
ASV.351	51	13	1
ASV.352	61	13	1
ASV.353	92	13	1
ASV.354	83	13	3
ASV.356	126	13	1
ASV.357	72	13	2
ASV.360	45	13	1
ASV.361	112	12	1
ASV.362	166	12	1
ASV.363	175	12	1
ASV.364	70	12	1
ASV.365	133	12	1
ASV.369	167	12	1
ASV.370	67	12	2
ASV.371	66	12	2
ASV.372	91	12	2
ASV.375	40	12	1
ASV.376	77	12	1
ASV.377	127	12	3
ASV.378	54	12	1
ASV.379	58	12	1
ASV.380	109	12	2
ASV.381	149	12	2
ASV.382	112	12	2
ASV.383	370	12	1
ASV.384	118	12	1
ASV.385	269	12	1
ASV.386	269	12	1
ASV.390	155	11	1
ASV.391	190	11	1
ASV.393	49	11	1
ASV.394	144	11	1
ASV.395	127	11	1
ASV.396	59	11	1
ASV.397	155	11	2
ASV.398	283	11	2
ASV.399	68	11	3
ASV.400	137	11	1
ASV.401	113	11	1
ASV.402	255	11	1
ASV.403	107	11	1
ASV.404	179	11	1
ASV.405	118	11	1
ASV.406	131	11	1
ASV.407	100	11	3
ASV.408	38	11	2
ASV.409	76	11	1
ASV.410	89	11	2
ASV.411	37	11	2
ASV.412	139	11	2
ASV.413	246	11	1
ASV.414	111	11	1
ASV.415	397	10	1
ASV.416	331	10	1
ASV.417	54	10	1
ASV.420	37	10	1
ASV.422	69	10	1
ASV.424	110	10	1
ASV.426	127	10	1
ASV.427	108	10	2
ASV.428	137	10	1
ASV.429	44	10	2
ASV.431	244	10	1
ASV.432	83	10	1
ASV.433	157	10	2
ASV.434	84	10	2
ASV.435	88	10	1
ASV.436	56	10	2
ASV.437	71	10	2
ASV.438	46	10	1
ASV.439	65	10	2
ASV.440	48	10	2
ASV.441	134	10	2
ASV.442	170	10	1
ASV.443	222	10	1
ASV.445	80	10	1
ASV.446	167	10	1
ASV.447	139	10	1
ASV.449	178	10	1
ASV.450	35	9	1
ASV.451	235	9	1
ASV.452	69	9	1
ASV.453	79	9	1
ASV.455	55	9	1
ASV.456	52	9	1
ASV.457	183	9	1
ASV.459	316	9	1
ASV.460	40	9	1
ASV.461	50	9	1
ASV.462	37	9	1
ASV.463	70	9	1
ASV.465	64	9	1
ASV.466	42	9	1
ASV.467	40	9	2
ASV.468	43	9	2
ASV.469	82	9	1
ASV.470	127	9	1
ASV.471	78	9	1
ASV.472	55	9	2
ASV.474	157	9	1
ASV.475	116	9	1
ASV.476	62	9	1
ASV.477	106	9	1
ASV.479	101	9	1
ASV.480	160	9	2
ASV.481	70	9	1
ASV.482	129	9	1
ASV.483	72	9	2
ASV.485	43	9	1
ASV.486	186	9	1
ASV.487	77	9	1
ASV.488	157	9	1
ASV.489	84	9	1
ASV.491	48	8	1
ASV.492	61	8	1
ASV.493	67	8	1
ASV.495	129	8	1
ASV.496	62	8	1
ASV.497	94	8	1
ASV.498	134	8	1
ASV.500	232	8	1
