SRR13612846	SRR13612847	SRR13612848
ASV.1	24270	19349	19967
ASV.2	10760	7746	8180
ASV.3	1022	3364	3249
ASV.8	175	600	541
ASV.9	110	559	406
ASV.10	150	324	331
ASV.11	649	0	50
ASV.12	40	297	279
ASV.13	54	284	226
ASV.14	492	12	0
ASV.15	55	200	222
ASV.16	39	278	159
ASV.18	0	237	185
ASV.19	0	189	166
ASV.21	27	171	112
ASV.23	44	120	128
ASV.24	284	0	0
ASV.25	231	0	21
ASV.26	28	81	87
ASV.27	36	85	69
ASV.28	0	99	71
ASV.29	0	0	149
ASV.30	141	0	0
ASV.31	17	73	50
ASV.32	50	0	82
ASV.33	0	127	0
ASV.34	0	0	126
ASV.35	0	63	58
ASV.36	0	73	45
ASV.37	0	116	0
ASV.39	0	107	0
ASV.40	0	49	57
ASV.41	94	0	10
ASV.42	15	66	23
ASV.43	0	40	62
ASV.44	0	100	0
ASV.45	21	0	73
ASV.46	93	0	0
ASV.47	0	93	0
ASV.48	0	60	29
ASV.49	0	0	89
ASV.50	0	84	0
ASV.51	0	45	38
ASV.52	0	42	41
ASV.53	13	30	38
ASV.54	9	35	37
ASV.55	0	46	35
ASV.56	25	31	20
ASV.57	13	36	26
ASV.58	75	0	0
ASV.59	22	33	20
ASV.61	0	0	73
ASV.62	8	43	21
ASV.63	49	13	9
ASV.64	0	71	0
ASV.65	0	36	35
ASV.66	0	46	25
ASV.67	7	37	25
ASV.68	0	69	0
ASV.69	0	19	46
ASV.70	4	31	29
ASV.71	17	35	12
ASV.72	0	32	32
ASV.73	0	42	22
ASV.74	7	28	26
ASV.75	0	40	21
ASV.76	0	28	33
ASV.77	0	37	21
ASV.78	0	31	26
ASV.79	0	56	0
ASV.80	10	19	26
ASV.81	0	27	26
ASV.82	0	32	20
ASV.83	0	35	17
ASV.84	6	26	17
ASV.85	0	29	20
ASV.86	0	29	15
ASV.87	0	0	44
ASV.88	43	0	0
ASV.89	0	43	0
ASV.90	0	20	23
ASV.91	0	42	0
ASV.92	0	41	0
ASV.93	0	20	21
ASV.94	0	19	19
ASV.95	0	20	16
ASV.96	0	17	18
ASV.97	0	0	35
ASV.98	3	31	0
ASV.100	0	34	0
ASV.101	6	16	11
ASV.102	33	0	0
ASV.106	7	19	6
ASV.107	0	32	0
ASV.109	0	11	21
ASV.111	0	22	8
ASV.112	3	10	15
ASV.113	2	14	12
ASV.114	4	11	13
ASV.115	0	28	0
ASV.116	0	27	0
ASV.117	0	27	0
ASV.118	0	0	26
ASV.119	5	10	10
ASV.120	0	0	25
ASV.121	7	10	7
ASV.122	0	19	5
ASV.123	0	23	0
ASV.124	22	0	0
ASV.125	8	9	5
ASV.126	0	12	10
ASV.127	0	16	6
ASV.128	0	0	22
ASV.129	0	0	22
ASV.130	0	17	4
ASV.131	0	21	0
ASV.132	6	14	0
ASV.133	6	7	7
ASV.134	4	12	4
ASV.135	0	11	9
ASV.136	0	13	7
ASV.137	19	0	0
ASV.138	0	9	10
ASV.139	2	10	6
ASV.140	18	0	0
ASV.141	7	3	8
ASV.142	17	0	0
ASV.143	0	11	6
ASV.144	0	17	0
ASV.145	0	11	6
ASV.146	0	6	11
ASV.147	0	0	17
ASV.148	16	0	0
ASV.149	0	11	5
ASV.150	0	16	0
ASV.151	0	10	6
ASV.152	0	0	16
ASV.153	0	0	16
ASV.154	0	0	16
ASV.155	15	0	0
ASV.156	15	0	0
ASV.157	15	0	0
ASV.158	15	0	0
ASV.159	4	11	0
ASV.160	15	0	0
ASV.161	0	11	4
ASV.162	0	15	0
ASV.163	0	15	0
ASV.164	2	7	5
ASV.165	0	14	0
ASV.166	0	14	0
ASV.167	0	14	0
ASV.168	0	14	0
ASV.169	0	14	0
ASV.170	0	14	0
ASV.172	13	0	0
ASV.173	13	0	0
ASV.175	0	13	0
ASV.176	0	0	13
ASV.177	12	0	0
ASV.178	0	12	0
ASV.179	0	3	9
ASV.180	0	12	0
ASV.181	0	8	4
ASV.182	0	5	7
ASV.183	0	12	0
ASV.185	0	0	12
ASV.186	2	9	0
ASV.187	6	5	0
ASV.190	0	11	0
ASV.191	0	11	0
ASV.192	0	11	0
ASV.193	0	11	0
ASV.194	0	7	4
ASV.195	0	11	0
ASV.196	0	11	0
ASV.197	0	11	0
ASV.198	0	11	0
ASV.199	0	11	0
ASV.200	0	0	11
ASV.201	0	0	11
ASV.202	0	7	3
ASV.203	0	10	0
ASV.204	0	7	3
ASV.205	0	10	0
ASV.206	0	10	0
ASV.207	0	10	0
ASV.208	0	10	0
ASV.211	0	0	10
ASV.213	2	4	3
ASV.214	9	0	0
ASV.215	9	0	0
ASV.216	0	9	0
ASV.217	0	9	0
ASV.218	0	9	0
ASV.219	0	9	0
ASV.220	0	9	0
ASV.223	3	0	5
ASV.224	4	4	0
ASV.225	8	0	0
ASV.226	3	0	5
ASV.227	0	4	4
ASV.228	0	8	0
ASV.229	0	4	4
ASV.230	0	4	4
ASV.231	0	4	4
ASV.232	0	8	0
ASV.233	0	8	0
ASV.234	0	3	5
ASV.235	0	8	0
ASV.236	7	0	0
ASV.237	7	0	0
ASV.238	7	0	0
ASV.239	7	0	0
ASV.240	7	0	0
ASV.241	3	4	0
ASV.243	7	0	0
ASV.244	2	0	5
ASV.245	7	0	0
ASV.246	7	0	0
ASV.247	0	7	0
ASV.248	0	7	0
ASV.249	0	7	0
ASV.250	0	7	0
ASV.251	0	7	0
ASV.252	0	7	0
ASV.253	0	7	0
ASV.254	0	7	0
ASV.255	0	7	0
ASV.256	0	7	0
ASV.257	0	7	0
ASV.258	0	4	3
ASV.259	0	7	0
ASV.260	0	0	7
ASV.261	0	0	7
ASV.262	0	0	7
ASV.263	0	0	7
ASV.264	0	0	7
ASV.265	0	0	7
ASV.266	0	0	7
ASV.267	0	0	7
ASV.268	0	0	7
ASV.269	6	0	0
ASV.271	2	4	0
ASV.272	0	6	0
ASV.273	0	6	0
ASV.274	0	6	0
ASV.275	0	6	0
ASV.276	0	6	0
ASV.278	0	6	0
ASV.279	0	6	0
ASV.280	0	6	0
ASV.281	0	6	0
ASV.282	0	6	0
ASV.283	0	6	0
ASV.284	0	6	0
ASV.285	0	6	0
ASV.286	0	6	0
ASV.287	0	3	3
ASV.288	0	6	0
ASV.289	0	6	0
ASV.290	0	6	0
ASV.291	0	6	0
ASV.292	0	6	0
ASV.293	0	0	6
ASV.294	0	0	6
ASV.295	0	0	6
ASV.296	0	0	6
ASV.297	0	0	6
ASV.298	0	0	6
ASV.299	0	0	6
ASV.300	0	0	6
ASV.301	0	0	6
ASV.302	0	0	6
ASV.303	0	0	6
ASV.304	0	0	6
ASV.306	0	0	6
ASV.307	5	0	0
ASV.308	5	0	0
ASV.309	5	0	0
ASV.310	5	0	0
ASV.311	5	0	0
ASV.312	5	0	0
ASV.313	0	5	0
ASV.314	0	5	0
ASV.315	0	5	0
ASV.316	0	5	0
ASV.317	0	5	0
ASV.318	0	3	2
ASV.319	0	5	0
ASV.320	0	5	0
ASV.321	0	5	0
ASV.322	0	5	0
ASV.323	0	5	0
ASV.324	0	5	0
ASV.325	0	5	0
ASV.326	0	5	0
ASV.327	0	5	0
ASV.328	0	5	0
ASV.329	0	5	0
ASV.330	0	5	0
ASV.331	0	5	0
ASV.332	0	5	0
ASV.333	0	5	0
ASV.334	0	5	0
ASV.335	0	5	0
ASV.336	0	5	0
ASV.337	0	5	0
ASV.338	0	5	0
ASV.339	0	5	0
ASV.340	0	5	0
ASV.341	0	5	0
ASV.342	0	5	0
ASV.343	0	0	5
ASV.344	0	0	5
ASV.345	0	0	5
ASV.346	0	0	5
ASV.347	0	0	5
ASV.348	0	0	5
ASV.349	0	0	5
ASV.351	0	0	5
ASV.352	0	0	5
ASV.353	0	0	5
ASV.354	0	0	5
ASV.355	0	0	5
ASV.356	0	0	5
ASV.357	0	0	5
ASV.358	0	0	5
ASV.359	0	0	5
ASV.360	0	0	5
ASV.361	0	0	5
ASV.362	0	0	5
ASV.363	0	0	5
ASV.364	0	0	5
ASV.365	4	0	0
ASV.366	4	0	0
ASV.367	4	0	0
ASV.368	4	0	0
ASV.369	4	0	0
ASV.370	4	0	0
ASV.371	4	0	0
ASV.373	4	0	0
ASV.374	4	0	0
ASV.375	4	0	0
ASV.376	0	4	0
ASV.377	0	4	0
ASV.378	0	4	0
ASV.379	0	4	0
ASV.380	0	4	0
ASV.381	0	4	0
ASV.382	0	2	2
ASV.383	0	4	0
ASV.384	0	4	0
ASV.386	0	4	0
ASV.387	0	4	0
ASV.388	0	4	0
ASV.389	0	4	0
ASV.390	0	4	0
ASV.391	0	4	0
ASV.392	0	4	0
ASV.393	0	4	0
ASV.394	0	4	0
ASV.395	0	4	0
ASV.396	0	4	0
ASV.397	0	4	0
ASV.398	0	4	0
ASV.399	0	4	0
ASV.400	0	4	0
ASV.401	0	4	0
ASV.402	0	4	0
ASV.403	0	4	0
ASV.404	0	4	0
ASV.405	0	4	0
ASV.406	0	4	0
ASV.407	0	4	0
ASV.408	0	4	0
ASV.409	0	2	2
ASV.410	0	4	0
ASV.411	0	4	0
ASV.412	0	4	0
ASV.413	0	4	0
ASV.414	0	4	0
ASV.415	0	4	0
ASV.416	0	4	0
ASV.417	0	4	0
ASV.418	0	4	0
ASV.419	0	4	0
ASV.420	0	4	0
ASV.421	0	4	0
ASV.422	0	0	4
ASV.423	0	0	4
ASV.424	0	0	4
ASV.425	0	0	4
ASV.427	0	0	4
ASV.428	0	0	4
ASV.429	0	0	4
ASV.430	0	0	4
ASV.431	0	0	4
ASV.432	0	0	4
ASV.434	0	0	4
ASV.435	0	0	4
ASV.436	0	0	4
ASV.437	0	0	4
ASV.438	0	0	4
ASV.439	0	0	4
ASV.440	0	0	4
ASV.441	0	0	4
ASV.442	0	0	4
ASV.443	0	0	4
ASV.444	0	0	4
ASV.445	0	0	4
ASV.446	0	0	4
ASV.447	0	0	4
ASV.448	0	0	4
ASV.449	0	0	4
ASV.450	0	0	4
ASV.451	0	0	4
ASV.452	0	0	4
ASV.453	0	0	4
ASV.454	0	0	4
ASV.455	0	0	4
ASV.456	0	0	4
ASV.457	0	0	4
ASV.458	0	0	4
ASV.459	0	0	4
ASV.460	0	0	4
ASV.461	0	0	4
ASV.462	3	0	0
ASV.463	3	0	0
ASV.464	3	0	0
ASV.465	3	0	0
ASV.466	3	0	0
ASV.467	3	0	0
ASV.468	3	0	0
ASV.469	3	0	0
ASV.470	3	0	0
ASV.471	3	0	0
ASV.472	3	0	0
ASV.473	3	0	0
ASV.474	3	0	0
ASV.475	3	0	0
ASV.476	3	0	0
ASV.477	3	0	0
ASV.478	3	0	0
ASV.479	0	3	0
ASV.480	0	3	0
ASV.481	0	3	0
ASV.482	0	3	0
ASV.483	0	3	0
ASV.484	0	3	0
ASV.485	0	3	0
ASV.487	0	3	0
ASV.488	0	3	0
ASV.489	0	3	0
ASV.490	0	3	0
ASV.491	0	3	0
ASV.492	0	3	0
ASV.493	0	3	0
ASV.494	0	3	0
ASV.495	0	3	0
ASV.496	0	3	0
ASV.497	0	3	0
ASV.498	0	3	0
ASV.499	0	3	0
ASV.500	0	3	0
ASV.501	0	3	0
ASV.502	0	3	0
ASV.503	0	3	0
ASV.504	0	3	0
ASV.505	0	3	0
ASV.506	0	3	0
ASV.507	0	3	0
ASV.508	0	3	0
ASV.509	0	3	0
ASV.510	0	3	0
ASV.511	0	3	0
ASV.512	0	3	0
ASV.513	0	3	0
ASV.514	0	3	0
ASV.515	0	3	0
ASV.516	0	3	0
ASV.517	0	3	0
ASV.518	0	3	0
ASV.519	0	3	0
ASV.520	0	3	0
ASV.521	0	3	0
ASV.522	0	3	0
ASV.523	0	3	0
ASV.524	0	3	0
ASV.525	0	3	0
ASV.526	0	3	0
ASV.527	0	3	0
ASV.528	0	3	0
ASV.529	0	3	0
ASV.530	0	3	0
ASV.531	0	3	0
ASV.532	0	3	0
ASV.533	0	3	0
ASV.534	0	3	0
ASV.535	0	3	0
ASV.536	0	3	0
ASV.537	0	3	0
ASV.538	0	3	0
ASV.539	0	3	0
ASV.540	0	3	0
ASV.541	0	3	0
ASV.542	0	3	0
ASV.543	0	3	0
ASV.544	0	3	0
ASV.545	0	3	0
ASV.546	0	3	0
ASV.547	0	3	0
ASV.548	0	3	0
ASV.549	0	3	0
ASV.551	0	3	0
ASV.552	0	3	0
ASV.553	0	3	0
ASV.554	0	3	0
ASV.555	0	3	0
ASV.556	0	3	0
ASV.557	0	3	0
ASV.558	0	3	0
ASV.559	0	3	0
ASV.560	0	3	0
ASV.561	0	0	3
ASV.562	0	0	3
ASV.563	0	0	3
ASV.564	0	0	3
ASV.565	0	0	3
ASV.566	0	0	3
ASV.567	0	0	3
ASV.568	0	0	3
ASV.569	0	0	3
ASV.571	0	0	3
ASV.572	0	0	3
