SRR1178345	SRR1178351	SRR1178352	SRR1178353	SRR1178355	SRR1178356	SRR1178357	SRR1178354	SRR1178346	SRR1178358	SRR1178347	SRR1178348	SRR1178349	SRR1178350
ASV.93	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV.95	0	0	0	0	0	0	0	0	0	0	0	0	12	0
ASV.96	11	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.97	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ASV.98	0	0	0	0	9	0	0	0	0	0	0	0	0	0
ASV.99	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ASV.100	0	0	0	0	0	8	0	0	0	0	0	0	0	0
ASV.101	0	0	0	0	0	0	0	8	0	0	0	0	0	0
ASV.102	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.103	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ASV.104	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV.107	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV.108	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV.109	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV.110	0	0	0	0	0	0	0	0	0	0	0	0	1	0
