Turk001-60663	Turk002-60836	Turk003-64283	Turk004-61107	Turk005-61293	Turk006-61492	Turk007-61980	Turk010-60665	Turk011-60838	Turk012-64287	Turk013-61115	Turk014-61297	Turk015-61600	Turk016-62051	Turk019-60667	Turk020-60875	Turk021-64291	Turk022-61155	Turk023-61301	Turk024-61604	Turk025-62059	Turk028-60690	Turk029-60883	Turk030-64295	Turk031-61159	Turk032-61380	Turk033-61837	Turk034-64519	Turk037-60692	Turk038-60909	Turk039-61091	Turk040-61167	Turk041-61388	Turk042-61845	Turk043-64524	Turk045-64121	Turk046-60917	Turk047-61099	Turk048-61197	Turk049-61424	Turk050-61868	Turk051-64631	Turk053-64125	Turk054-64160	Turk055-61107	Turk056-61198	Turk057-61432	Turk058-61876	Turk059-64634	Turk061-64126	Turk062-64275	Turk063-61115	Turk064-61199	Turk065-61484	Turk066-61972	Turk067-64223
ASV.73	1550	0	0	0	0	0	0	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.74	0	0	514	61	64	0	0	0	0	0	0	0	0	47	0	0	378	37	0	0	0	0	0	66	25	119	0	0	0	0	117	0	0	0	0	0	0	0	0	29	20	0	0	0	0	0	0	0	0	0	663	0	0	69	155	0
ASV.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2027	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0
ASV.76	0	0	5	0	84	0	345	0	0	0	0	0	8	45	0	0	0	30	0	74	261	0	0	19	0	60	0	105	0	0	0	0	0	0	140	0	0	0	0	179	52	127	0	0	0	0	0	0	218	0	0	0	0	134	228	0
ASV.77	0	2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.78	0	0	0	0	0	0	0	0	0	0	0	0	0	1342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681	0
ASV.79	0	0	237	253	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	524	0	0	0	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0
ASV.80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.83	0	0	0	0	426	0	0	0	0	0	0	204	0	0	0	0	0	454	112	0	0	0	0	0	91	264	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0
ASV.84	0	0	73	21	130	0	167	0	0	0	0	0	378	0	0	0	44	27	0	0	146	0	0	45	0	38	221	57	0	0	19	0	0	0	66	0	0	0	33	0	0	103	0	0	0	11	0	0	69	0	106	0	0	0	128	0
ASV.85	0	0	0	0	0	1876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.88	705	0	0	0	0	0	0	449	0	0	0	0	0	0	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.89	0	0	0	0	0	92	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	638	0	0	0	0	0	0	0	0	0	121	0	0	217	16	0	0	0	0	228	0	0	0
ASV.90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0	0	51	0	0	0	0	0	0	46	0	104	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	459	0	0	0	0	204
ASV.91	0	0	0	0	0	372	84	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	0	0
ASV.95	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	0
ASV.96	0	0	0	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	634	0	0	0	29	0	0	0	0	227	0	0	0
ASV.97	0	151	0	0	0	0	66	0	212	0	0	0	0	0	0	71	0	0	0	0	77	0	0	0	0	0	0	0	105	97	0	0	0	0	0	612	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	166
ASV.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.99	0	0	342	0	16	0	0	0	0	0	0	0	143	0	0	14	121	0	0	0	84	0	0	0	0	0	66	0	0	0	38	73	0	0	0	0	0	0	201	27	0	0	0	0	0	43	0	0	0	0	199	0	0	0	0	140
ASV.100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1430	0
ASV.102	0	0	0	0	0	0	119	0	0	753	0	0	0	48	0	0	0	0	0	22	129	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	230	0
ASV.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1391	0	0	0	0	0	0	0	0	0
ASV.104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	115	0	903	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.106	0	0	0	159	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	34	107	0	0	13	0	0	0	47	0	0	0	0	0	0	53	0	0	0	0	0	30	22	0	0	0	0	0	0	152	0	0	0	0	0	257	0
ASV.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.109	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	149	0	73	34	0	0	0	0	0	0	242	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0	34	0	0	100
ASV.111	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	139	0	61	0	0	0	0	0	0	0	0	0	216	0	0	109	44	0	0	0	0	403	0	0	0
ASV.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.114	0	0	0	0	0	0	87	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	147	0	0	0	159	0	0	0	0	0	0	66	0	0	0	0	0	27	429	0	0	0	0	0	0	56	0	0	0	0	0	166	0
ASV.117	0	0	0	0	0	64	21	0	0	19	56	530	0	0	0	0	0	0	0	13	47	0	15	0	0	0	0	0	0	0	0	90	81	32	0	0	13	23	0	0	0	0	0	34	0	0	0	0	79	0	0	0	15	0	0	0
ASV.119	0	0	0	0	0	34	45	0	0	140	52	19	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	100	59	0	0	0	0	206	0	0	0	0	0	278	0	0	28	0	32	0	0	0	81	0	0	0
ASV.120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
