DRR205311	DRR205312	DRR205313	DRR205314	DRR205315	DRR205316	DRR205317	DRR205318	DRR205319	DRR205320	DRR205321	DRR205322	DRR205323	DRR205324
ASV.140	0	0	0	0	0	0	0	0	0	0	0	0	94	0
ASV.141	93	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.142	0	0	0	0	93	0	0	0	0	0	0	0	0	0
ASV.143	0	0	0	0	0	0	0	93	0	0	0	0	0	0
ASV.144	0	0	0	0	0	0	0	92	0	0	0	0	0	0
ASV.145	0	0	0	0	0	0	0	0	15	8	0	0	31	37
ASV.146	0	0	0	0	90	0	0	0	0	0	0	0	0	0
ASV.147	0	0	0	0	0	0	0	90	0	0	0	0	0	0
ASV.148	0	0	0	0	0	0	0	0	29	30	0	31	0	0
ASV.149	0	0	0	0	25	0	0	0	0	6	0	0	0	57
ASV.150	0	0	0	0	0	0	0	87	0	0	0	0	0	0
ASV.151	0	0	0	0	0	0	0	86	0	0	0	0	0	0
ASV.152	0	0	0	0	0	0	0	85	0	0	0	0	0	0
ASV.153	0	0	0	0	0	0	0	0	0	85	0	0	0	0
ASV.155	0	0	0	0	83	0	0	0	0	0	0	0	0	0
ASV.156	0	0	0	0	0	0	0	0	18	13	0	6	14	32
ASV.157	82	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.162	0	0	0	0	0	0	0	0	19	0	0	13	15	31
ASV.163	77	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.165	0	0	0	0	49	0	0	0	0	0	0	28	0	0
ASV.166	75	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.167	0	0	0	0	0	0	0	0	0	0	0	0	75	0
ASV.169	0	0	0	0	72	0	0	0	0	0	0	0	0	0
ASV.171	0	0	0	0	57	0	0	0	0	0	0	0	14	0
ASV.172	0	0	0	0	71	0	0	0	0	0	0	0	0	0
ASV.173	0	0	0	0	0	0	0	71	0	0	0	0	0	0
ASV.174	0	0	0	0	0	0	0	0	0	0	0	0	70	0
ASV.175	0	0	0	0	38	0	0	0	0	16	0	0	0	15
ASV.177	0	0	0	0	67	0	0	0	0	0	0	0	0	0
ASV.178	0	0	0	0	7	0	0	0	0	29	0	0	0	31
ASV.180	0	0	0	0	54	0	0	0	12	0	0	0	0	0
ASV.182	0	0	0	0	0	0	0	0	0	0	0	0	66	0
ASV.183	0	0	0	0	65	0	0	0	0	0	0	0	0	0
ASV.184	64	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.185	0	0	0	0	31	0	0	0	0	19	0	0	0	14
ASV.186	0	0	0	0	0	0	0	0	64	0	0	0	0	0
ASV.187	0	0	0	0	0	0	0	0	0	64	0	0	0	0
ASV.188	63	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.189	0	0	0	0	48	0	0	0	0	0	0	0	0	15
ASV.190	0	0	0	0	0	0	0	0	0	63	0	0	0	0
ASV.191	0	0	0	0	0	0	0	0	0	0	63	0	0	0
ASV.192	0	0	0	0	25	0	0	6	6	0	0	0	0	25
ASV.194	0	0	0	0	0	0	0	62	0	0	0	0	0	0
ASV.195	61	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.196	0	0	0	0	10	0	0	0	18	0	0	22	0	11
ASV.197	60	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.198	60	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.199	0	0	0	0	36	0	0	0	0	0	0	0	24	0
ASV.200	0	0	0	0	0	0	0	0	0	0	0	0	0	60
ASV.201	0	0	0	0	0	0	0	59	0	0	0	0	0	0
ASV.202	0	0	0	0	0	0	0	59	0	0	0	0	0	0
ASV.203	0	0	0	0	22	0	0	16	0	0	0	0	0	20
ASV.204	0	0	0	0	10	0	0	21	0	19	0	0	0	8
ASV.207	0	0	0	0	0	0	0	0	0	0	0	0	0	57
ASV.209	0	0	0	0	0	0	0	44	0	12	0	0	0	0
ASV.211	0	0	0	0	12	0	0	0	0	8	0	0	35	0
ASV.213	0	0	0	0	0	0	0	0	0	0	0	0	55	0
ASV.214	0	0	0	0	54	0	0	0	0	0	0	0	0	0
ASV.215	0	0	0	0	0	0	0	54	0	0	0	0	0	0
ASV.216	0	0	0	0	0	0	0	35	0	19	0	0	0	0
ASV.217	0	0	0	0	0	0	0	53	0	0	0	0	0	0
ASV.218	0	0	0	0	0	0	0	35	0	17	0	0	0	0
ASV.220	0	0	0	0	51	0	0	0	0	0	0	0	0	0
ASV.222	0	0	0	0	49	0	0	0	0	0	0	0	0	0
ASV.223	0	0	0	0	0	0	0	49	0	0	0	0	0	0
ASV.224	0	0	0	0	0	0	0	0	16	6	0	0	27	0
ASV.225	0	0	0	0	0	0	0	0	7	0	0	0	25	17
ASV.228	0	0	0	0	23	0	0	0	8	17	0	0	0	0
ASV.229	0	0	0	0	48	0	0	0	0	0	0	0	0	0
ASV.230	0	0	0	0	0	0	0	48	0	0	0	0	0	0
ASV.232	0	0	0	0	0	0	0	47	0	0	0	0	0	0
ASV.233	46	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.234	0	0	0	7	38	0	0	0	0	0	0	0	0	0
ASV.235	0	0	0	0	0	0	0	25	0	0	0	0	20	0
ASV.236	0	0	0	0	0	0	0	9	4	0	0	0	5	26
ASV.237	0	0	0	0	0	0	0	44	0	0	0	0	0	0
ASV.238	0	0	0	0	0	0	0	0	12	5	0	0	13	14
ASV.239	0	0	0	0	0	0	0	0	0	6	0	0	9	29
ASV.240	0	0	0	0	0	0	0	0	0	0	0	0	44	0
ASV.241	0	0	0	0	0	0	0	0	0	0	0	0	0	44
ASV.242	43	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.243	0	0	0	0	43	0	0	0	0	0	0	0	0	0
ASV.244	0	0	0	0	43	0	0	0	0	0	0	0	0	0
ASV.245	0	0	0	0	0	0	0	43	0	0	0	0	0	0
ASV.246	0	0	0	0	0	0	0	43	0	0	0	0	0	0
ASV.247	0	0	0	0	0	0	0	43	0	0	0	0	0	0
ASV.248	0	0	0	0	42	0	0	0	0	0	0	0	0	0
ASV.249	0	0	0	0	0	0	0	42	0	0	0	0	0	0
ASV.250	0	0	0	0	0	0	0	42	0	0	0	0	0	0
ASV.251	0	0	0	0	0	0	0	0	24	0	0	0	7	11
ASV.252	0	0	0	0	0	0	0	0	0	0	0	0	25	17
ASV.254	41	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.255	41	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.256	0	0	0	0	41	0	0	0	0	0	0	0	0	0
ASV.260	0	0	0	0	25	0	0	0	0	7	0	0	0	8
ASV.261	0	0	0	0	13	0	0	0	0	0	0	0	27	0
ASV.262	0	0	0	0	0	0	0	13	0	0	0	0	0	27
ASV.263	0	0	0	0	0	0	0	0	0	0	0	0	0	40
ASV.264	0	0	0	0	39	0	0	0	0	0	0	0	0	0
ASV.265	0	0	0	0	20	0	0	5	8	0	0	6	0	0
ASV.266	0	0	0	0	39	0	0	0	0	0	0	0	0	0
ASV.267	0	0	0	0	39	0	0	0	0	0	0	0	0	0
ASV.268	0	0	0	0	26	0	0	0	0	7	0	0	0	6
ASV.270	0	0	0	0	0	0	0	39	0	0	0	0	0	0
ASV.272	0	0	0	0	0	0	0	0	0	0	0	0	39	0
ASV.273	0	0	0	0	0	0	0	0	0	0	0	0	39	0
ASV.274	0	0	0	0	0	0	0	0	0	0	0	0	0	39
ASV.277	0	0	0	0	0	0	0	38	0	0	0	0	0	0
ASV.278	0	0	0	0	0	0	0	0	38	0	0	0	0	0
ASV.279	0	0	0	0	0	0	0	0	0	0	0	0	38	0
ASV.282	0	0	0	0	0	0	0	37	0	0	0	0	0	0
ASV.284	0	0	0	0	0	0	0	9	0	0	0	0	28	0
ASV.285	0	0	0	0	0	0	0	0	0	37	0	0	0	0
ASV.286	0	0	0	0	0	0	0	0	0	0	0	0	37	0
ASV.287	0	0	0	0	30	0	0	0	0	0	0	0	0	6
ASV.288	0	0	0	0	36	0	0	0	0	0	0	0	0	0
ASV.290	0	0	0	0	0	0	0	36	0	0	0	0	0	0
ASV.292	0	0	0	0	0	0	0	0	0	15	0	0	0	21
ASV.293	0	0	0	0	19	0	0	0	0	7	0	9	0	0
ASV.294	0	0	0	0	0	0	0	35	0	0	0	0	0	0
ASV.295	0	0	0	0	0	0	0	0	0	0	0	0	0	35
ASV.297	0	0	0	0	34	0	0	0	0	0	0	0	0	0
ASV.298	0	0	0	0	25	0	0	0	0	9	0	0	0	0
ASV.299	0	0	0	0	34	0	0	0	0	0	0	0	0	0
ASV.302	0	0	0	0	0	0	0	0	0	34	0	0	0	0
ASV.303	0	0	0	0	0	0	0	0	0	0	0	0	0	34
ASV.304	0	0	0	0	0	0	0	0	0	0	0	0	0	34
ASV.306	33	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.308	0	0	0	0	33	0	0	0	0	0	0	0	0	0
ASV.309	0	0	0	0	0	0	0	33	0	0	0	0	0	0
ASV.310	0	0	0	0	0	0	0	5	0	20	0	0	8	0
ASV.311	0	0	0	0	0	0	0	33	0	0	0	0	0	0
ASV.312	0	0	0	0	0	0	0	0	0	33	0	0	0	0
ASV.313	0	0	0	0	0	0	0	0	0	0	0	0	33	0
ASV.314	0	0	0	0	0	0	0	0	0	0	0	0	0	33
ASV.315	0	0	0	0	32	0	0	0	0	0	0	0	0	0
ASV.316	0	0	0	0	0	0	0	0	32	0	0	0	0	0
ASV.317	0	0	0	0	0	0	0	0	0	0	0	0	0	32
ASV.319	0	0	0	0	20	0	0	0	0	11	0	0	0	0
ASV.320	0	0	0	0	0	0	0	0	0	0	0	0	0	31
ASV.321	0	0	0	0	9	0	0	11	0	2	0	0	0	8
ASV.324	0	0	0	0	0	0	0	0	0	0	0	0	0	30
ASV.325	0	0	0	0	0	0	0	0	0	0	0	0	0	30
ASV.326	0	0	0	0	0	0	0	0	0	0	0	0	0	30
ASV.327	29	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.329	0	0	0	0	11	0	0	0	0	0	0	0	18	0
ASV.330	0	0	0	0	20	0	0	0	0	9	0	0	0	0
ASV.331	0	0	0	0	0	0	0	0	15	0	0	0	0	14
ASV.332	0	0	0	0	0	0	0	0	0	0	0	0	29	0
ASV.333	0	0	0	0	18	0	0	0	0	0	0	0	10	0
ASV.335	0	0	0	0	0	0	0	28	0	0	0	0	0	0
ASV.336	0	0	0	0	0	0	0	0	0	28	0	0	0	0
ASV.338	0	0	0	0	0	0	0	0	0	0	0	0	11	17
ASV.339	0	0	0	0	0	0	0	0	0	0	0	0	0	28
ASV.340	27	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.342	27	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.343	0	0	0	0	27	0	0	0	0	0	0	0	0	0
ASV.345	0	0	0	0	27	0	0	0	0	0	0	0	0	0
ASV.346	0	0	0	0	0	0	0	27	0	0	0	0	0	0
ASV.347	0	0	0	0	0	0	0	27	0	0	0	0	0	0
ASV.349	0	0	0	0	0	0	0	27	0	0	0	0	0	0
ASV.350	0	0	0	0	0	0	0	27	0	0	0	0	0	0
ASV.351	0	0	0	0	0	0	0	0	0	27	0	0	0	0
ASV.352	0	0	0	0	0	0	0	0	0	0	0	0	0	27
ASV.353	0	0	0	0	0	0	0	0	0	0	0	0	0	27
ASV.354	0	0	0	0	0	0	0	0	0	0	0	0	0	27
ASV.355	26	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.357	26	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.359	0	0	0	0	26	0	0	0	0	0	0	0	0	0
ASV.360	0	0	0	0	26	0	0	0	0	0	0	0	0	0
ASV.362	0	0	0	0	0	0	0	26	0	0	0	0	0	0
ASV.363	0	0	0	0	0	0	0	3	0	3	0	0	13	7
ASV.364	0	0	0	0	0	0	0	26	0	0	0	0	0	0
ASV.365	0	0	0	0	0	0	0	26	0	0	0	0	0	0
ASV.366	0	0	0	0	0	0	0	0	9	0	0	0	0	17
ASV.367	0	0	0	0	0	0	0	0	0	0	0	0	6	20
ASV.369	0	0	0	0	25	0	0	0	0	0	0	0	0	0
ASV.370	0	0	0	0	0	0	0	25	0	0	0	0	0	0
ASV.371	0	0	0	0	0	0	0	25	0	0	0	0	0	0
ASV.372	0	0	0	0	0	0	0	25	0	0	0	0	0	0
ASV.373	0	0	0	0	0	0	0	25	0	0	0	0	0	0
ASV.374	0	0	0	0	0	0	0	25	0	0	0	0	0	0
ASV.375	0	0	0	0	0	0	0	25	0	0	0	0	0	0
ASV.376	0	0	0	0	0	0	0	19	0	0	0	6	0	0
ASV.377	0	0	0	0	0	0	0	25	0	0	0	0	0	0
ASV.379	0	0	0	0	0	0	0	0	0	25	0	0	0	0
ASV.380	0	0	0	0	0	0	0	0	0	0	0	0	2	23
ASV.381	0	0	0	0	0	0	0	0	0	0	0	0	25	0
ASV.383	0	0	0	0	0	0	0	0	0	0	0	0	0	25
ASV.384	0	0	0	0	0	0	0	0	0	0	0	0	0	25
ASV.386	0	0	24	0	0	0	0	0	0	0	0	0	0	0
ASV.387	0	0	0	24	0	0	0	0	0	0	0	0	0	0
ASV.389	0	0	0	0	9	0	0	15	0	0	0	0	0	0
ASV.390	0	0	0	0	18	0	0	0	0	0	0	0	0	6
ASV.392	0	0	0	0	0	0	0	24	0	0	0	0	0	0
ASV.393	0	0	0	0	0	0	0	24	0	0	0	0	0	0
ASV.394	0	0	0	0	0	0	0	15	0	0	0	0	0	9
ASV.395	0	0	0	0	0	0	0	24	0	0	0	0	0	0
ASV.397	0	0	0	0	0	0	0	0	10	14	0	0	0	0
ASV.398	0	0	0	0	0	0	0	0	0	0	0	0	0	24
ASV.399	23	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.400	0	0	0	0	23	0	0	0	0	0	0	0	0	0
ASV.402	0	0	0	0	4	0	0	0	0	0	0	5	0	14
ASV.403	0	0	0	0	0	0	0	23	0	0	0	0	0	0
ASV.404	0	0	0	0	0	0	0	23	0	0	0	0	0	0
ASV.405	0	0	0	0	0	0	0	23	0	0	0	0	0	0
ASV.406	0	0	0	0	0	0	0	10	0	0	0	0	0	13
ASV.407	0	0	0	0	0	0	0	0	0	0	0	5	0	18
ASV.408	0	0	0	0	0	0	0	0	0	0	0	0	23	0
ASV.409	0	0	0	0	0	0	0	0	0	0	0	0	23	0
ASV.410	0	0	0	0	0	0	0	0	0	0	0	0	0	23
ASV.412	22	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.416	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ASV.417	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ASV.418	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ASV.419	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ASV.420	0	0	0	0	0	0	0	0	22	0	0	0	0	0
ASV.425	0	0	0	0	21	0	0	0	0	0	0	0	0	0
ASV.428	0	0	0	0	16	0	0	0	0	5	0	0	0	0
ASV.429	0	0	0	0	0	0	0	21	0	0	0	0	0	0
ASV.431	0	0	0	0	0	0	0	0	21	0	0	0	0	0
ASV.434	0	0	0	0	0	0	0	0	0	21	0	0	0	0
ASV.435	0	0	0	0	0	0	0	0	0	0	0	0	0	21
ASV.437	0	0	0	0	0	0	0	0	0	0	0	0	0	21
ASV.438	0	0	0	0	0	0	0	0	0	0	0	0	0	21
ASV.440	0	0	0	0	0	0	0	0	0	0	0	0	0	21
ASV.442	0	0	0	0	20	0	0	0	0	0	0	0	0	0
ASV.444	0	0	0	0	3	0	0	0	0	13	0	4	0	0
ASV.445	0	0	0	0	0	0	0	20	0	0	0	0	0	0
ASV.448	0	0	0	0	0	0	0	0	0	17	0	0	3	0
ASV.449	0	0	0	0	0	0	0	0	0	0	0	0	20	0
ASV.450	0	0	0	0	0	0	0	0	0	0	0	0	6	14
ASV.452	0	0	0	0	0	0	0	0	0	0	0	0	0	20
ASV.454	19	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.457	0	19	0	0	0	0	0	0	0	0	0	0	0	0
ASV.458	0	0	19	0	0	0	0	0	0	0	0	0	0	0
ASV.459	0	0	0	0	19	0	0	0	0	0	0	0	0	0
ASV.461	0	0	0	0	6	0	0	0	13	0	0	0	0	0
ASV.463	0	0	0	0	7	0	0	0	0	0	0	0	0	12
ASV.464	0	0	0	0	0	0	0	19	0	0	0	0	0	0
ASV.465	0	0	0	0	0	0	0	19	0	0	0	0	0	0
ASV.466	0	0	0	0	0	0	0	19	0	0	0	0	0	0
ASV.469	0	0	0	0	0	0	0	0	19	0	0	0	0	0
ASV.471	0	0	0	0	0	0	0	0	0	19	0	0	0	0
ASV.472	0	0	0	0	0	0	0	0	0	19	0	0	0	0
ASV.473	0	0	0	0	0	0	0	0	0	19	0	0	0	0
ASV.474	0	0	0	0	0	0	0	0	0	0	0	0	19	0
ASV.477	0	0	0	0	0	0	0	0	0	0	0	0	0	19
ASV.478	0	0	0	0	0	0	0	0	0	0	0	0	0	19
ASV.482	0	0	0	0	12	0	0	0	3	0	0	3	0	0
ASV.483	0	0	0	0	0	0	0	18	0	0	0	0	0	0
ASV.484	0	0	0	0	0	0	0	18	0	0	0	0	0	0
ASV.486	0	0	0	0	0	0	0	15	0	0	0	0	0	3
ASV.487	0	0	0	0	0	0	0	18	0	0	0	0	0	0
ASV.489	0	0	0	0	0	0	0	18	0	0	0	0	0	0
ASV.490	0	0	0	0	0	0	0	0	18	0	0	0	0	0
ASV.491	0	0	0	0	0	0	0	0	9	0	0	0	9	0
ASV.493	0	0	0	0	0	0	0	0	0	18	0	0	0	0
ASV.495	0	0	0	0	0	0	0	0	0	18	0	0	0	0
ASV.496	0	0	0	0	0	0	0	0	0	13	0	5	0	0
ASV.498	0	0	0	0	0	0	0	0	0	5	0	0	8	5
ASV.500	0	0	0	0	0	0	0	0	0	0	0	0	18	0
ASV.501	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV.502	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV.503	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV.507	0	0	0	0	17	0	0	0	0	0	0	0	0	0
ASV.508	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV.509	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV.511	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV.512	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV.513	0	0	0	0	0	0	0	0	17	0	0	0	0	0
ASV.517	0	0	0	0	0	0	0	0	9	0	0	0	0	8
ASV.518	0	0	0	0	0	0	0	0	6	0	0	8	0	3
ASV.520	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV.521	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV.522	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV.523	0	0	0	0	0	0	0	0	0	12	0	0	5	0
ASV.524	0	0	0	0	0	0	0	0	0	0	0	4	0	13
ASV.525	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV.526	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV.527	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV.528	0	0	0	0	0	0	0	0	0	0	0	0	0	17
ASV.529	0	0	0	0	0	0	0	0	0	0	0	0	0	17
ASV.530	0	0	0	0	0	0	0	0	0	0	0	0	0	17
ASV.534	0	0	0	0	16	0	0	0	0	0	0	0	0	0
ASV.537	0	0	0	0	16	0	0	0	0	0	0	0	0	0
ASV.538	0	0	0	0	16	0	0	0	0	0	0	0	0	0
ASV.539	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV.540	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV.541	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV.542	0	0	0	0	0	0	0	16	0	0	0	0	0	0
