asvLen	totReads	numSamps
ASV.352	328	43	1
ASV.353	322	43	1
ASV.355	328	43	1
ASV.356	328	42	1
ASV.357	328	42	1
ASV.358	364	42	1
ASV.359	328	42	1
ASV.363	328	41	2
ASV.364	328	41	1
ASV.367	360	40	1
ASV.370	325	40	1
ASV.371	325	40	1
ASV.374	328	39	1
ASV.375	322	39	1
ASV.379	328	38	1
ASV.380	84	38	1
ASV.381	322	38	1
ASV.382	325	38	1
ASV.383	94	37	3
ASV.385	328	37	1
ASV.387	325	37	1
ASV.389	325	37	1
ASV.390	325	37	1
ASV.391	325	36	1
ASV.394	256	35	2
ASV.395	328	35	1
ASV.396	322	35	1
ASV.398	325	35	1
ASV.399	325	35	1
ASV.400	322	35	1
ASV.403	325	35	1
ASV.404	130	34	2
ASV.407	328	34	1
ASV.410	328	34	1
ASV.411	325	34	1
ASV.413	325	34	1
ASV.414	328	33	1
ASV.420	328	32	1
ASV.421	245	32	1
ASV.422	328	32	1
ASV.423	183	31	1
ASV.425	325	31	1
ASV.428	337	30	2
ASV.432	328	30	1
ASV.433	325	30	1
ASV.434	328	30	1
ASV.436	322	30	1
ASV.440	325	30	1
ASV.443	328	29	1
ASV.444	328	29	1
ASV.446	328	28	1
ASV.447	364	28	1
ASV.449	368	28	1
ASV.450	328	28	1
ASV.451	364	28	1
ASV.452	294	27	1
ASV.453	328	27	1
ASV.455	328	27	1
ASV.457	328	27	1
ASV.458	328	27	1
ASV.461	325	27	1
ASV.463	150	26	2
ASV.465	325	26	2
ASV.467	328	26	1
ASV.468	328	26	1
ASV.469	331	26	1
ASV.479	325	25	1
ASV.481	382	25	1
ASV.482	325	25	1
ASV.484	325	25	1
ASV.486	386	24	1
ASV.489	325	24	1
ASV.490	364	24	1
ASV.491	325	24	1
ASV.495	325	24	1
ASV.497	140	23	2
ASV.499	328	23	2
ASV.500	295	23	1
ASV.505	328	23	1
ASV.506	328	23	1
ASV.507	325	23	1
ASV.508	322	23	1
ASV.509	325	23	1
ASV.510	358	23	1
ASV.514	286	22	1
ASV.520	328	22	1
ASV.521	328	22	1
ASV.522	328	22	1
ASV.523	258	22	1
ASV.524	280	22	1
ASV.525	328	22	1
ASV.526	328	22	1
ASV.529	328	22	1
ASV.534	328	21	1
ASV.535	84	21	1
ASV.539	90	20	2
ASV.543	325	20	1
ASV.544	325	20	1
ASV.545	325	20	1
ASV.546	328	20	1
ASV.547	189	20	1
ASV.548	361	20	1
ASV.550	217	20	1
ASV.553	328	19	1
ASV.555	295	19	2
ASV.556	328	19	1
ASV.559	328	19	1
ASV.561	287	19	1
ASV.562	130	19	1
ASV.563	314	19	1
ASV.565	328	19	1
ASV.566	328	19	1
ASV.567	328	19	1
ASV.571	245	18	2
ASV.573	328	18	1
ASV.574	328	18	1
ASV.576	322	18	2
ASV.577	325	18	1
ASV.578	328	18	1
ASV.580	241	18	1
ASV.581	259	18	1
ASV.582	300	18	1
ASV.583	286	18	1
ASV.585	328	18	1
ASV.589	328	18	1
ASV.590	328	18	1
ASV.591	313	17	2
ASV.598	325	17	1
ASV.599	328	17	1
ASV.600	319	17	1
ASV.601	332	17	1
ASV.602	328	17	1
ASV.603	325	17	1
ASV.604	328	17	1
ASV.608	325	17	1
ASV.609	116	16	1
ASV.612	328	16	1
ASV.616	328	16	1
ASV.617	322	16	1
ASV.629	325	15	1
ASV.632	357	15	1
ASV.633	321	15	1
ASV.634	328	15	1
ASV.642	470	14	1
ASV.643	328	14	1
ASV.644	325	14	1
ASV.645	328	14	1
ASV.646	328	14	1
ASV.647	199	14	1
ASV.648	289	14	1
ASV.649	286	14	1
ASV.650	331	14	1
ASV.652	294	14	1
ASV.653	328	14	1
ASV.657	328	14	1
ASV.659	328	13	1
ASV.666	328	13	1
ASV.668	334	13	1
ASV.669	328	13	1
ASV.670	325	13	1
ASV.671	350	13	1
ASV.672	325	13	1
ASV.673	364	13	1
ASV.675	84	12	1
ASV.676	233	12	3
ASV.677	256	12	1
ASV.678	160	12	1
ASV.680	245	12	1
ASV.689	364	12	1
ASV.690	328	12	1
ASV.691	328	12	1
ASV.692	328	12	1
ASV.693	328	12	1
ASV.698	325	12	1
ASV.699	328	12	1
ASV.702	121	11	1
ASV.703	79	11	2
ASV.708	328	11	1
ASV.709	322	11	1
ASV.710	328	11	1
ASV.711	328	11	1
ASV.712	292	11	1
ASV.713	248	11	1
ASV.715	325	11	1
ASV.718	328	11	1
ASV.720	356	10	1
ASV.723	258	10	1
ASV.724	312	10	1
ASV.725	106	10	2
ASV.732	364	10	1
ASV.734	328	10	1
ASV.735	328	10	1
ASV.736	325	10	2
ASV.739	325	10	1
ASV.740	328	10	1
ASV.741	328	10	1
ASV.743	328	10	1
ASV.749	152	9	2
ASV.750	321	9	1
ASV.757	328	9	1
ASV.758	328	9	1
ASV.759	328	9	1
ASV.760	328	9	1
ASV.762	244	9	1
ASV.763	280	9	1
ASV.764	367	9	1
ASV.765	328	9	1
ASV.767	364	9	1
ASV.769	379	8	1
ASV.770	238	8	1
ASV.771	289	8	1
ASV.779	328	8	1
ASV.780	317	8	1
ASV.781	163	8	2
ASV.782	198	8	1
ASV.783	303	8	1
ASV.784	325	8	1
ASV.786	325	8	1
ASV.788	325	8	1
ASV.791	198	7	1
ASV.795	325	7	1
ASV.797	328	7	1
ASV.800	364	7	1
ASV.801	322	7	1
ASV.802	364	7	1
ASV.803	328	7	1
ASV.804	155	7	1
ASV.805	203	7	1
ASV.806	339	7	1
ASV.807	245	7	1
ASV.810	220	7	1
ASV.811	364	7	1
ASV.812	328	7	1
ASV.814	325	7	1
ASV.815	364	7	1
ASV.816	289	6	1
ASV.817	227	6	1
ASV.818	285	6	1
ASV.819	142	6	1
ASV.821	87	6	2
ASV.832	129	6	1
ASV.833	139	6	1
ASV.834	290	6	1
ASV.835	221	6	1
ASV.836	109	6	1
ASV.837	164	6	1
ASV.838	226	6	1
ASV.839	328	6	1
ASV.840	328	6	1
ASV.841	325	6	1
ASV.842	364	6	1
ASV.843	364	6	1
ASV.845	256	6	1
ASV.848	343	5	1
ASV.849	160	5	1
ASV.856	256	5	1
ASV.857	261	5	1
ASV.858	283	5	1
ASV.859	167	5	1
ASV.860	256	5	1
ASV.861	168	5	1
ASV.862	319	5	1
ASV.863	335	5	1
ASV.864	299	5	1
ASV.865	300	5	1
ASV.867	328	5	1
ASV.870	403	4	1
ASV.871	278	4	1
ASV.872	254	4	1
ASV.874	126	4	1
ASV.875	123	4	1
ASV.876	338	4	1
ASV.877	395	4	1
ASV.878	316	4	1
ASV.879	126	4	1
ASV.881	328	4	1
ASV.886	328	4	1
ASV.888	328	4	1
ASV.889	328	4	1
ASV.890	322	4	1
ASV.891	328	4	1
ASV.892	319	4	1
ASV.893	397	4	1
ASV.894	317	4	1
ASV.895	323	4	1
ASV.896	109	4	1
ASV.899	322	4	1
ASV.900	151	4	1
ASV.901	384	4	1
ASV.902	109	4	1
ASV.903	219	4	1
ASV.904	273	4	1
ASV.905	154	4	1
ASV.906	348	4	1
ASV.912	196	4	1
ASV.914	325	4	1
ASV.915	325	4	1
ASV.916	155	3	1
ASV.917	165	3	1
ASV.918	244	3	1
ASV.919	200	3	1
ASV.920	319	3	1
ASV.921	106	3	1
ASV.922	263	3	1
ASV.924	162	3	1
ASV.925	120	3	1
ASV.926	328	3	1
ASV.928	289	3	1
ASV.930	295	3	1
ASV.939	328	3	1
ASV.940	325	3	1
ASV.943	285	3	1
ASV.944	286	3	1
ASV.945	136	3	1
ASV.946	172	3	1
ASV.947	156	3	1
ASV.948	443	3	1
ASV.950	324	3	1
ASV.951	281	3	1
ASV.952	367	3	1
ASV.953	297	3	1
ASV.954	280	3	1
ASV.955	313	3	1
ASV.956	73	3	1
ASV.957	316	3	1
ASV.958	281	3	1
ASV.959	328	3	1
ASV.961	325	3	1
ASV.967	305	2	1
ASV.968	121	2	1
ASV.969	144	2	1
ASV.970	283	2	1
ASV.971	263	2	1
ASV.972	322	2	1
ASV.973	193	2	1
ASV.974	135	2	1
ASV.975	182	2	1
ASV.976	139	2	1
ASV.977	120	2	1
ASV.978	274	2	1
ASV.979	151	2	1
ASV.980	98	2	1
ASV.985	154	2	1
ASV.996	322	2	1
ASV.997	364	2	1
ASV.1001	72	2	1
ASV.1002	337	2	1
ASV.1003	148	2	1
ASV.1004	275	2	1
ASV.1005	260	2	1
ASV.1006	291	2	1
ASV.1007	208	2	1
ASV.1008	279	2	1
ASV.1009	259	2	1
ASV.1010	281	2	1
ASV.1011	165	2	1
ASV.1013	96	2	1
ASV.1014	347	2	1
ASV.1015	240	2	1
ASV.1016	162	2	1
ASV.1017	381	2	1
ASV.1018	301	2	1
ASV.1019	168	2	1
