SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.100	0	0	0	0	0	0	0	0	0	298	0	0	0	0
ASV.101	0	0	0	0	0	0	0	297	0	0	0	0	0	0
ASV.102	0	0	0	0	0	0	0	0	0	280	0	0	0	0
ASV.103	0	0	0	0	0	0	0	0	0	0	0	0	0	279
ASV.105	0	0	0	0	0	267	0	0	0	0	0	0	0	0
ASV.106	0	0	0	0	0	0	0	263	0	0	0	0	0	0
ASV.108	0	0	0	0	0	0	0	0	0	255	0	0	0	0
ASV.109	22	0	0	0	0	0	0	0	187	0	37	0	0	0
ASV.110	0	0	0	0	0	246	0	0	0	0	0	0	0	0
ASV.111	0	0	0	0	0	0	0	0	0	246	0	0	0	0
ASV.112	0	0	0	0	0	152	0	0	0	0	0	0	0	93
ASV.113	0	0	0	243	0	0	0	0	0	0	0	0	0	0
ASV.114	0	0	0	35	0	199	0	0	0	0	0	0	0	0
ASV.115	0	0	0	115	0	31	0	85	0	0	0	0	0	0
ASV.117	0	0	0	0	0	135	0	0	0	0	0	0	0	87
ASV.118	0	0	0	0	0	48	0	0	0	0	0	0	0	174
ASV.120	0	0	0	0	0	0	0	0	0	0	0	0	0	219
ASV.121	0	0	0	0	0	212	0	0	0	0	0	0	0	0
ASV.122	0	0	0	0	0	0	0	27	0	0	0	175	0	0
ASV.123	0	0	0	0	0	0	0	0	0	202	0	0	0	0
ASV.124	0	0	0	198	0	0	0	0	0	0	0	0	0	0
ASV.125	0	0	0	0	0	194	0	0	0	0	0	0	0	0
ASV.126	0	0	0	0	0	193	0	0	0	0	0	0	0	0
ASV.128	0	0	0	102	0	0	0	8	0	0	0	0	0	80
ASV.129	0	0	0	188	0	0	0	0	0	0	0	0	0	0
ASV.130	0	0	0	0	0	15	0	35	0	0	0	138	0	0
ASV.131	43	0	0	0	0	0	0	0	120	0	24	0	0	0
ASV.132	0	0	0	0	0	0	0	187	0	0	0	0	0	0
ASV.133	90	0	0	0	0	0	0	0	66	0	29	0	0	0
ASV.134	0	0	0	0	0	177	0	0	0	0	0	0	0	0
ASV.135	0	0	0	0	0	0	0	0	0	174	0	0	0	0
ASV.136	0	0	0	0	0	0	0	172	0	0	0	0	0	0
ASV.137	0	0	0	0	0	0	0	0	0	169	0	0	0	0
ASV.138	0	0	0	0	0	0	0	0	0	169	0	0	0	0
ASV.139	0	0	0	0	0	0	0	0	0	169	0	0	0	0
ASV.141	0	0	0	0	0	168	0	0	0	0	0	0	0	0
