SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.590	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV.591	10	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV.598	0	0	0	0	0	17	0	0	0	0	0	0	0	0
ASV.599	0	0	0	0	0	17	0	0	0	0	0	0	0	0
ASV.600	0	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV.601	0	0	0	0	0	0	0	0	17	0	0	0	0	0
ASV.602	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV.603	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV.604	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV.608	0	0	0	0	0	0	0	0	0	0	0	0	0	17
ASV.609	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.612	0	0	0	0	0	16	0	0	0	0	0	0	0	0
ASV.616	0	0	0	0	0	0	0	0	0	16	0	0	0	0
ASV.617	0	0	0	0	0	0	0	0	0	16	0	0	0	0
ASV.629	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ASV.632	0	0	0	0	0	0	0	0	15	0	0	0	0	0
ASV.633	0	0	0	0	0	0	0	0	15	0	0	0	0	0
ASV.634	0	0	0	0	0	0	0	0	0	15	0	0	0	0
ASV.642	0	0	0	0	14	0	0	0	0	0	0	0	0	0
ASV.643	0	0	0	0	0	14	0	0	0	0	0	0	0	0
ASV.644	0	0	0	0	0	14	0	0	0	0	0	0	0	0
ASV.645	0	0	0	0	0	14	0	0	0	0	0	0	0	0
ASV.646	0	0	0	0	0	0	0	14	0	0	0	0	0	0
ASV.647	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV.648	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV.649	0	0	0	0	0	0	0	0	14	0	0	0	0	0
ASV.650	0	0	0	0	0	0	0	0	0	14	0	0	0	0
ASV.652	0	0	0	0	0	0	0	0	0	14	0	0	0	0
ASV.653	0	0	0	0	0	0	0	0	0	0	0	14	0	0
ASV.657	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ASV.659	13	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.666	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ASV.668	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV.669	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV.670	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV.671	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV.672	0	0	0	0	0	0	0	0	0	13	0	0	0	0
ASV.673	0	0	0	0	0	0	0	0	0	13	0	0	0	0
ASV.675	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.676	3	0	0	5	0	0	0	0	4	0	0	0	0	0
ASV.677	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.678	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.680	0	12	0	0	0	0	0	0	0	0	0	0	0	0
ASV.689	0	0	0	0	0	12	0	0	0	0	0	0	0	0
ASV.690	0	0	0	0	0	12	0	0	0	0	0	0	0	0
ASV.691	0	0	0	0	0	12	0	0	0	0	0	0	0	0
ASV.692	0	0	0	0	0	0	0	12	0	0	0	0	0	0
ASV.693	0	0	0	0	0	0	0	12	0	0	0	0	0	0
ASV.698	0	0	0	0	0	0	0	0	0	12	0	0	0	0
ASV.699	0	0	0	0	0	0	0	0	0	12	0	0	0	0
ASV.702	11	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.703	3	0	0	0	0	0	0	0	8	0	0	0	0	0
ASV.708	0	0	0	0	0	11	0	0	0	0	0	0	0	0
ASV.709	0	0	0	0	0	11	0	0	0	0	0	0	0	0
ASV.710	0	0	0	0	0	0	0	11	0	0	0	0	0	0
ASV.711	0	0	0	0	0	0	0	11	0	0	0	0	0	0
ASV.712	0	0	0	0	0	0	0	0	11	0	0	0	0	0
ASV.713	0	0	0	0	0	0	0	0	11	0	0	0	0	0
ASV.715	0	0	0	0	0	0	0	0	0	0	0	0	0	11
ASV.718	0	0	0	0	0	0	0	0	0	0	0	0	0	11
ASV.720	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.723	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.724	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ASV.725	0	5	0	5	0	0	0	0	0	0	0	0	0	0
ASV.732	0	0	0	0	0	10	0	0	0	0	0	0	0	0
ASV.734	0	0	0	0	0	10	0	0	0	0	0	0	0	0
ASV.735	0	0	0	0	0	10	0	0	0	0	0	0	0	0
ASV.736	0	0	0	0	0	5	0	0	0	0	0	5	0	0
ASV.739	0	0	0	0	0	0	0	10	0	0	0	0	0	0
ASV.740	0	0	0	0	0	0	0	0	10	0	0	0	0	0
ASV.741	0	0	0	0	0	0	0	0	0	10	0	0	0	0
ASV.743	0	0	0	0	0	0	0	0	0	10	0	0	0	0
ASV.749	5	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.750	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV.757	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV.758	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV.759	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV.760	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV.762	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV.763	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV.764	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV.765	0	0	0	0	0	0	0	0	0	9	0	0	0	0
ASV.767	0	0	0	0	0	0	0	0	0	0	0	0	0	9
ASV.769	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.770	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.771	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.779	0	0	0	0	0	0	0	8	0	0	0	0	0	0
ASV.780	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ASV.781	0	0	0	0	0	0	0	0	5	0	3	0	0	0
ASV.782	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ASV.783	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ASV.784	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ASV.786	0	0	0	0	0	0	0	0	0	8	0	0	0	0
ASV.788	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ASV.791	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.795	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ASV.797	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV.800	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV.801	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV.802	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV.803	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV.804	0	0	0	0	0	0	0	0	7	0	0	0	0	0
ASV.805	0	0	0	0	0	0	0	0	7	0	0	0	0	0
ASV.806	0	0	0	0	0	0	0	0	7	0	0	0	0	0
ASV.807	0	0	0	0	0	0	0	0	7	0	0	0	0	0
ASV.810	0	0	0	0	0	0	0	0	0	7	0	0	0	0
ASV.811	0	0	0	0	0	0	0	0	0	7	0	0	0	0
ASV.812	0	0	0	0	0	0	0	0	0	7	0	0	0	0
ASV.814	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ASV.815	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ASV.816	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.817	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.818	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.819	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.821	0	3	0	3	0	0	0	0	0	0	0	0	0	0
ASV.832	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV.833	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV.834	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV.835	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV.836	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV.837	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV.838	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV.839	0	0	0	0	0	0	0	0	0	6	0	0	0	0
ASV.840	0	0	0	0	0	0	0	0	0	6	0	0	0	0
ASV.841	0	0	0	0	0	0	0	0	0	6	0	0	0	0
ASV.842	0	0	0	0	0	0	0	0	0	6	0	0	0	0
ASV.843	0	0	0	0	0	0	0	0	0	6	0	0	0	0
ASV.845	0	0	0	0	0	0	0	0	0	0	0	6	0	0
ASV.848	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.849	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.856	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV.857	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV.858	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV.859	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV.860	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV.861	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV.862	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV.863	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV.864	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV.865	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV.867	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.870	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.871	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.872	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.874	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.875	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.876	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.877	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.878	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.879	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV.881	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV.886	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV.888	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV.889	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV.890	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV.891	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV.892	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV.893	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.894	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.895	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.896	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.899	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.900	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.901	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.902	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.903	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.904	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.905	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.906	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.912	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV.914	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV.915	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV.916	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.917	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.918	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.919	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.920	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.921	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.922	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.924	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.925	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV.926	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV.928	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV.930	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV.939	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV.940	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV.943	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.944	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.945	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.946	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.947	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.948	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.950	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.951	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.952	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.953	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.954	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.955	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.956	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.957	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.958	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.959	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV.961	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV.967	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.968	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.969	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.970	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.971	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.972	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.973	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.974	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.975	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.976	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.977	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.978	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.979	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.980	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.985	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV.996	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV.997	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV.1001	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1002	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1003	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1004	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1005	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1006	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1007	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1008	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1009	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1010	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1011	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1013	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1014	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1015	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1016	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1017	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1018	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1019	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1020	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1021	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1022	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1023	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1024	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1025	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1026	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1027	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1028	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1029	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1030	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV.1036	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV.1067	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV.1071	0	0	0	0	0	0	0	1	0	0	0	0	0	0
