SRR13612865	SRR13612866	SRR13612867
ASV.1	21041	31161	28199
ASV.2	2550	2544	1476
ASV.3	1116	2638	1101
ASV.4	1040	1572	958
ASV.5	1923	616	200
ASV.6	870	778	624
ASV.7	300	780	391
ASV.8	555	338	417
ASV.9	355	473	0
ASV.10	252	285	273
ASV.11	185	217	249
ASV.12	205	233	182
ASV.13	558	0	0
ASV.14	262	277	0
ASV.15	166	153	180
ASV.16	119	213	150
ASV.17	128	161	139
ASV.19	119	129	98
ASV.20	330	0	0
ASV.22	119	81	98
ASV.23	95	103	72
ASV.24	80	87	80
ASV.26	158	0	35
ASV.27	189	0	0
ASV.28	56	70	58
ASV.29	76	66	40
ASV.30	178	0	0
ASV.31	50	84	42
ASV.33	8	114	24
ASV.34	61	46	29
ASV.35	0	132	0
ASV.36	46	50	35
ASV.37	0	124	0
ASV.38	62	31	26
ASV.40	40	45	23
ASV.41	44	62	0
ASV.42	26	46	29
ASV.43	31	66	0
ASV.44	92	0	0
ASV.45	85	0	3
ASV.46	27	26	34
ASV.47	0	83	0
ASV.48	10	48	23
ASV.49	31	35	12
ASV.50	0	0	75
ASV.51	0	63	0
ASV.52	26	19	12
ASV.54	20	11	19
ASV.55	4	0	45
ASV.56	0	46	0
ASV.57	45	0	0
ASV.58	26	15	0
ASV.59	14	17	10
ASV.60	0	20	20
ASV.61	13	12	14
ASV.63	18	10	8
ASV.64	0	36	0
ASV.65	0	35	0
ASV.66	11	15	7
ASV.67	8	17	7
ASV.69	30	0	0
ASV.70	30	0	0
ASV.71	13	10	7
ASV.72	14	16	0
ASV.73	0	30	0
ASV.74	10	8	11
ASV.75	13	16	0
ASV.76	7	0	22
ASV.77	0	29	0
ASV.78	0	0	29
ASV.79	28	0	0
ASV.80	8	19	0
ASV.81	27	0	0
ASV.82	0	16	11
ASV.83	8	18	0
ASV.85	15	11	0
ASV.86	0	26	0
ASV.88	0	25	0
ASV.89	0	0	25
ASV.91	9	15	0
ASV.93	8	9	6
ASV.94	23	0	0
ASV.95	0	23	0
